date,statusList,zscore,ATOMUSDT_position,ATOMUSDT_price,BATUSDT_position,BATUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,4.38,0.0,0.1962,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,4.096,0.0,0.1827,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,4.237,0.0,0.1865,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,4.25,0.0,0.1883,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,4.2,0.0,0.1874,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,4.111,0.0,0.1915,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,4.075,0.0,0.1922,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,3.995,0.0,0.1828,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,4.245,0.0,0.1851,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,4.27,0.0,0.1876,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,4.264,0.0,0.1886,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,4.253,0.0,0.1902,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,4.245,0.0,0.1867,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,4.53,0.0,0.2144,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,4.573,0.0,0.2204,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,5.097,0.0,0.2177,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,5.015,0.0,0.2284,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,4.625,0.0,0.2231,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,4.516,0.0,0.2139,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.9960960287928335,0.0,4.505,0.0,0.2226,200000,200000.0,0.0,1.0
2020-01-21,0,-0.9608458526688664,0.0,4.64,0.0,0.2203,200000,200000.0,0.0,1.0
2020-01-22,0,-0.6270001445310764,0.0,4.657,0.0,0.2186,200000,200000.0,0.0,1.0
2020-01-23,0,-0.3388199854726228,0.0,4.463,0.0,0.2075,200000,200000.0,0.0,1.0
2020-01-24,0,-0.17385252457753084,0.0,4.488,0.0,0.2077,200000,200000.0,0.0,1.0
2020-01-25,0,-0.21648509277923234,0.0,4.39,0.0,0.2039,200000,200000.0,0.0,1.0
