date,statusList,zscore,ETCUSDT_position,ETCUSDT_price,IOSTUSDT_position,IOSTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,4.5035,0.0,0.004817,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,4.2283,0.0,0.004605,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,4.5768,0.0,0.004819,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,4.7598,0.0,0.004869,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,4.8784,0.0,0.004916,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,5.0333,0.0,0.00512,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,4.8344,0.0,0.00496,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,4.9521,0.0,0.004716,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,5.1848,0.0,0.004766,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,5.36,0.0,0.005095,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,5.5704,0.0,0.004983,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,5.5765,0.0,0.005361,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,5.4677,0.0,0.005108,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,6.7895,0.0,0.005758,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,7.9911,0.0,0.005815,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,8.414,0.0,0.005884,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,9.4792,0.0,0.006125,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,8.2944,0.0,0.005849,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,8.5268,0.0,0.005483,200000,200000.0,0.0,1.0
2020-01-20,2,1.9212718499723607,0.0,8.6347,0.0,0.005363,200000,200000.0,0.0,1.0
2020-01-21,2,1.814915530470053,0.0,8.943,0.0,0.005409,200000,200000.0,0.0,1.0
2020-01-22,2,1.777102426096351,0.0,9.3457,0.0,0.005462,200000,200000.0,0.0,1.0
2020-01-23,2,1.2432812697003481,0.0,8.4421,0.0,0.005258,200000,200000.0,0.0,1.0
2020-01-24,2,1.2912213555444203,0.0,8.6118,0.0,0.005196,200000,200000.0,0.0,1.0
2020-01-25,1,1.0305295886213472,-11909.582450039303,8.3966,19238168.52635629,0.005198,200000,200000.0,0.0,1.0
2020-01-26,2,1.2415848015007815,0.0,9.19,0.0,0.005384,200000,205870.76336995894,5870.763369958935,1.0293538168497947
2020-01-27,2,1.7932515629760235,0.0,10.4161,0.0,0.005428,200000,205870.76336995894,5870.763369958935,1.0293538168497947
2020-01-28,2,1.8242824385980216,0.0,11.3697,0.0,0.005681,200000,205870.76336995894,5870.763369958935,1.0293538168497947
2020-01-29,2,2.0637687086004335,0.0,12.2231,0.0,0.005607,200000,205870.76336995894,5870.763369958935,1.0293538168497947
2020-01-30,2,1.8511342224420535,0.0,12.2842,0.0,0.005599,200000,205870.76336995894,5870.763369958935,1.0293538168497947
2020-01-31,1,1.1501272006489547,-9078.795350589124,11.338,18141590.004402444,0.005674,200000,205870.76336995896,5870.763369958964,1.0293538168497949
2020-02-01,1,0.9181015176091533,-9078.795350589124,11.5282,18141590.004402444,0.005922,200000,212096.66456673283,12096.664566732827,1.060483322833664
2020-02-02,1,0.583230989215813,-9078.795350589124,11.3658,18141590.004402444,0.00609,200000,213670.05532253673,13670.055322536733,1.0683502766126836
2020-02-03,1,0.723607350314942,-9078.795350589124,11.7782,18141590.004402444,0.006128,200000,218103.530945287,18103.530945287,1.090517654726435
2020-02-04,0,-0.2115792913966187,0.0,11.4111,0.0,0.006656,200000,188719.38192576382,-11280.618074236176,0.9435969096288191
2020-02-05,0,0.2926308109177877,0.0,12.3345,0.0,0.006681,200000,188719.38192576382,-11280.618074236176,0.9435969096288191
2020-02-06,0,-0.4237022961247925,0.0,12.1132,0.0,0.007113,200000,188719.38192576382,-11280.618074236176,0.9435969096288191
2020-02-07,-1,-1.0176454562775603,8067.206217384554,11.6967,-12927755.98888641,0.007299,200000,188719.38192576382,-11280.618074236176,0.9435969096288191
2020-02-08,-1,-0.805202545195069,8067.206217384554,11.6984,-12927755.98888641,0.007077,200000,185863.1343468006,-14136.865653199406,0.929315671734003
2020-02-09,-2,-1.351794997184681,0.0,11.7025,0.0,0.007598,200000,192537.99117038003,-7462.008829619968,0.9626899558519002
2020-02-10,-1,-1.086678536779519,8131.720170727362,11.8387,-12883966.21857468,0.007472,200000,192537.99117038003,-7462.008829619968,0.9626899558519002
2020-02-11,-1,-1.0706088740503674,8131.720170727362,11.96,-12883966.21857468,0.007594,200000,195096.21270575537,-4903.7872942446265,0.9754810635287768
2020-02-12,-2,-1.2208367725361393,0.0,12.2074,0.0,0.007946,200000,195646.82593103722,-4353.174068962777,0.9782341296551861
2020-02-13,-1,-1.102551026604798,8114.758437620789,12.055,-12576936.611663489,0.007778,200000,195646.82593103722,-4353.174068962777,0.9782341296551861
2020-02-14,-2,-1.5072271909428578,0.0,12.0094,0.0,0.008343,200000,203122.8281013826,3122.828101382591,1.015614140506913
2020-02-15,-2,-1.4794576956977605,0.0,10.4066,0.0,0.007382,200000,203122.8281013826,3122.828101382591,1.015614140506913
2020-02-16,-2,-1.2445240725167799,0.0,9.5637,0.0,0.006682,200000,203122.8281013826,3122.828101382591,1.015614140506913
2020-02-17,0,-0.939276990952327,0.0,9.6792,0.0,0.006532,200000,203122.8281013826,3122.828101382591,1.015614140506913
2020-02-18,0,-0.9912742484995248,0.0,9.8629,0.0,0.006785,200000,203122.8281013826,3122.828101382591,1.015614140506913
2020-02-19,-1,-1.1223475175061477,11524.045620185101,8.813,-16367673.497291105,0.006205,200000,203122.8281013826,3122.828101382591,1.015614140506913
2020-02-20,-1,-0.9872837282160507,11524.045620185101,8.8702,-16367673.497291105,0.006189,200000,203520.12073490053,3520.120734900527,1.0176006036745027
2020-02-21,-1,-0.6309535394098383,11524.045620185101,9.4157,-16367673.497291105,0.006347,200000,212392.5800332835,12392.580033283506,1.0619629001664175
2020-02-22,-1,-0.2757106991368106,11524.045620185101,9.4958,-16367673.497291105,0.006222,200000,211269.69690029894,11269.696900298935,1.0563484845014948
2020-02-23,-1,-0.2619456255449025,11524.045620185101,9.7439,-16367673.497291105,0.006432,200000,217566.024053098,17566.024053097994,1.0878301202654899
2020-02-24,0,-0.17400520076306855,0.0,9.3481,0.0,0.006165,200000,196301.60435012993,-3698.395649870072,0.9815080217506497
2020-02-25,2,1.3804621612917287,0.0,9.1742,0.0,0.005595,200000,196301.60435012993,-3698.395649870072,0.9815080217506497
2020-02-26,0,0.07810278828556115,0.0,7.6823,0.0,0.00505,200000,196301.60435012993,-3698.395649870072,0.9815080217506497
2020-02-27,0,-0.4868463554879261,0.0,7.7166,0.0,0.00523,200000,196301.60435012993,-3698.395649870072,0.9815080217506497
