date,statusList,zscore,MITHUSDT_position,MITHUSDT_price,DASHUSDT_position,DASHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00757,0.0,41.84,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.00699,0.0,40.04,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00739,0.0,43.92,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00728,0.0,46.19,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00734,0.0,51.17,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00741,0.0,56.57,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00705,0.0,54.62,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.00678,0.0,52.42,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00664,0.0,50.54,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00655,0.0,56.88,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00669,0.0,63.46,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00671,0.0,66.19,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00669,0.0,69.43,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.00679,0.0,89.28,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00715,0.0,133.6,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00716,0.0,127.45,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00723,0.0,113.04,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00732,0.0,101.15,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00704,0.0,104.92,200000,200000.0,0.0,1.0
2020-01-20,-1,-1.1525160304121107,14450867.052023122,0.00692,-909.835319807115,109.91,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.001558113315107,14450867.052023122,0.00727,-909.835319807115,110.5,200000,205594.6063068943,5594.606306894304,1.0279730315344715
2020-01-22,-1,-0.7924238955113181,14450867.052023122,0.00767,-909.835319807115,107.8,200000,208918.39776422433,8918.397764224326,1.0445919888211217
2020-01-23,-1,-0.7155806983768317,14450867.052023122,0.00734,-909.835319807115,102.72,200000,199527.6482124366,-472.3517875634134,0.9976382410621829
2020-01-24,-1,-0.6067890583305877,14450867.052023122,0.00728,-909.835319807115,100.11,200000,196285.9260046186,-3714.07399538139,0.981429630023093
2020-01-25,-1,-0.5146521771198832,14450867.052023122,0.00742,-909.835319807115,101.31,200000,199400.8497756704,-599.1502243296127,0.9970042488783519
2020-01-26,-1,-0.4391804589063211,14450867.052023122,0.00813,-909.835319807115,111.01,200000,218486.3679847358,18486.367984735814,1.092431839923679
2020-01-27,-1,-0.5215709146682354,14450867.052023122,0.00781,-909.835319807115,112.78,200000,215472.49904414703,15472.499044147029,1.0773624952207352
2020-01-28,-1,-0.55132454947827,14450867.052023122,0.00776,-909.835319807115,115.91,200000,217597.74024254212,17597.740242542117,1.0879887012127105
2020-01-29,-1,-0.7366250528168008,14450867.052023122,0.00764,-909.835319807115,121.97,200000,221377.23823433046,21377.238234330463,1.1068861911716523
2020-01-30,-1,-0.8135874946233307,14450867.052023122,0.00742,-909.835319807115,121.9,200000,218134.3590104989,18134.359010498913,1.0906717950524945
2020-01-31,0,-0.15316389970633437,0.0,0.00794,0.0,115.85,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-01,0,-0.08485234212197543,0.0,0.00792,0.0,116.7,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-02,0,0.4463140824971852,0.0,0.00799,0.0,114.29,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-03,0,0.3169090861656812,0.0,0.00792,0.0,115.34,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-04,2,1.539639475724575,0.0,0.00837,0.0,110.87,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-05,0,-0.09973070269389833,0.0,0.00839,0.0,122.98,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-06,2,2.3356078767624786,0.0,0.00964,0.0,120.32,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-07,2,2.414282634480904,0.0,0.00988,0.0,118.68,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-08,0,0.5389546808347228,0.0,0.00925,0.0,126.29,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-09,0,0.8973594168784536,0.0,0.00973,0.0,128.51,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-10,0,0.7977100356517256,0.0,0.00965,0.0,127.58,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-11,0,0.4307598315760466,0.0,0.00954,0.0,129.2,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-12,2,1.5704693662223133,0.0,0.01082,0.0,133.53,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-13,2,2.2629205087034787,0.0,0.01156,0.0,131.18,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-14,2,1.6946115409467526,0.0,0.01146,0.0,133.34,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-15,2,1.2834399377913144,0.0,0.01013,0.0,120.73,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-16,2,1.3021446990636545,0.0,0.00944,0.0,110.73,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-17,0,0.4627844456957778,0.0,0.00906,0.0,114.66,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-18,0,0.6601805568485531,0.0,0.00938,0.0,115.56,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-19,0,0.5501083363064867,0.0,0.00848,0.0,104.87,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-20,0,0.07378693198264773,0.0,0.0082,0.0,104.82,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
2020-02-21,0,0.002703884584885428,0.0,0.00841,0.0,107.39,200000,190664.5374065907,-9335.462593409291,0.9533226870329535
