date,statusList,zscore,WAVESUSDT_position,WAVESUSDT_price,THETAUSDT_position,THETAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,1.0446,0.0,0.08656,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.9459,0.0,0.08443,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.9526,0.0,0.08771,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.9458,0.0,0.09394,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.8872,0.0,0.09421,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.8949,0.0,0.09987,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.8853,0.0,0.09608,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.851,0.0,0.09873,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.8231,0.0,0.09294,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.8244,0.0,0.09509,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.8561,0.0,0.09437,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.8447,0.0,0.09589,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.86,0.0,0.09703,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.8637,0.0,0.10598,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.896,0.0,0.10438,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.8809,0.0,0.10368,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.9,0.0,0.11193,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.8783,0.0,0.10876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.8889,0.0,0.1126,200000,200000.0,0.0,1.0
2020-01-20,-1,-1.0574018868149695,115300.35743110804,0.8673,-909256.2284051647,0.10998,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.1229625685564382,115300.35743110804,0.8723,-909256.2284051647,0.11136,200000,201831.27538235468,1831.275382354681,1.0091563769117735
2020-01-22,-2,-1.5390261079386343,0.0,0.8862,0.0,0.119,200000,206022.31442476664,6022.314424766635,1.0301115721238332
2020-01-23,0,-0.8045186559255261,0.0,0.8726,0.0,0.10858,200000,206022.31442476664,6022.314424766635,1.0301115721238332
2020-01-24,0,-0.5707339122415683,0.0,0.8552,0.0,0.10494,200000,206022.31442476664,6022.314424766635,1.0301115721238332
2020-01-25,0,-0.0962360556080292,0.0,0.8512,0.0,0.10189,200000,206022.31442476664,6022.314424766635,1.0301115721238332
2020-01-26,0,0.3215190394872519,0.0,0.8718,0.0,0.10222,200000,206022.31442476664,6022.314424766635,1.0301115721238332
2020-01-27,0,-0.08083860257791714,0.0,0.868,0.0,0.10459,200000,206022.31442476664,6022.314424766635,1.0301115721238332
2020-01-28,0,-0.49828055115289227,0.0,0.8856,0.0,0.10936,200000,206022.31442476664,6022.314424766635,1.0301115721238332
2020-01-29,0,0.14017102482894997,0.0,0.8699,0.0,0.10434,200000,206022.31442476664,6022.314424766635,1.0301115721238332
2020-01-30,0,0.18540478769737892,0.0,0.8696,0.0,0.10431,200000,206022.31442476664,6022.314424766635,1.0301115721238332
2020-01-31,0,0.20322516097815915,0.0,0.8824,0.0,0.10638,200000,206022.31442476664,6022.314424766635,1.0301115721238332
2020-02-01,2,1.333299196857383,0.0,0.9111,0.0,0.10527,200000,206022.31442476664,6022.314424766635,1.0301115721238332
