date,statusList,zscore,TRXUSDT_position,TRXUSDT_price,VETUSDT_position,VETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.01322,0.0,0.005358,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.01284,0.0,0.005094,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.01344,0.0,0.005327,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.01344,0.0,0.00562,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.01353,0.0,0.005465,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.01472,0.0,0.00573,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.01434,0.0,0.005578,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.01402,0.0,0.005492,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.01398,0.0,0.005319,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.01469,0.0,0.005454,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.0146,0.0,0.005526,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.01503,0.0,0.005523,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.01464,0.0,0.005407,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.01677,0.0,0.005994,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.01729,0.0,0.006003,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.01734,0.0,0.005885,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.01758,0.0,0.006392,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.01766,0.0,0.006239,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.01665,0.0,0.005862,200000,200000.0,0.0,1.0
2020-01-20,1,1.1936377621483651,-6020469.596628537,0.01661,17199862.401100792,0.005814,200000,200000.0,0.0,1.0
2020-01-21,2,1.3461003830127485,0.0,0.01732,0.0,0.005964,200000,201694.55405344116,1694.5540534411557,1.0084727702672058
2020-01-22,2,1.5709462566913666,0.0,0.01743,0.0,0.005863,200000,201694.55405344116,1694.5540534411557,1.0084727702672058
2020-01-23,1,1.0440195804764971,-6194550.185916497,0.01628,17985959.87635466,0.005607,200000,201694.55405344116,1694.5540534411557,1.0084727702672058
2020-01-24,1,1.190669212192922,-6194550.185916497,0.01639,17985959.87635466,0.00558,200000,201890.33365723037,1890.333657230367,1.0094516682861518
2020-01-25,1,0.6624638686021788,-6194550.185916497,0.01613,17985959.87635466,0.005623,200000,201053.14688357536,1053.1468835753622,1.0052657344178768
2020-01-26,1,1.0844428368350212,-6194550.185916497,0.01684,17985959.87635466,0.00573,200000,207375.775222346,7375.775222346012,1.03687887611173
2020-01-27,2,1.2968679720632472,0.0,0.01713,0.0,0.005748,200000,204423.90136890416,4423.90136890416,1.0221195068445208
2020-01-28,2,2.596491985516044,0.0,0.0186,0.0,0.0058,200000,204423.90136890416,4423.90136890416,1.0221195068445208
2020-01-29,2,2.416918371768139,0.0,0.01866,0.0,0.005733,200000,204423.90136890416,4423.90136890416,1.0221195068445208
2020-01-30,2,2.678776362280771,0.0,0.0195,0.0,0.005687,200000,204423.90136890416,4423.90136890416,1.0221195068445208
2020-01-31,2,1.5117031266561223,0.0,0.01867,0.0,0.005766,200000,204423.90136890416,4423.90136890416,1.0221195068445208
2020-02-01,1,1.095816100838313,-5359829.611140644,0.01907,17043847.037594143,0.005997,200000,204423.90136890416,4423.90136890416,1.0221195068445208
2020-02-02,1,0.41798313738136345,-5359829.611140644,0.01909,17043847.037594143,0.006229,200000,208485.2704738488,8485.270473848796,1.042426352369244
2020-02-03,1,0.2519147465617253,-5359829.611140644,0.0192,17043847.037594143,0.006304,200000,210353.14025889384,10353.140258893836,1.0517657012944692
2020-02-04,0,-0.33241658838922994,0.0,0.01925,0.0,0.006532,200000,196270.2125337966,-3729.7874662033864,0.9813510626689831
2020-02-05,1,1.0609817774983183,-4727124.579330361,0.02076,15163026.308235213,0.006472,200000,196270.2125337966,-3729.7874662033864,0.9813510626689831
2020-02-06,2,1.61500931477858,0.0,0.02271,0.0,0.0068,200000,200514.6328343897,514.6328343896894,1.0025731641719484
2020-02-07,0,0.9304503892243766,0.0,0.02204,0.0,0.006817,200000,200514.6328343897,514.6328343896894,1.0025731641719484
2020-02-08,1,1.020706812747195,-4601070.051270989,0.02179,15033335.79505096,0.006669,200000,200514.6328343897,514.6328343896894,1.0025731641719484
2020-02-09,1,0.7386786505915788,-4601070.051270989,0.02206,15033335.79505096,0.006825,200000,204102.12213226082,4102.122132260818,1.020510610661304
2020-02-10,2,1.5600771220537775,0.0,0.02216,0.0,0.00651,200000,204607.32914477302,4607.329144773015,1.023036645723865
2020-02-11,0,-0.5847246568699658,0.0,0.02272,0.0,0.007485,200000,204607.32914477302,4607.329144773015,1.023036645723865
2020-02-12,0,0.3237932826817572,0.0,0.02393,0.0,0.00747,200000,204607.32914477302,4607.329144773015,1.023036645723865
2020-02-13,-1,-1.1500062693922113,4278697.807293455,0.02391,-12694337.333712187,0.008059,200000,204607.32914477302,4607.329144773015,1.023036645723865
2020-02-14,0,0.07799030190664662,0.0,0.02639,0.0,0.008301,200000,197068.18821744362,-2931.8117825563822,0.985340941087218
2020-02-15,0,-0.10495748072095196,0.0,0.02364,0.0,0.00747,200000,197068.18821744362,-2931.8117825563822,0.985340941087218
2020-02-16,0,-0.3695460946718854,0.0,0.02223,0.0,0.007081,200000,197068.18821744362,-2931.8117825563822,0.985340941087218
2020-02-17,0,0.3358368013826743,0.0,0.02179,0.0,0.006743,200000,197068.18821744362,-2931.8117825563822,0.985340941087218
2020-02-18,0,0.1498356258114825,0.0,0.02262,0.0,0.007058,200000,197068.18821744362,-2931.8117825563822,0.985340941087218
2020-02-19,0,-0.4736783233617463,0.0,0.0202,0.0,0.006484,200000,197068.18821744362,-2931.8117825563822,0.985340941087218
2020-02-20,0,-0.9374521210707765,0.0,0.0198,0.0,0.00649,200000,197068.18821744362,-2931.8117825563822,0.985340941087218
2020-02-21,0,-0.9515468023916438,0.0,0.02016,0.0,0.006633,200000,197068.18821744362,-2931.8117825563822,0.985340941087218
2020-02-22,0,-0.9531398629666679,0.0,0.02002,0.0,0.006593,200000,197068.18821744362,-2931.8117825563822,0.985340941087218
2020-02-23,0,-0.7173757422404811,0.0,0.02133,0.0,0.006955,200000,197068.18821744362,-2931.8117825563822,0.985340941087218
