date,statusList,zscore,ZRXUSDT_position,ZRXUSDT_price,ZECUSDT_position,ZECUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1825,0.0,28.07,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1752,0.0,27.02,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1821,0.0,28.41,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1864,0.0,29.91,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1861,0.0,30.81,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1958,0.0,32.86,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1878,0.0,32.24,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2133,0.0,30.88,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.2058,0.0,30.83,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.2026,0.0,33.69,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.2064,0.0,34.88,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.2182,0.0,35.52,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.2102,0.0,38.32,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.238,0.0,43.83,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2459,0.0,54.97,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2474,0.0,50.8,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2547,0.0,61.54,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2455,0.0,51.16,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2312,0.0,51.56,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.566713539987718,0.0,0.2316,0.0,53.68,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.1802010363723967,414078.67494824016,0.2415,-1877.581674802854,53.26,200000,200000.0,0.0,1.0
2020-01-22,-1,-0.9532812879750561,414078.67494824016,0.2425,-1877.581674802854,52.21,200000,198442.61791640526,-1557.3820835947408,0.9922130895820263
2020-01-23,-1,-0.9071018156387863,414078.67494824016,0.2283,-1877.581674802854,49.6,200000,187662.2125609048,-12337.787439095206,0.9383110628045239
2020-01-24,-1,-0.7571732241210333,414078.67494824016,0.2275,-1877.581674802854,48.82,200000,185866.43591459998,-14133.564085400023,0.9293321795729999
2020-01-25,-1,-0.7457054002021046,414078.67494824016,0.2242,-1877.581674802854,48.72,200000,184312.2181197905,-15687.781880209513,0.9215610905989524
2020-01-26,-1,-1.0052755959927195,414078.67494824016,0.2305,-1877.581674802854,53.65,200000,196177.39142874247,-3822.6085712575295,0.9808869571437123
2020-01-27,-1,-1.0155444924439518,414078.67494824016,0.2316,-1877.581674802854,55.18,200000,199505.5779336339,-494.42206636609626,0.9975278896681695
2020-01-28,-1,-1.1073454183076414,414078.67494824016,0.2316,-1877.581674802854,56.74,200000,202434.60534632637,2434.605346326367,1.0121730267316318
2020-01-29,-2,-1.6288339684813404,0.0,0.2255,0.0,61.74,200000,222547.15140150004,22547.151401500043,1.1127357570075003
2020-01-30,-2,-1.6744402302521635,0.0,0.2331,0.0,66.3,200000,222547.15140150004,22547.151401500043,1.1127357570075003
