date,statusList,zscore,FETUSDT_position,FETUSDT_price,OMGUSDT_position,OMGUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.03832,0.0,0.6214,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.03642,0.0,0.595,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.03906,0.0,0.6248,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.04027,0.0,0.6246,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.03847,0.0,0.6367,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.03949,0.0,0.6864,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0372,0.0,0.6706,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.03686,0.0,0.6603,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0374,0.0,0.6373,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.03619,0.0,0.6559,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.03779,0.0,0.6701,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.03987,0.0,0.6943,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.04063,0.0,0.6669,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.03899,0.0,0.735,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.04001,0.0,0.7959,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.03962,0.0,0.7749,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0422,0.0,0.885,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.04109,0.0,0.8392,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.03771,0.0,0.7998,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.4723713494653052,0.0,0.03734,0.0,0.7829,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.667348308709969,0.0,0.03802,0.0,0.838,200000,200000.0,0.0,1.0
2020-01-22,-1,-1.0282353866601897,2530364.3724696357,0.03952,-122473.9742804654,0.8165,200000,200000.0,0.0,1.0
2020-01-23,-1,-0.7671581698784172,2530364.3724696357,0.03775,-122473.9742804654,0.7638,200000,189066.87661614822,-10933.12338385178,0.9453343830807411
2020-01-24,-1,-0.5525587566954252,2530364.3724696357,0.03893,-122473.9742804654,0.7754,200000,193473.4046773158,-6526.59532268421,0.967367023386579
2020-01-25,0,-0.004924335692017683,0.0,0.03989,0.0,0.7607,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
2020-01-26,0,-0.6546368083040002,0.0,0.03889,0.0,0.7905,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
2020-01-27,0,-0.7989245816921783,0.0,0.03892,0.0,0.8074,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
