date,statusList,zscore,ETHUSDT_position,ETHUSDT_price,FETUSDT_position,FETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,130.77,0.0,0.03832,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,127.19,0.0,0.03642,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,134.35,0.0,0.03906,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,134.2,0.0,0.04027,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,135.37,0.0,0.03847,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,144.15,0.0,0.03949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,142.8,0.0,0.0372,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,140.72,0.0,0.03686,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,137.74,0.0,0.0374,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,144.84,0.0,0.03619,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,142.38,0.0,0.03779,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,146.54,0.0,0.03987,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,143.58,0.0,0.04063,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,165.64,0.0,0.03899,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,166.4,0.0,0.04001,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,164.21,0.0,0.03962,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,169.85,0.0,0.0422,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,174.14,0.0,0.04109,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,166.79,0.0,0.03771,200000,200000.0,0.0,1.0
2020-01-20,2,1.7869373466294372,0.0,166.87,0.0,0.03734,200000,200000.0,0.0,1.0
2020-01-21,2,1.5608062496909527,0.0,169.49,0.0,0.03802,200000,200000.0,0.0,1.0
2020-01-22,0,0.89739958166538,0.0,168.07,0.0,0.03952,200000,200000.0,0.0,1.0
2020-01-23,0,0.9720766470330704,0.0,162.81,0.0,0.03775,200000,200000.0,0.0,1.0
2020-01-24,0,0.49865033362523914,0.0,162.54,0.0,0.03893,200000,200000.0,0.0,1.0
2020-01-25,0,-0.08617649132362479,0.0,160.35,0.0,0.03989,200000,200000.0,0.0,1.0
2020-01-26,0,0.8534037983284247,0.0,167.86,0.0,0.03889,200000,200000.0,0.0,1.0
2020-01-27,0,0.9462119531459793,0.0,170.08,0.0,0.03892,200000,200000.0,0.0,1.0
2020-01-28,2,1.7301946904974435,0.0,175.64,0.0,0.03767,200000,200000.0,0.0,1.0
2020-01-29,2,1.6596970419755608,0.0,173.72,0.0,0.03698,200000,200000.0,0.0,1.0
2020-01-30,2,1.7795915546142995,0.0,184.69,0.0,0.0383,200000,200000.0,0.0,1.0
2020-01-31,1,1.082321641699539,-555.5864214678593,179.99,2570694.087403599,0.0389,200000,200000.0,0.0,1.0
2020-02-01,2,1.3856714118565203,0.0,183.6,0.0,0.03862,200000,202725.46132597193,2725.4613259719335,1.0136273066298596
2020-02-02,2,1.5230009356420926,0.0,188.44,0.0,0.0394,200000,202725.46132597193,2725.4613259719335,1.0136273066298596
2020-02-03,0,0.777989368016599,0.0,189.69,0.0,0.04111,200000,202725.46132597193,2725.4613259719335,1.0136273066298596
2020-02-04,0,0.6040676366521346,0.0,188.91,0.0,0.04117,200000,202725.46132597193,2725.4613259719335,1.0136273066298596
2020-02-05,2,1.861342129822444,0.0,203.78,0.0,0.04095,200000,202725.46132597193,2725.4613259719335,1.0136273066298596
2020-02-06,0,0.18731327254111402,0.0,213.19,0.0,0.04684,200000,202725.46132597193,2725.4613259719335,1.0136273066298596
2020-02-07,1,1.0265907091688713,-453.8697472931803,223.33,2170973.0276929955,0.04669,200000,202725.46132597193,2725.4613259719335,1.0136273066298596
2020-02-08,2,1.5870932237674782,0.0,223.05,0.0,0.04483,200000,206636.38762823882,6636.387628238823,1.0331819381411942
2020-02-09,0,0.19815954352216925,0.0,228.49,0.0,0.04946,200000,206636.38762823882,6636.387628238823,1.0331819381411942
2020-02-10,0,0.06966590493113592,0.0,222.89,0.0,0.04853,200000,206636.38762823882,6636.387628238823,1.0331819381411942
2020-02-11,0,0.10538659714783373,0.0,236.69,0.0,0.05124,200000,206636.38762823882,6636.387628238823,1.0331819381411942
2020-02-12,2,1.5034003785090018,0.0,265.74,0.0,0.05301,200000,206636.38762823882,6636.387628238823,1.0331819381411942
2020-02-13,1,1.1349556365357332,-385.05588034480996,268.32,1902378.8218397978,0.05431,200000,206636.38762823882,6636.387628238823,1.0331819381411942
2020-02-14,2,2.3462924629342443,0.0,285.15,0.0,0.05425,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-02-15,2,2.2463555362072634,0.0,264.88,0.0,0.04983,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-02-16,2,2.6183837723766272,0.0,258.85,0.0,0.0465,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-02-17,2,2.6807066468863536,0.0,267.85,0.0,0.0458,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-02-18,2,2.2731683416360573,0.0,282.61,0.0,0.04787,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-02-19,2,2.2655419481004504,0.0,258.45,0.0,0.04213,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-02-20,2,2.0961610866317404,0.0,256.96,0.0,0.04101,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-02-21,2,1.8505765619847279,0.0,265.27,0.0,0.04205,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-02-22,2,1.5146374681776542,0.0,261.57,0.0,0.04199,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-02-23,2,1.4718308842843877,0.0,274.48,0.0,0.04342,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-02-24,2,1.5881599946832567,0.0,265.52,0.0,0.04061,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-02-25,2,1.432966025022437,0.0,246.67,0.0,0.03761,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-02-26,2,1.6317141069681678,0.0,223.93,0.0,0.03268,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-02-27,2,1.5602159857814637,0.0,227.79,0.0,0.03278,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-02-28,2,1.439847509039296,0.0,226.76,0.0,0.03242,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-02-29,1,1.0475938755493075,-490.8407090459747,217.21,3316190.059467377,0.03215,200000,213231.02082375233,13231.020823752333,1.0661551041187616
2020-03-01,1,0.9490426384004871,-490.8407090459747,217.81,3316190.059467377,0.03232,200000,214089.2775592894,14089.277559289389,1.070446387796447
2020-03-02,1,0.7766581437075705,-490.8407090459747,231.97,3316190.059467377,0.03483,200000,229363.21904864348,29363.219048643485,1.1468160952432174
2020-03-03,1,0.5973556952148273,-490.8407090459747,223.91,3316190.059467377,0.03397,200000,222555.119482591,22555.11948259099,1.112775597412955
2020-03-04,0,-0.3078590960258182,0.0,224.26,0.0,0.03653,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-05,0,-0.1556220674839418,0.0,228.38,0.0,0.03638,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-06,0,0.4789351142528819,0.0,244.88,0.0,0.03714,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-07,0,0.7153364940730799,0.0,237.23,0.0,0.03539,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-08,0,0.47776302180678754,0.0,199.43,0.0,0.02999,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-09,2,1.8267655274635053,0.0,202.81,0.0,0.02859,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-10,2,1.2506770982351088,0.0,200.7,0.0,0.02883,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-11,0,0.8599164439742927,0.0,194.61,0.0,0.0283,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-12,2,4.014184423008396,0.0,107.82,0.0,0.01071,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-13,2,3.089063980461251,0.0,134.06,0.0,0.01262,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-14,2,2.572309726524359,0.0,122.54,0.0,0.01116,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-15,2,2.0296877040830488,0.0,123.78,0.0,0.01147,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-16,2,1.9441147958219176,0.0,111.02,0.0,0.00987,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-17,2,1.421962249546364,0.0,115.67,0.0,0.01088,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-18,2,1.3531727924838726,0.0,118.11,0.0,0.01092,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-19,2,1.2017648908107765,0.0,136.3,0.0,0.01264,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-20,0,0.8248988981416574,0.0,133.48,0.0,0.01311,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-21,0,0.5753874540724853,0.0,132.66,0.0,0.01353,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-22,0,0.7380662649598657,0.0,122.32,0.0,0.01187,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-23,0,0.5568274919833586,0.0,135.92,0.0,0.01348,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-24,0,0.47821523394942345,0.0,138.42,0.0,0.01374,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-25,0,0.10197544191171592,0.0,136.1,0.0,0.0143,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-26,0,0.11773674981952911,0.0,138.4,0.0,0.01429,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-27,0,-0.18744654967074542,0.0,131.33,0.0,0.01405,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-28,0,-0.0790360551431044,0.0,130.98,0.0,0.01354,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-29,0,0.03430321281059164,0.0,124.5,0.0,0.0125,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-30,0,-0.5292243496639412,0.0,132.06,0.0,0.01381,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-03-31,-2,-1.281517889420842,0.0,132.72,0.0,0.01404,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-04-01,0,-0.9310161865794813,0.0,135.69,0.0,0.01411,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-04-02,0,-0.5974090662265429,0.0,141.28,0.0,0.01446,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-04-03,0,-0.5304991394778436,0.0,141.31,0.0,0.01447,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-04-04,0,-0.4866439797965284,0.0,144.1,0.0,0.01478,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-04-05,0,-0.015184962938758267,0.0,142.68,0.0,0.01437,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-04-06,2,2.0874355501937747,0.0,171.32,0.0,0.01573,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-04-07,2,1.3891822433650463,0.0,164.63,0.0,0.01564,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-04-08,2,1.949313053795967,0.0,173.11,0.0,0.01609,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-04-09,0,0.5194117830693659,0.0,169.52,0.0,0.0167,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-04-10,2,1.4307918189197446,0.0,157.81,0.0,0.01487,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-04-11,2,1.3440690049623034,0.0,158.33,0.0,0.01492,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-04-12,1,1.097949162150132,-637.3873994642138,158.59,6716496.191430544,0.01505,200000,202166.53536205934,2166.535362059338,1.0108326768102966
2020-04-13,1,0.918665732893423,-637.3873994642138,156.29,6716496.191430544,0.01491,200000,199760.23487649136,-239.76512350863777,0.9988011743824569
2020-04-14,1,0.9807503965384264,-637.3873994642138,158.45,6716496.191430544,0.015,200000,201741.4763165628,1741.4763165627955,1.008707381582814
2020-04-15,2,1.3491210484873852,0.0,152.73,0.0,0.01411,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-04-16,2,2.317423273157156,0.0,172.29,0.0,0.01491,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-04-17,2,1.721854677882313,0.0,170.69,0.0,0.01502,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-04-18,2,2.374592665343406,0.0,187.4,0.0,0.01544,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-04-19,2,1.4261677051869672,0.0,180.03,0.0,0.01555,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-04-20,2,1.6026979802487065,0.0,170.2,0.0,0.01438,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-04-21,2,1.4632972778625053,0.0,170.74,0.0,0.01441,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-04-22,2,1.788708463003036,0.0,182.7,0.0,0.01489,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-04-23,2,1.396969776598836,0.0,185.51,0.0,0.01536,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-04-24,0,-0.0020204114179522776,0.0,187.59,0.0,0.01693,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-04-25,-2,-2.046102759699106,0.0,194.21,0.0,0.02032,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-04-26,0,-0.688568646790461,0.0,197.38,0.0,0.01874,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-04-27,-2,-1.6325744993163442,0.0,196.34,0.0,0.02023,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-04-28,-2,-1.6238556540843667,0.0,196.24,0.0,0.02055,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-04-29,0,-0.7808371093842634,0.0,215.36,0.0,0.02094,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-04-30,0,-0.7155580315122407,0.0,206.08,0.0,0.01997,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-01,0,-0.6836166592047627,0.0,212.02,0.0,0.02053,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-02,0,-0.4367927874457985,0.0,213.9,0.0,0.02029,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-03,0,-0.5223068362259606,0.0,209.86,0.0,0.02005,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-04,0,-0.01639402332654122,0.0,206.48,0.0,0.0189,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-05,0,-0.5078737893660297,0.0,205.29,0.0,0.01959,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-06,0,-0.16030061713600763,0.0,198.97,0.0,0.01852,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-07,0,0.9595807931209396,0.0,212.0,0.0,0.01806,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-08,0,0.40340463871593196,0.0,211.31,0.0,0.01889,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-09,0,0.4266622808944592,0.0,210.07,0.0,0.01879,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-10,0,-0.20975172012965482,0.0,187.54,0.0,0.01768,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-11,0,0.29576558946514164,0.0,185.73,0.0,0.01697,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-12,0,-0.020366876361064833,0.0,189.76,0.0,0.01785,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-13,0,0.3489137825537291,0.0,199.58,0.0,0.01853,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-14,0,-0.1675206962425168,0.0,203.29,0.0,0.01944,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-15,-1,-1.144537804723289,525.3642400214095,194.86,-5249870.5543883005,0.0195,200000,204744.95162114373,4744.951621143729,1.0237247581057187
2020-05-16,-2,-2.0918444998982646,0.0,200.45,0.0,0.02156,200000,212622.89886146397,12622.898861463967,1.0631144943073199
2020-05-17,0,-0.8368784716072728,0.0,207.0,0.0,0.02058,200000,212622.89886146397,12622.898861463967,1.0631144943073199
2020-05-18,0,0.0876336622669596,0.0,214.91,0.0,0.02023,200000,212622.89886146397,12622.898861463967,1.0631144943073199
