date,statusList,zscore,IOSTUSDT_position,IOSTUSDT_price,ICXUSDT_position,ICXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.004817,0.0,0.1146,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.004605,0.0,0.1096,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.004819,0.0,0.1142,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.004869,0.0,0.1139,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.004916,0.0,0.1135,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00512,0.0,0.1248,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00496,0.0,0.1201,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.004716,0.0,0.1171,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.004766,0.0,0.1167,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005095,0.0,0.1188,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.004983,0.0,0.1202,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005361,0.0,0.1215,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005108,0.0,0.1229,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005758,0.0,0.1394,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.005815,0.0,0.143,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005884,0.0,0.1455,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006125,0.0,0.1527,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.005849,0.0,0.1532,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005483,0.0,0.1462,200000,200000.0,0.0,1.0
2020-01-20,-2,-2.7008736586055533,0.0,0.005363,0.0,0.1511,200000,200000.0,0.0,1.0
2020-01-21,-2,-2.4777210982866134,0.0,0.005409,0.0,0.157,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.9285979143943779,0.0,0.005462,0.0,0.1564,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.6069107358601364,0.0,0.005258,0.0,0.1495,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.6166511278498488,0.0,0.005196,0.0,0.1507,200000,200000.0,0.0,1.0
2020-01-25,-2,-1.6918158205176543,0.0,0.005198,0.0,0.155,200000,200000.0,0.0,1.0
2020-01-26,-2,-2.0603630943533218,0.0,0.005384,0.0,0.1738,200000,200000.0,0.0,1.0
2020-01-27,-2,-1.8512441663090693,0.0,0.005428,0.0,0.1775,200000,200000.0,0.0,1.0
2020-01-28,-2,-1.622087760640953,0.0,0.005681,0.0,0.186,200000,200000.0,0.0,1.0
2020-01-29,-2,-2.111849718872563,0.0,0.005607,0.0,0.2112,200000,200000.0,0.0,1.0
2020-01-30,-2,-2.2541214606074633,0.0,0.005599,0.0,0.238,200000,200000.0,0.0,1.0
2020-01-31,-2,-2.1194569151170795,0.0,0.005674,0.0,0.2589,200000,200000.0,0.0,1.0
2020-02-01,-2,-1.9126342011578403,0.0,0.005922,0.0,0.2751,200000,200000.0,0.0,1.0
2020-02-02,-2,-1.955733569673897,0.0,0.00609,0.0,0.3176,200000,200000.0,0.0,1.0
2020-02-03,-2,-1.9988115330567002,0.0,0.006128,0.0,0.3705,200000,200000.0,0.0,1.0
2020-02-04,-2,-2.0826443345789327,0.0,0.006656,0.0,0.5091,200000,200000.0,0.0,1.0
2020-02-05,-2,-1.6073021248636847,0.0,0.006681,0.0,0.4369,200000,200000.0,0.0,1.0
2020-02-06,-2,-1.422588266898193,0.0,0.007113,0.0,0.4574,200000,200000.0,0.0,1.0
2020-02-07,-1,-1.0593697094926275,13700506.918755993,0.007299,-242541.8384671356,0.4123,200000,200000.0,0.0,1.0
2020-02-08,-1,-0.992823931320545,13700506.918755993,0.007077,-242541.8384671356,0.4056,200000,195333.45714630635,-4666.542853693652,0.9766672857315317
2020-02-09,-1,-0.9122739239663589,13700506.918755993,0.007598,-242541.8384671356,0.438,200000,210329.7768173134,10329.776817313395,1.051648884086567
2020-02-10,-1,-0.707430868928156,13700506.918755993,0.007472,-242541.8384671356,0.4077,200000,201254.49523999597,1254.495239995973,1.00627247619998
