date,statusList,zscore,VETUSDT_position,VETUSDT_price,ADAUSDT_position,ADAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.005358,0.0,0.03348,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.005094,0.0,0.03269,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.005327,0.0,0.03417,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00562,0.0,0.03434,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.005465,0.0,0.0346,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00573,0.0,0.03732,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.005578,0.0,0.037,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.005492,0.0,0.03631,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.005319,0.0,0.03616,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005454,0.0,0.03693,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.005526,0.0,0.03678,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005523,0.0,0.03792,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005407,0.0,0.03682,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005994,0.0,0.04161,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.006003,0.0,0.04275,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005885,0.0,0.04168,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006392,0.0,0.0449,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.006239,0.0,0.04489,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005862,0.0,0.042,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.9434939804843427,0.0,0.005814,0.0,0.04378,200000,200000.0,0.0,1.0
2020-01-21,-2,-2.020709558282653,0.0,0.005964,0.0,0.04602,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.878723858959855,0.0,0.005863,0.0,0.04575,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.5065595803286769,0.0,0.005607,0.0,0.04318,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.938881734345678,0.0,0.00558,0.0,0.04495,200000,200000.0,0.0,1.0
2020-01-25,-1,-1.1760067722814134,17784101.013693757,0.005623,-2318034.3069077423,0.04314,200000,200000.0,0.0,1.0
2020-01-26,-2,-1.3134682296313478,0.0,0.00573,0.0,0.04477,200000,201875.4971117944,1875.4971117943933,1.0093774855589719
2020-01-27,-2,-1.9342157243750016,0.0,0.005748,0.0,0.04796,200000,201875.4971117944,1875.4971117943933,1.0093774855589719
2020-01-28,-2,-2.4390764632484596,0.0,0.0058,0.0,0.0529,200000,201875.4971117944,1875.4971117943933,1.0093774855589719
2020-01-29,-2,-2.1707462831597537,0.0,0.005733,0.0,0.05329,200000,201875.4971117944,1875.4971117943933,1.0093774855589719
2020-01-30,-2,-2.213873295366108,0.0,0.005687,0.0,0.05614,200000,201875.4971117944,1875.4971117943933,1.0093774855589719
2020-01-31,-2,-1.6041630071051256,0.0,0.005766,0.0,0.0539,200000,201875.4971117944,1875.4971117943933,1.0093774855589719
2020-02-01,-2,-1.4392544795936704,0.0,0.005997,0.0,0.0561,200000,201875.4971117944,1875.4971117943933,1.0093774855589719
2020-02-02,0,-0.9961578253938725,0.0,0.006229,0.0,0.0557,200000,201875.4971117944,1875.4971117943933,1.0093774855589719
