date,statusList,zscore,ICXUSDT_position,ICXUSDT_price,ZECUSDT_position,ZECUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1146,0.0,28.07,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1096,0.0,27.02,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1142,0.0,28.41,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1139,0.0,29.91,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1135,0.0,30.81,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1248,0.0,32.86,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1201,0.0,32.24,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1171,0.0,30.88,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.1167,0.0,30.83,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.1188,0.0,33.69,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1202,0.0,34.88,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.1215,0.0,35.52,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1229,0.0,38.32,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1394,0.0,43.83,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.143,0.0,54.97,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1455,0.0,50.8,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1527,0.0,61.54,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1532,0.0,51.16,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1462,0.0,51.56,200000,200000.0,0.0,1.0
2020-01-20,-1,-1.1775609573408556,661813.3686300463,0.1511,-1862.8912071535021,53.68,200000,200000.0,0.0,1.0
2020-01-21,-1,-0.827148699820249,661813.3686300463,0.157,-1862.8912071535021,53.26,200000,203122.28456791278,3122.2845679127786,1.0156114228395638
2020-01-22,-1,-0.6516154630350752,661813.3686300463,0.1564,-1862.8912071535021,52.21,200000,200769.1607792236,769.1607792236027,1.003845803896118
2020-01-23,-1,-0.5363708696515833,661813.3686300463,0.1495,-1862.8912071535021,49.6,200000,191340.50248500562,-8659.497514994378,0.9567025124250281
2020-01-24,-1,-0.2984347703182816,661813.3686300463,0.1507,-1862.8912071535021,48.82,200000,190681.62338578195,-9318.376614218054,0.9534081169289097
2020-01-25,0,-0.008784565177880498,0.0,0.155,0.0,48.72,200000,188178.98747486144,-11821.012525138562,0.9408949373743072
2020-01-26,0,0.22243020081164203,0.0,0.1738,0.0,53.65,200000,188178.98747486144,-11821.012525138562,0.9408949373743072
2020-01-27,0,0.24572457449660515,0.0,0.1775,0.0,55.18,200000,188178.98747486144,-11821.012525138562,0.9408949373743072
2020-01-28,0,0.5513718653506962,0.0,0.186,0.0,56.74,200000,188178.98747486144,-11821.012525138562,0.9408949373743072
2020-01-29,1,1.1917597384909042,-445499.49686283484,0.2112,1523.9632934472095,61.74,200000,188178.98747486144,-11821.012525138562,0.9408949373743072
2020-01-30,2,1.7500821223130836,0.0,0.238,0.0,66.3,200000,193169.10137266613,-6830.898627333867,0.9658455068633307
2020-01-31,2,2.3725843079231574,0.0,0.2589,0.0,66.51,200000,193169.10137266613,-6830.898627333867,0.9658455068633307
2020-02-01,2,2.5406259987942432,0.0,0.2751,0.0,66.03,200000,193169.10137266613,-6830.898627333867,0.9658455068633307
2020-02-02,2,2.8711718310935836,0.0,0.3176,0.0,66.36,200000,193169.10137266613,-6830.898627333867,0.9658455068633307
2020-02-03,2,3.0033877041925527,0.0,0.3705,0.0,65.52,200000,193169.10137266613,-6830.898627333867,0.9658455068633307
2020-02-04,2,3.4188115355162796,0.0,0.5091,0.0,64.34,200000,193169.10137266613,-6830.898627333867,0.9658455068633307
2020-02-05,2,1.7297896922995302,0.0,0.4369,0.0,71.19,200000,193169.10137266613,-6830.898627333867,0.9658455068633307
2020-02-06,2,1.7440338800995092,0.0,0.4574,0.0,70.14,200000,193169.10137266613,-6830.898627333867,0.9658455068633307
2020-02-07,2,1.2594349602783965,0.0,0.4123,0.0,68.38,200000,193169.10137266613,-6830.898627333867,0.9658455068633307
2020-02-08,0,0.9963945870509563,0.0,0.4056,0.0,70.02,200000,193169.10137266613,-6830.898627333867,0.9658455068633307
2020-02-09,1,1.1069955732987118,-220512.67279984718,0.438,1354.0523017851265,71.33,200000,193169.10137266613,-6830.898627333867,0.9658455068633307
2020-02-10,1,0.8245404280368618,-220512.67279984718,0.4077,1354.0523017851265,69.77,200000,184375.245796046,-15624.754203954013,0.9218762289802299
2020-02-11,1,0.6690411388517351,-220512.67279984718,0.4161,1354.0523017851265,72.68,200000,190167.84444575943,-9832.15555424057,0.9508392222287971
2020-02-12,1,0.6331193787929266,-220512.67279984718,0.423,1354.0523017851265,73.12,200000,192285.1649008638,-7714.835099136195,0.961425824504319
2020-02-13,1,0.25569633691400195,-220512.67279984718,0.3843,1354.0523017851265,72.01,200000,182248.32640852823,-17751.673591471772,0.9112416320426411
2020-02-14,1,0.32854975296696126,-220512.67279984718,0.4036,1354.0523017851265,72.92,200000,187736.40858818975,-12263.591411810252,0.9386820429409487
2020-02-15,1,0.2877531986761767,-220512.67279984718,0.3595,1354.0523017851265,64.46,200000,166556.5172446143,-33443.48275538569,0.8327825862230716
2020-02-16,1,0.4167315718657854,-220512.67279984718,0.35,1354.0523017851265,60.0,200000,158422.5735870541,-41577.426412945904,0.7921128679352705
2020-02-17,0,-0.06750291873204475,0.0,0.3455,0.0,64.2,200000,182426.07205040823,-17573.927949591773,0.9121303602520412
2020-02-18,0,0.26103710903293664,0.0,0.3826,0.0,65.74,200000,182426.07205040823,-17573.927949591773,0.9121303602520412
2020-02-19,0,0.19940831362738792,0.0,0.3633,0.0,62.1,200000,182426.07205040823,-17573.927949591773,0.9121303602520412
2020-02-20,0,0.8282991676847646,0.0,0.3896,0.0,60.79,200000,182426.07205040823,-17573.927949591773,0.9121303602520412
2020-02-21,2,1.4143360729395125,0.0,0.4222,0.0,61.56,200000,182426.07205040823,-17573.927949591773,0.9121303602520412
2020-02-22,1,1.0841406150199062,-224275.9676056162,0.4067,1501.9436197135537,60.73,200000,182426.07205040823,-17573.927949591773,0.9121303602520412
2020-02-23,1,0.4850120827219046,-224275.9676056162,0.4033,1501.9436197135537,63.32,200000,185553.5677356072,-14446.432264392788,0.927767838678036
2020-02-24,0,0.0727956821203289,0.0,0.365,0.0,60.7,200000,173118.82250984543,-26881.177490154572,0.8655941125492271
2020-02-25,0,-0.5670181747634808,0.0,0.3266,0.0,57.06,200000,173118.82250984543,-26881.177490154572,0.8655941125492271
2020-02-26,0,-0.08452486458511699,0.0,0.3027,0.0,51.33,200000,173118.82250984543,-26881.177490154572,0.8655941125492271
2020-02-27,0,-0.17649184650831318,0.0,0.3099,0.0,52.96,200000,173118.82250984543,-26881.177490154572,0.8655941125492271
2020-02-28,0,0.21776956810381143,0.0,0.306,0.0,50.83,200000,173118.82250984543,-26881.177490154572,0.8655941125492271
2020-02-29,0,0.1833001015138103,0.0,0.2937,0.0,48.96,200000,173118.82250984543,-26881.177490154572,0.8655941125492271
2020-03-01,0,-0.18071391916476523,0.0,0.2875,0.0,49.1,200000,173118.82250984543,-26881.177490154572,0.8655941125492271
2020-03-02,0,0.29484746055324157,0.0,0.3171,0.0,52.33,200000,173118.82250984543,-26881.177490154572,0.8655941125492271
2020-03-03,2,1.6561595308126895,0.0,0.3399,0.0,50.78,200000,173118.82250984543,-26881.177490154572,0.8655941125492271
2020-03-04,1,1.084800677302912,-265764.2347403215,0.3257,1725.3221298569406,50.17,200000,173118.82250984543,-26881.177490154572,0.8655941125492271
2020-03-05,2,2.8245605720723432,0.0,0.3958,0.0,51.84,200000,188867.6074082809,-11132.392591719108,0.9443380370414045
2020-03-06,2,1.669843739804702,0.0,0.3812,0.0,53.3,200000,188867.6074082809,-11132.392591719108,0.9443380370414045
2020-03-07,1,1.15442435734172,-269042.17579527193,0.351,1866.6496087001472,50.59,200000,188867.6074082809,-11132.392591719108,0.9443380370414045
2020-03-08,1,0.7926712269874442,-269042.17579527193,0.2903,1866.6496087001472,42.83,200000,158051.54637399473,-41948.45362600527,0.7902577318699736
2020-03-09,2,2.1508973621961336,0.0,0.3266,0.0,42.18,200000,198001.50152804452,-1998.4984719554777,0.9900075076402226
