date,statusList,zscore,ONGUSDT_position,ONGUSDT_price,QTUMUSDT_position,QTUMUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0956,0.0,1.603,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.095,0.0,1.533,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0995,0.0,1.629,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0981,0.0,1.642,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0998,0.0,1.631,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1024,0.0,1.747,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0997,0.0,1.735,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1016,0.0,1.683,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0991,0.0,1.634,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0996,0.0,1.734,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1039,0.0,1.74,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.105,0.0,1.754,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1027,0.0,1.701,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1132,0.0,1.915,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.1149,0.0,1.974,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1116,0.0,1.932,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1156,0.0,2.092,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1128,0.0,2.035,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1069,0.0,1.931,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.9910850271926588,0.0,0.1043,0.0,1.923,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.644806720471749,0.0,0.1062,0.0,1.95,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.7537505849557429,0.0,0.107,0.0,1.994,200000,200000.0,0.0,1.0
2020-01-23,0,-0.13018447343667036,0.0,0.1087,0.0,1.89,200000,200000.0,0.0,1.0
2020-01-24,-1,-1.0664395030240394,961538.4615384616,0.104,-52910.05291005291,1.89,200000,200000.0,0.0,1.0
2020-01-25,-1,-0.7708630090207864,961538.4615384616,0.1037,-52910.05291005291,1.867,200000,198494.60724460724,-1505.3927553927642,0.9924730362230362
2020-01-26,-1,-1.1199462935089604,961538.4615384616,0.1054,-52910.05291005291,1.935,200000,203727.10622710624,3727.10622710624,1.0186355311355313
2020-01-27,-2,-1.5472514932872914,0.0,0.1058,0.0,1.997,200000,203930.60643060645,3930.606430606451,1.0196530321530322
2020-01-28,-2,-1.4665151388782536,0.0,0.1083,0.0,2.052,200000,203930.60643060645,3930.606430606451,1.0196530321530322
2020-01-29,0,-0.11033973430334922,0.0,0.1157,0.0,2.066,200000,203930.60643060645,3930.606430606451,1.0196530321530322
2020-01-30,0,0.3959701768311764,0.0,0.1244,0.0,2.176,200000,203930.60643060645,3930.606430606451,1.0196530321530322
2020-01-31,2,3.200498029954428,0.0,0.1429,0.0,2.125,200000,203930.60643060645,3930.606430606451,1.0196530321530322
2020-02-01,2,1.9716222722845036,0.0,0.1404,0.0,2.193,200000,203930.60643060645,3930.606430606451,1.0196530321530322
2020-02-02,2,1.5209416113390106,0.0,0.1419,0.0,2.262,200000,203930.60643060645,3930.606430606451,1.0196530321530322
2020-02-03,2,1.4580197473824743,0.0,0.144,0.0,2.286,200000,203930.60643060645,3930.606430606451,1.0196530321530322
2020-02-04,2,1.9398286892541001,0.0,0.1529,0.0,2.307,200000,203930.60643060645,3930.606430606451,1.0196530321530322
2020-02-05,2,1.4539404743662612,0.0,0.1584,0.0,2.442,200000,203930.60643060645,3930.606430606451,1.0196530321530322
2020-02-06,1,1.0115847702083587,-633718.4786532208,0.1609,40080.70094941164,2.544,200000,203930.60643060645,3930.606430606451,1.0196530321530322
2020-02-07,1,0.8275761420407758,-633718.4786532208,0.1614,40080.70094941164,2.572,200000,205369.72529651655,5369.7252965165535,1.0268486264825827
2020-02-08,1,0.2628269570241209,-633718.4786532208,0.1565,40080.70094941164,2.6,200000,203386.76437769935,3386.76437769935,1.0169338218884967
2020-02-09,0,0.1893451267283173,0.0,0.1621,0.0,2.697,200000,198558.72135973032,-1441.2786402696802,0.9927936067986516
2020-02-10,0,0.10305059481270934,0.0,0.1557,0.0,2.597,200000,198558.72135973032,-1441.2786402696802,0.9927936067986516
2020-02-11,0,-0.09905307460968646,0.0,0.1607,0.0,2.709,200000,198558.72135973032,-1441.2786402696802,0.9927936067986516
2020-02-12,0,0.9637445820944311,0.0,0.1808,0.0,2.805,200000,198558.72135973032,-1441.2786402696802,0.9927936067986516
2020-02-13,2,1.6153061688544024,0.0,0.1948,0.0,2.849,200000,198558.72135973032,-1441.2786402696802,0.9927936067986516
2020-02-14,2,1.7427373561810122,0.0,0.2128,0.0,3.032,200000,198558.72135973032,-1441.2786402696802,0.9927936067986516
