date,statusList,zscore,VETUSDT_position,VETUSDT_price,TRXUSDT_position,TRXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.005358,0.0,0.01322,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.005094,0.0,0.01284,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.005327,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00562,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.005465,0.0,0.01353,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00573,0.0,0.01472,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.005578,0.0,0.01434,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.005492,0.0,0.01402,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.005319,0.0,0.01398,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005454,0.0,0.01469,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.005526,0.0,0.0146,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005523,0.0,0.01503,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005407,0.0,0.01464,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005994,0.0,0.01677,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.006003,0.0,0.01729,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005885,0.0,0.01734,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006392,0.0,0.01758,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.006239,0.0,0.01766,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005862,0.0,0.01665,200000,200000.0,0.0,1.0
2020-01-20,-1,-1.165582501791251,17199862.401100792,0.005814,-6020469.596628537,0.01661,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.2866557237137917,0.0,0.005964,0.0,0.01732,200000,201694.55405344116,1694.5540534411557,1.0084727702672058
2020-01-22,-2,-1.4636572249236064,0.0,0.005863,0.0,0.01743,200000,201694.55405344116,1694.5540534411557,1.0084727702672058
2020-01-23,-1,-1.009291582901667,17985959.87635466,0.005607,-6194550.185916497,0.01628,200000,201694.55405344116,1694.5540534411557,1.0084727702672058
2020-01-24,-1,-1.146226666870069,17985959.87635466,0.00558,-6194550.185916497,0.01639,200000,201890.33365723037,1890.333657230367,1.0094516682861518
2020-01-25,-1,-0.6756284972048011,17985959.87635466,0.005623,-6194550.185916497,0.01613,200000,201053.14688357536,1053.1468835753622,1.0052657344178768
2020-01-26,-1,-1.0501466201879293,17985959.87635466,0.00573,-6194550.185916497,0.01684,200000,207375.775222346,7375.775222346012,1.03687887611173
2020-01-27,-2,-1.2339035521115453,0.0,0.005748,0.0,0.01713,200000,204423.90136890416,4423.90136890416,1.0221195068445208
2020-01-28,-2,-2.381040701495,0.0,0.0058,0.0,0.0186,200000,204423.90136890416,4423.90136890416,1.0221195068445208
2020-01-29,-2,-2.259306706583085,0.0,0.005733,0.0,0.01866,200000,204423.90136890416,4423.90136890416,1.0221195068445208
2020-01-30,-2,-2.47727042851806,0.0,0.005687,0.0,0.0195,200000,204423.90136890416,4423.90136890416,1.0221195068445208
2020-01-31,-2,-1.5161896813784657,0.0,0.005766,0.0,0.01867,200000,204423.90136890416,4423.90136890416,1.0221195068445208
2020-02-01,-1,-1.1323755708766863,17043847.037594143,0.005997,-5359829.611140644,0.01907,200000,204423.90136890416,4423.90136890416,1.0221195068445208
2020-02-02,-1,-0.4839033724951543,17043847.037594143,0.006229,-5359829.611140644,0.01909,200000,208485.2704738488,8485.270473848796,1.042426352369244
2020-02-03,-1,-0.3139164089824921,17043847.037594143,0.006304,-5359829.611140644,0.0192,200000,210353.14025889384,10353.140258893836,1.0517657012944692
2020-02-04,0,0.29747610599129276,0.0,0.006532,0.0,0.01925,200000,196270.2125337966,-3729.7874662033864,0.9813510626689831
2020-02-05,-1,-1.0828167006913099,15163026.308235213,0.006472,-4727124.579330361,0.02076,200000,196270.2125337966,-3729.7874662033864,0.9813510626689831
2020-02-06,-2,-1.5700966103190797,0.0,0.0068,0.0,0.02271,200000,200514.6328343897,514.6328343896894,1.0025731641719484
2020-02-07,0,-0.9535858118510786,0.0,0.006817,0.0,0.02204,200000,200514.6328343897,514.6328343896894,1.0025731641719484
2020-02-08,-1,-1.027519903590422,15033335.79505096,0.006669,-4601070.051270989,0.02179,200000,200514.6328343897,514.6328343896894,1.0025731641719484
2020-02-09,-1,-0.762863808171368,15033335.79505096,0.006825,-4601070.051270989,0.02206,200000,204102.12213226082,4102.122132260818,1.020510610661304
2020-02-10,-2,-1.4822004130351587,0.0,0.00651,0.0,0.02216,200000,204607.32914477302,4607.329144773015,1.023036645723865
2020-02-11,0,0.548785932157903,0.0,0.007485,0.0,0.02272,200000,204607.32914477302,4607.329144773015,1.023036645723865
2020-02-12,0,-0.36383560295954365,0.0,0.00747,0.0,0.02393,200000,204607.32914477302,4607.329144773015,1.023036645723865
2020-02-13,1,1.159974515599252,-12694337.333712187,0.008059,4278697.807293455,0.02391,200000,204607.32914477302,4607.329144773015,1.023036645723865
2020-02-14,0,-0.12101355125308584,0.0,0.008301,0.0,0.02639,200000,197068.18821744362,-2931.8117825563822,0.985340941087218
