date,statusList,zscore,EOSUSDT_position,EOSUSDT_price,DASHUSDT_position,DASHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,2.6039,0.0,41.84,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,2.4593,0.0,40.04,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,2.6396,0.0,43.92,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,2.6481,0.0,46.19,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,2.6865,0.0,51.17,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,2.8506,0.0,56.57,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,2.8459,0.0,54.62,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,2.7751,0.0,52.42,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,2.7432,0.0,50.54,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,2.9866,0.0,56.88,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,2.9901,0.0,63.46,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,3.2107,0.0,66.19,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,3.1049,0.0,69.43,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,3.81,0.0,89.28,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,3.7675,0.0,133.6,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,3.8376,0.0,127.45,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,3.9038,0.0,113.04,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,3.8049,0.0,101.15,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,3.6115,0.0,104.92,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.3007342039373297,0.0,3.62,0.0,109.91,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.1776366606760813,27377.008788019823,3.6527,-904.9773755656108,110.5,200000,200000.0,0.0,1.0
2020-01-22,-1,-1.0061743121225417,27377.008788019823,3.654,-904.9773755656108,107.8,200000,197592.15119739727,-2407.8488026027335,0.9879607559869863
2020-01-23,-1,-0.8403761367308523,27377.008788019823,3.5706,-904.9773755656108,102.72,200000,190711.6235966031,-9288.376403396891,0.9535581179830156
2020-01-24,-1,-0.6018452985644778,27377.008788019823,3.6345,-904.9773755656108,100.11,200000,190099.02350793133,-9900.976492068672,0.9504951175396567
2020-01-25,-1,-0.7200510059923619,27377.008788019823,3.498,-904.9773755656108,101.31,200000,187448.03465904537,-12551.96534095463,0.9372401732952269
2020-01-26,-1,-0.8234280400121393,27377.008788019823,3.6486,-904.9773755656108,111.01,200000,200349.29272550758,349.2927255075774,1.001746463627538
2020-01-27,-1,-0.48170196172027735,27377.008788019823,3.9647,-904.9773755656108,112.78,200000,210604.97515815176,10604.975158151763,1.0530248757907588
2020-01-28,-1,-0.4411437443687405,27377.008788019823,4.0412,-904.9773755656108,115.91,200000,215531.89551595564,15531.895515955635,1.077659477579778
2020-01-29,-1,-0.6978353822225485,27377.008788019823,3.9674,-904.9773755656108,121.97,200000,218995.6351633274,18995.635163327388,1.094978175816637
2020-01-30,0,-0.13808885410532118,0.0,4.3236,0.0,121.9,200000,191949.50688556547,-8050.493114434532,0.9597475344278273
2020-01-31,0,0.026911934381324328,0.0,4.1444,0.0,115.85,200000,191949.50688556547,-8050.493114434532,0.9597475344278273
2020-02-01,0,0.16071607110334996,0.0,4.1531,0.0,116.7,200000,191949.50688556547,-8050.493114434532,0.9597475344278273
2020-02-02,0,0.7814025122048316,0.0,4.2145,0.0,114.29,200000,191949.50688556547,-8050.493114434532,0.9597475344278273
2020-02-03,0,0.9510447755856083,0.0,4.2027,0.0,115.34,200000,191949.50688556547,-8050.493114434532,0.9597475344278273
2020-02-04,2,1.7638297138467818,0.0,4.2306,0.0,110.87,200000,191949.50688556547,-8050.493114434532,0.9597475344278273
2020-02-05,1,1.0535099991938777,-21193.965516028336,4.5284,780.4094441598857,122.98,200000,191949.50688556547,-8050.493114434532,0.9597475344278273
2020-02-06,2,1.6893750963078744,0.0,4.6038,0.0,120.32,200000,195623.42100693932,-4376.578993060684,0.9781171050346966
2020-02-07,2,1.8043285325191174,0.0,4.5898,0.0,118.68,200000,195623.42100693932,-4376.578993060684,0.9781171050346966
2020-02-08,1,1.1509497010962104,-20540.048404760535,4.762,774.5008354063635,126.29,200000,195623.42100693932,-4376.578993060684,0.9781171050346966
2020-02-09,2,1.6316241947170362,0.0,5.0111,0.0,128.51,200000,199020.55520996306,-979.4447900369414,0.9951027760498153
2020-02-10,2,1.2071569948490304,0.0,4.8986,0.0,127.58,200000,199020.55520996306,-979.4447900369414,0.9951027760498153
2020-02-11,2,2.005584289366204,0.0,5.2449,0.0,129.2,200000,199020.55520996306,-979.4447900369414,0.9951027760498153
2020-02-12,2,1.4850501548020776,0.0,5.3307,0.0,133.53,200000,199020.55520996306,-979.4447900369414,0.9951027760498153
