date,statusList,zscore,TFUELUSDT_position,TFUELUSDT_price,HOTUSDT_position,HOTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.002383,0.0,0.0006275,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.002297,0.0,0.0006035,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.002403,0.0,0.0006794,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.002429,0.0,0.0006796,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.002412,0.0,0.0006708,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.002461,0.0,0.000703,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.002382,0.0,0.0006815,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.002511,0.0,0.0006721,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.002395,0.0,0.000671,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.002402,0.0,0.0006865,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.002403,0.0,0.00067,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.002452,0.0,0.0006813,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.002456,0.0,0.000674,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.002572,0.0,0.0007056,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.002567,0.0,0.0007118,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.002584,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.002598,0.0,0.0007304,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.002591,0.0,0.0007145,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00246,0.0,0.0006752,200000,200000.0,0.0,1.0
2020-01-20,2,1.8975078067631568,0.0,0.002579,0.0,0.0006756,200000,200000.0,0.0,1.0
2020-01-21,2,1.555635252979943,0.0,0.002514,0.0,0.0006651,200000,200000.0,0.0,1.0
2020-01-22,2,1.4391630472641137,0.0,0.002515,0.0,0.0006688,200000,200000.0,0.0,1.0
2020-01-23,2,2.5292028327736036,0.0,0.002492,0.0,0.0006333,200000,200000.0,0.0,1.0
2020-01-24,2,1.6291368382151417,0.0,0.002449,0.0,0.0006346,200000,200000.0,0.0,1.0
2020-01-25,2,2.2727650368654904,0.0,0.002489,0.0,0.000621,200000,200000.0,0.0,1.0
2020-01-26,2,1.5921487099882201,0.0,0.0025,0.0,0.0006347,200000,200000.0,0.0,1.0
2020-01-27,2,1.482837699677247,0.0,0.002574,0.0,0.0006521,200000,200000.0,0.0,1.0
2020-01-28,2,1.6753867435667618,0.0,0.0026,0.0,0.000648,200000,200000.0,0.0,1.0
2020-01-29,0,0.3128329195559424,0.0,0.002481,0.0,0.0006531,200000,200000.0,0.0,1.0
2020-01-30,0,0.9559915134177301,0.0,0.002498,0.0,0.000638,200000,200000.0,0.0,1.0
2020-01-31,0,0.9037857995094507,0.0,0.002482,0.0,0.0006329,200000,200000.0,0.0,1.0
2020-02-01,0,0.4929772945239087,0.0,0.002496,0.0,0.0006448,200000,200000.0,0.0,1.0
2020-02-02,0,-0.31155850218697784,0.0,0.002528,0.0,0.0006719,200000,200000.0,0.0,1.0
2020-02-03,0,0.30109077778995874,0.0,0.002553,0.0,0.0006619,200000,200000.0,0.0,1.0
2020-02-04,0,0.9955424044201926,0.0,0.002754,0.0,0.000695,200000,200000.0,0.0,1.0
2020-02-05,2,2.004792372751814,0.0,0.002882,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-02-06,2,1.5367637605982174,0.0,0.003024,0.0,0.00074,200000,200000.0,0.0,1.0
2020-02-07,2,1.7318711168199568,0.0,0.0032,0.0,0.0007744,200000,200000.0,0.0,1.0
2020-02-08,-2,-1.3466830456950616,0.0,0.003031,0.0,0.000808,200000,200000.0,0.0,1.0
2020-02-09,2,1.80020498418642,0.0,0.003333,0.0,0.0008003,200000,200000.0,0.0,1.0
