date,statusList,zscore,ZRXUSDT_position,ZRXUSDT_price,XLMUSDT_position,XLMUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1825,0.0,0.04529,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1752,0.0,0.04361,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1821,0.0,0.04566,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1864,0.0,0.04565,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1861,0.0,0.04544,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1958,0.0,0.05046,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1878,0.0,0.04839,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2133,0.0,0.04768,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.2058,0.0,0.04718,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.2026,0.0,0.04802,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.2064,0.0,0.04825,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.2182,0.0,0.04905,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.2102,0.0,0.04813,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.238,0.0,0.0528,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2459,0.0,0.0548,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2474,0.0,0.05367,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2547,0.0,0.06072,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2455,0.0,0.06149,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2312,0.0,0.06004,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.8498724981305112,0.0,0.2316,0.0,0.06274,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.1819059954709494,414078.67494824016,0.2415,-1592610.2882624622,0.06279,200000,200000.0,0.0,1.0
2020-01-22,-1,-0.7689883739962935,414078.67494824016,0.2425,-1592610.2882624622,0.06136,200000,198136.6459627329,-1863.3540372670977,0.9906832298136645
2020-01-23,-1,-0.8863569801985404,414078.67494824016,0.2283,-1592610.2882624622,0.05833,200000,187431.11960503267,-12568.880394967331,0.9371555980251633
