date,statusList,zscore,ZECUSDT_position,ZECUSDT_price,HOTUSDT_position,HOTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,28.07,0.0,0.0006275,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,27.02,0.0,0.0006035,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,28.41,0.0,0.0006794,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,29.91,0.0,0.0006796,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,30.81,0.0,0.0006708,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,32.86,0.0,0.000703,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,32.24,0.0,0.0006815,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,30.88,0.0,0.0006721,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,30.83,0.0,0.000671,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,33.69,0.0,0.0006865,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,34.88,0.0,0.00067,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,35.52,0.0,0.0006813,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,38.32,0.0,0.000674,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,43.83,0.0,0.0007056,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,54.97,0.0,0.0007118,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,50.8,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.54,0.0,0.0007304,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,51.16,0.0,0.0007145,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,51.56,0.0,0.0006752,200000,200000.0,0.0,1.0
2020-01-20,2,1.5621046319630436,0.0,53.68,0.0,0.0006756,200000,200000.0,0.0,1.0
2020-01-21,2,1.4258483001359072,0.0,53.26,0.0,0.0006651,200000,200000.0,0.0,1.0
2020-01-22,1,1.1630352741571894,-1915.3418885271021,52.21,149521531.10047847,0.0006688,200000,200000.0,0.0,1.0
2020-01-23,1,1.0712488589255198,-1915.3418885271021,49.6,149521531.10047847,0.0006333,200000,189692.9433168773,-10307.056683122704,0.9484647165843865
2020-01-24,1,0.8865911970375516,-1915.3418885271021,48.82,149521531.10047847,0.0006346,200000,188393.35463425677,-11606.645365743228,0.9419667731712839
2020-01-25,1,0.8984325778188378,-1915.3418885271021,48.72,149521531.10047847,0.000621,200000,186168.32762243756,-13831.672377562441,0.9308416381121878
2020-01-26,2,1.2014636624802457,0.0,53.65,0.0,0.0006347,200000,207856.77653000533,7856.776530005329,1.0392838826500266
2020-01-27,1,1.1031056421079986,-1883.4430638818894,55.18,159374924.4977805,0.0006521,200000,207856.77653000533,7856.776530005329,1.0392838826500266
2020-01-28,2,1.2171202844773097,0.0,56.74,0.0,0.000648,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-01-29,2,1.6176338047952228,0.0,61.74,0.0,0.0006531,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-01-30,2,2.0912190104360624,0.0,66.3,0.0,0.000638,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-01-31,2,1.9572244481652916,0.0,66.51,0.0,0.0006329,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-01,2,1.6466327906280689,0.0,66.03,0.0,0.0006448,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-02,2,1.2826385031865237,0.0,66.36,0.0,0.0006719,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-03,2,1.2198109622209599,0.0,65.52,0.0,0.0006619,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-04,0,0.5649404273566142,0.0,64.34,0.0,0.000695,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-05,2,1.3220531217456644,0.0,71.19,0.0,0.0006959,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-06,0,0.5780694823466511,0.0,70.14,0.0,0.00074,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-07,0,-0.09827422267521341,0.0,68.38,0.0,0.0007744,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-08,0,-0.32398979270880673,0.0,70.02,0.0,0.000808,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-09,0,-0.12402471127911444,0.0,71.33,0.0,0.0008003,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-10,0,0.10664241628196146,0.0,69.77,0.0,0.0007595,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-11,0,0.29721284476037363,0.0,72.68,0.0,0.000771,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-12,0,-0.7394858957575928,0.0,73.12,0.0,0.0008498,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-13,-2,-1.2642646785050908,0.0,72.01,0.0,0.0008714,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-14,-2,-1.4493900154104427,0.0,72.92,0.0,0.0008915,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-15,-2,-1.9935801646270008,0.0,64.46,0.0,0.000849,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-16,-2,-2.0758786564148575,0.0,60.0,0.0,0.0008258,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-17,-1,-1.070882174823513,1646.7942749229126,64.2,-133709614.83502086,0.0007907,200000,211448.38490010198,11448.384900101984,1.05724192450051
2020-02-18,-1,-0.8395101963464411,1646.7942749229126,65.74,-133709614.83502086,0.0007956,200000,214639.62519617483,14639.625196174835,1.0731981259808743
2020-02-19,-1,-0.48883483065739186,1646.7942749229126,62.1,-133709614.83502086,0.0007284,200000,199660.00791854208,-339.99208145792363,0.9983000395927104
