date,statusList,zscore,MATICUSDT_position,MATICUSDT_price,CELRUSDT_position,CELRUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.01496,0.0,0.00362,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.01467,0.0,0.0034,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.01512,0.0,0.00355,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.01484,0.0,0.00355,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.01483,0.0,0.00349,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.01554,0.0,0.00356,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.01509,0.0,0.00347,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.01499,0.0,0.00339,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.01459,0.0,0.00332,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.01486,0.0,0.00327,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.01479,0.0,0.00333,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.01496,0.0,0.00346,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.01548,0.0,0.00352,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.01564,0.0,0.00344,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.01639,0.0,0.00359,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.01614,0.0,0.00351,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0187,0.0,0.00366,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.01748,0.0,0.00367,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.01643,0.0,0.00337,200000,200000.0,0.0,1.0
2020-01-20,2,2.2726373112104095,0.0,0.01685,0.0,0.00328,200000,200000.0,0.0,1.0
2020-01-21,2,2.1200720291394917,0.0,0.01713,0.0,0.00329,200000,200000.0,0.0,1.0
2020-01-22,2,1.743592741507052,0.0,0.01708,0.0,0.0033,200000,200000.0,0.0,1.0
2020-01-23,0,0.9743866884056744,0.0,0.01605,0.0,0.00324,200000,200000.0,0.0,1.0
2020-01-24,1,1.0740681319952814,-6165228.113440198,0.01622,30959752.321981426,0.00323,200000,200000.0,0.0,1.0
2020-01-25,0,0.13910040995732248,0.0,0.01602,0.0,0.00338,200000,194122.99152901475,-5877.008470985253,0.9706149576450738
2020-01-26,0,0.5703998565684532,0.0,0.01645,0.0,0.00336,200000,194122.99152901475,-5877.008470985253,0.9706149576450738
2020-01-27,1,1.1456970865069611,-5743283.773047774,0.0169,29323714.73247957,0.00331,200000,194122.99152901475,-5877.008470985253,0.9706149576450738
2020-01-28,1,1.1149901482277698,-5743283.773047774,0.01714,29323714.73247957,0.00334,200000,196381.09107652062,-3618.908923479379,0.9819054553826031
2020-01-29,2,1.52454848501527,0.0,0.01704,0.0,0.00321,200000,197859.4227304894,-2140.577269510599,0.989297113652447
2020-01-30,2,2.27583072871564,0.0,0.01859,0.0,0.00326,200000,197859.4227304894,-2140.577269510599,0.989297113652447
2020-01-31,2,1.4969249408830987,0.0,0.01795,0.0,0.00327,200000,197859.4227304894,-2140.577269510599,0.989297113652447
2020-02-01,2,1.4732385513943587,0.0,0.01829,0.0,0.00331,200000,197859.4227304894,-2140.577269510599,0.989297113652447
2020-02-02,2,1.5425903100918406,0.0,0.01903,0.0,0.0034,200000,197859.4227304894,-2140.577269510599,0.989297113652447
2020-02-03,2,2.4908705430865803,0.0,0.02199,0.0,0.00359,200000,197859.4227304894,-2140.577269510599,0.989297113652447
2020-02-04,1,1.1089589656887016,-4715429.521698985,0.02098,26522710.821781423,0.00373,200000,197859.4227304894,-2140.577269510599,0.989297113652447
2020-02-05,2,1.6967026372777196,0.0,0.02155,0.0,0.00364,200000,202934.26153181816,2934.2615318181633,1.0146713076590907
2020-02-06,2,1.5736663811292577,0.0,0.02449,0.0,0.00411,200000,202934.26153181816,2934.2615318181633,1.0146713076590907
2020-02-07,0,0.3583562677903333,0.0,0.023,0.0,0.00419,200000,202934.26153181816,2934.2615318181633,1.0146713076590907
2020-02-08,0,-0.67809886584867,0.0,0.02123,0.0,0.00416,200000,202934.26153181816,2934.2615318181633,1.0146713076590907
2020-02-09,0,-0.44888302010307596,0.0,0.02197,0.0,0.00423,200000,202934.26153181816,2934.2615318181633,1.0146713076590907
2020-02-10,-2,-1.4835252319620713,0.0,0.02159,0.0,0.00455,200000,202934.26153181816,2934.2615318181633,1.0146713076590907
2020-02-11,0,-0.8147776425985224,0.0,0.0229,0.0,0.00458,200000,202934.26153181816,2934.2615318181633,1.0146713076590907
2020-02-12,-2,-1.2387349549099094,0.0,0.0228,0.0,0.00474,200000,202934.26153181816,2934.2615318181633,1.0146713076590907
2020-02-13,-2,-1.7701241830338275,0.0,0.02233,0.0,0.00496,200000,202934.26153181816,2934.2615318181633,1.0146713076590907
2020-02-14,-2,-2.161093665319086,0.0,0.02326,0.0,0.00555,200000,202934.26153181816,2934.2615318181633,1.0146713076590907
