date,statusList,zscore,NULSUSDT_position,NULSUSDT_price,HOTUSDT_position,HOTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.2308,0.0,0.0006275,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.2207,0.0,0.0006035,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.2284,0.0,0.0006794,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.2337,0.0,0.0006796,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.234,0.0,0.0006708,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.2456,0.0,0.000703,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.23,0.0,0.0006815,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2251,0.0,0.0006721,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.226,0.0,0.000671,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.2279,0.0,0.0006865,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.2339,0.0,0.00067,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.2382,0.0,0.0006813,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.2348,0.0,0.000674,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.2461,0.0,0.0007056,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2584,0.0,0.0007118,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2585,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2692,0.0,0.0007304,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2754,0.0,0.0007145,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2618,0.0,0.0006752,200000,200000.0,0.0,1.0
2020-01-20,2,1.8854576560810485,0.0,0.2635,0.0,0.0006756,200000,200000.0,0.0,1.0
2020-01-21,2,2.291821703587846,0.0,0.2704,0.0,0.0006651,200000,200000.0,0.0,1.0
2020-01-22,2,2.12791937263144,0.0,0.2757,0.0,0.0006688,200000,200000.0,0.0,1.0
2020-01-23,2,1.6595052696198984,0.0,0.2575,0.0,0.0006333,200000,200000.0,0.0,1.0
2020-01-24,2,1.9296558123264416,0.0,0.2683,0.0,0.0006346,200000,200000.0,0.0,1.0
2020-01-25,2,1.6683155891392176,0.0,0.2624,0.0,0.000621,200000,200000.0,0.0,1.0
2020-01-26,2,1.482459710245543,0.0,0.2684,0.0,0.0006347,200000,200000.0,0.0,1.0
2020-01-27,1,1.112781612028083,-369822.48520710063,0.2704,153350713.08081582,0.0006521,200000,200000.0,0.0,1.0
2020-01-28,2,1.2116327000679346,0.0,0.2733,0.0,0.000648,200000,201701.22313073193,1701.2231307319307,1.0085061156536597
2020-01-29,0,0.9416533868293846,0.0,0.2717,0.0,0.0006531,200000,201701.22313073193,1701.2231307319307,1.0085061156536597
2020-01-30,2,1.4889331894026205,0.0,0.2786,0.0,0.000638,200000,201701.22313073193,1701.2231307319307,1.0085061156536597
2020-01-31,2,1.5796127663189885,0.0,0.2815,0.0,0.0006329,200000,201701.22313073193,1701.2231307319307,1.0085061156536597
2020-02-01,2,1.6104994744690233,0.0,0.2908,0.0,0.0006448,200000,201701.22313073193,1701.2231307319307,1.0085061156536597
2020-02-02,2,1.6730100516615105,0.0,0.3076,0.0,0.0006719,200000,201701.22313073193,1701.2231307319307,1.0085061156536597
2020-02-03,2,1.6640570568828108,0.0,0.3054,0.0,0.0006619,200000,201701.22313073193,1701.2231307319307,1.0085061156536597
2020-02-04,2,1.972443738836749,0.0,0.3321,0.0,0.000695,200000,201701.22313073193,1701.2231307319307,1.0085061156536597
2020-02-05,2,2.1134100519263885,0.0,0.3427,0.0,0.0006959,200000,201701.22313073193,1701.2231307319307,1.0085061156536597
2020-02-06,2,1.674872394321044,0.0,0.3579,0.0,0.00074,200000,201701.22313073193,1701.2231307319307,1.0085061156536597
2020-02-07,0,0.3856917788060264,0.0,0.3448,0.0,0.0007744,200000,201701.22313073193,1701.2231307319307,1.0085061156536597
2020-02-08,0,-0.1777841641149717,0.0,0.3482,0.0,0.000808,200000,201701.22313073193,1701.2231307319307,1.0085061156536597
