date,statusList,zscore,NEOUSDT_position,NEOUSDT_price,THETAUSDT_position,THETAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,8.85,0.0,0.08656,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,8.462,0.0,0.08443,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,8.888,0.0,0.08771,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,9.077,0.0,0.09394,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,9.02,0.0,0.09421,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,9.757,0.0,0.09987,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,9.801,0.0,0.09608,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,9.448,0.0,0.09873,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,9.387,0.0,0.09294,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,9.862,0.0,0.09509,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,9.696,0.0,0.09437,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,10.271,0.0,0.09589,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,10.0,0.0,0.09703,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,11.204,0.0,0.10598,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,11.412,0.0,0.10438,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,11.271,0.0,0.10368,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,11.848,0.0,0.11193,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,11.876,0.0,0.10876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,11.245,0.0,0.1126,200000,200000.0,0.0,1.0
2020-01-20,0,-0.32785358993595404,0.0,11.114,0.0,0.10998,200000,200000.0,0.0,1.0
2020-01-21,0,-0.36769565476103616,0.0,11.226,0.0,0.11136,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.6503605449560568,0.0,11.247,0.0,0.119,200000,200000.0,0.0,1.0
2020-01-23,0,-0.8737969587156782,0.0,10.621,0.0,0.10858,200000,200000.0,0.0,1.0
2020-01-24,0,-0.4244999608147884,0.0,10.511,0.0,0.10494,200000,200000.0,0.0,1.0
