date,statusList,zscore,ICXUSDT_position,ICXUSDT_price,MITHUSDT_position,MITHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1146,0.0,0.00757,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1096,0.0,0.00699,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1142,0.0,0.00739,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1139,0.0,0.00728,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1135,0.0,0.00734,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1248,0.0,0.00741,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1201,0.0,0.00705,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1171,0.0,0.00678,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.1167,0.0,0.00664,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.1188,0.0,0.00655,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1202,0.0,0.00669,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.1215,0.0,0.00671,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1229,0.0,0.00669,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1394,0.0,0.00679,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.143,0.0,0.00715,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1455,0.0,0.00716,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1527,0.0,0.00723,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1532,0.0,0.00732,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1462,0.0,0.00704,200000,200000.0,0.0,1.0
2020-01-20,2,1.6587459067488324,0.0,0.1511,0.0,0.00692,200000,200000.0,0.0,1.0
2020-01-21,2,1.4017815670277871,0.0,0.157,0.0,0.00727,200000,200000.0,0.0,1.0
2020-01-22,0,0.7677129291695601,0.0,0.1564,0.0,0.00767,200000,200000.0,0.0,1.0
2020-01-23,0,0.6802196535031902,0.0,0.1495,0.0,0.00734,200000,200000.0,0.0,1.0
2020-01-24,0,0.7722501304562813,0.0,0.1507,0.0,0.00728,200000,200000.0,0.0,1.0
2020-01-25,0,0.815339932324495,0.0,0.155,0.0,0.00742,200000,200000.0,0.0,1.0
2020-01-26,1,1.022212336860821,-575373.993095512,0.1738,12300123.001230013,0.00813,200000,200000.0,0.0,1.0
2020-01-27,2,1.7023473206268747,0.0,0.1775,0.0,0.00781,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-01-28,2,2.1581050806325814,0.0,0.186,0.0,0.00776,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-01-29,2,3.06743701598566,0.0,0.2112,0.0,0.00764,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-01-30,2,3.2329406264839045,0.0,0.238,0.0,0.00742,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-01-31,2,2.5994116854346134,0.0,0.2589,0.0,0.00794,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-01,2,2.463148868308594,0.0,0.2751,0.0,0.00792,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-02,2,2.6548384456848977,0.0,0.3176,0.0,0.00799,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-03,2,2.7784743790783626,0.0,0.3705,0.0,0.00792,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-04,2,3.060364067962486,0.0,0.5091,0.0,0.00837,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-05,2,1.9079843728398354,0.0,0.4369,0.0,0.00839,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-06,2,1.3562286813893634,0.0,0.4574,0.0,0.00964,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-07,0,0.8143906380048036,0.0,0.4123,0.0,0.00988,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-08,0,0.8897351010071443,0.0,0.4056,0.0,0.00925,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-09,0,0.8891355186632198,0.0,0.438,0.0,0.00973,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-10,0,0.5972007587343504,0.0,0.4077,0.0,0.00965,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-11,0,0.6314603282966924,0.0,0.4161,0.0,0.00954,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-12,0,0.18642444716141887,0.0,0.423,0.0,0.01082,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-13,0,-0.400065511219201,0.0,0.3843,0.0,0.01156,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-14,0,-0.30406228754264036,0.0,0.4036,0.0,0.01146,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-15,0,-0.37581898165275596,0.0,0.3595,0.0,0.01013,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-16,0,-0.3092063279608353,0.0,0.35,0.0,0.00944,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-17,0,-0.2969529421516912,0.0,0.3455,0.0,0.00906,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-18,0,-0.042220234852960364,0.0,0.3826,0.0,0.00938,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-19,0,0.17816115453063527,0.0,0.3633,0.0,0.00848,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-20,0,0.780337939365571,0.0,0.3896,0.0,0.0082,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-21,1,1.0772966311944032,-244037.09513837867,0.4222,12251184.49077568,0.00841,200000,206064.92313484696,6064.923134846962,1.0303246156742347
2020-02-22,1,0.7329077612864627,-244037.09513837867,0.4067,12251184.49077568,0.0084,200000,202159.83631529432,2159.8363152943202,1.0107991815764716
2020-02-23,1,0.6187592513491339,-244037.09513837867,0.4033,12251184.49077568,0.00845,200000,201942.6694163626,1942.6694163625943,1.009713347081813
2020-02-24,1,0.4314074263734403,-244037.09513837867,0.365,12251184.49077568,0.00809,200000,188185.62225588347,-11814.37774411653,0.9409281112794173
2020-02-25,1,0.31554619414900265,-244037.09513837867,0.3266,12251184.49077568,0.00743,200000,170728.8160386578,-29271.183961342205,0.853644080193289
2020-02-26,1,0.8884821125898699,-244037.09513837867,0.3027,12251184.49077568,0.00649,200000,153380.21604352142,-46619.78395647858,0.7669010802176071
2020-02-27,1,0.7879783348088221,-244037.09513837867,0.3099,12251184.49077568,0.00667,200000,157342.49633685732,-42657.50366314268,0.7867124816842866
2020-02-28,1,0.7584142718476573,-244037.09513837867,0.306,12251184.49077568,0.00658,200000,155288.14506164784,-44711.85493835216,0.7764407253082393
2020-02-29,1,0.675870988877742,-244037.09513837867,0.2937,12251184.49077568,0.00636,200000,149591.22820347516,-50408.771796524845,0.7479561410173758
2020-03-01,1,0.6099406768733618,-244037.09513837867,0.2875,12251184.49077568,0.00624,200000,146608.05607472413,-53391.943925275875,0.7330402803736207
