date,statusList,zscore,DASHUSDT_position,DASHUSDT_price,ZILUSDT_position,ZILUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.84,0.0,0.00454,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,40.04,0.0,0.00438,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,43.92,0.0,0.00454,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,46.19,0.0,0.00461,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,51.17,0.0,0.00463,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,56.57,0.0,0.00489,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,54.62,0.0,0.00481,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,52.42,0.0,0.00469,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,50.54,0.0,0.00459,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,56.88,0.0,0.00469,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,63.46,0.0,0.00465,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,66.19,0.0,0.00478,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,69.43,0.0,0.00467,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,89.28,0.0,0.00507,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,133.6,0.0,0.00523,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,127.45,0.0,0.00514,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,113.04,0.0,0.00544,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,101.15,0.0,0.00528,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,104.92,0.0,0.00511,200000,200000.0,0.0,1.0
2020-01-20,2,1.2393813732998882,0.0,109.91,0.0,0.0051,200000,200000.0,0.0,1.0
2020-01-21,1,1.1253877831698234,-904.9773755656108,110.5,19531250.0,0.00512,200000,200000.0,0.0,1.0
2020-01-22,1,0.882289531885024,-904.9773755656108,107.8,19531250.0,0.00519,200000,198923.74858597285,-1076.2514140271524,0.9946187429298642
2020-01-23,1,0.7860808695184823,-904.9773755656108,102.72,19531250.0,0.00496,200000,189834.27601809954,-10165.72398190046,0.9491713800904977
2020-01-24,1,0.6226859370358946,-904.9773755656108,100.11,19531250.0,0.00494,200000,187081.6600678733,-12918.339932126692,0.9354083003393665
2020-01-25,1,0.596611120534877,-904.9773755656108,101.31,19531250.0,0.00494,200000,188167.63291855203,-11832.36708144797,0.9408381645927602
2020-01-26,1,0.7606257737021918,-904.9773755656108,111.01,19531250.0,0.00512,200000,200461.5384615385,461.53846153849736,1.0023076923076926
2020-01-27,1,0.7647338685062981,-904.9773755656108,112.78,19531250.0,0.00511,200000,201868.0359162896,1868.0359162896057,1.009340179581448
2020-01-28,1,0.6359346381821386,-904.9773755656108,115.91,19531250.0,0.00531,200000,208606.86510180993,8606.865101809934,1.0430343255090497
2020-01-29,1,0.6359463830952761,-904.9773755656108,121.97,19531250.0,0.00552,200000,218192.59049773755,18192.590497737547,1.0909629524886877
2020-01-30,1,0.5424064449247585,-904.9773755656108,121.9,19531250.0,0.00554,200000,218519.86708144797,18519.86708144797,1.0925993354072399
2020-01-31,0,-0.3818940044534226,0.0,115.85,0.0,0.00593,200000,189021.31645927601,-10978.683540723985,0.9451065822963801
2020-02-01,0,-0.6368552710629649,0.0,116.7,0.0,0.00601,200000,189021.31645927601,-10978.683540723985,0.9451065822963801
2020-02-02,-2,-1.3848102175748553,0.0,114.29,0.0,0.0062,200000,189021.31645927601,-10978.683540723985,0.9451065822963801
2020-02-03,-2,-1.4388617663938272,0.0,115.34,0.0,0.00624,200000,189021.31645927601,-10978.683540723985,0.9451065822963801
2020-02-04,-2,-2.4382406386926885,0.0,110.87,0.0,0.00683,200000,189021.31645927601,-10978.683540723985,0.9451065822963801
2020-02-05,-2,-1.4905016095600505,0.0,122.98,0.0,0.00688,200000,189021.31645927601,-10978.683540723985,0.9451065822963801
2020-02-06,-2,-2.1054987903667697,0.0,120.32,0.0,0.00745,200000,189021.31645927601,-10978.683540723985,0.9451065822963801
2020-02-07,-2,-2.422936983890736,0.0,118.68,0.0,0.00825,200000,189021.31645927601,-10978.683540723985,0.9451065822963801
2020-02-08,-2,-1.2053174000474276,0.0,126.29,0.0,0.00751,200000,189021.31645927601,-10978.683540723985,0.9451065822963801
2020-02-09,-2,-1.3047724755800694,0.0,128.51,0.0,0.00792,200000,189021.31645927601,-10978.683540723985,0.9451065822963801
2020-02-10,0,-0.935299815266952,0.0,127.58,0.0,0.00756,200000,189021.31645927601,-10978.683540723985,0.9451065822963801
2020-02-11,-2,-1.2495098315351663,0.0,129.2,0.0,0.00819,200000,189021.31645927601,-10978.683540723985,0.9451065822963801
2020-02-12,-1,-1.0087722701816817,707.7859524424325,133.53,-11400561.909485888,0.00829,200000,189021.31645927604,-10978.683540723956,0.9451065822963802
2020-02-13,-1,-0.8835413429252545,707.7859524424325,131.18,-11400561.909485888,0.0081,200000,185191.91270823398,-14808.087291766016,0.9259595635411699
2020-02-14,-2,-1.2674216790715054,0.0,133.34,0.0,0.00898,200000,197022.18350778538,-2977.8164922146243,0.9851109175389269
2020-02-15,-1,-1.1344480597629845,815.9619958079408,120.73,-12161863.179492924,0.0081,200000,197022.18350778538,-2977.8164922146243,0.9851109175389269
2020-02-16,-2,-1.262064785757263,0.0,110.73,0.0,0.00774,200000,200803.53272124735,803.5327212473494,1.0040176636062368
2020-02-17,0,-0.7429847126867937,0.0,114.66,0.0,0.00744,200000,200803.53272124735,803.5327212473494,1.0040176636062368
2020-02-18,0,-0.9774823636241069,0.0,115.56,0.0,0.00782,200000,200803.53272124735,803.5327212473494,1.0040176636062368
2020-02-19,0,-0.7611946351857697,0.0,104.87,0.0,0.00691,200000,200803.53272124735,803.5327212473494,1.0040176636062368
2020-02-20,-1,-1.1409167182873503,957.8493260887586,104.82,-13848519.498017058,0.00725,200000,200803.53272124735,803.5327212473494,1.0040176636062368
2020-02-21,-1,-1.0512449739245187,957.8493260887586,107.39,-13848519.498017058,0.00739,200000,205203.99821901784,5203.998219017842,1.0260199910950891
2020-02-22,-2,-1.329083578264419,0.0,103.79,0.0,0.00738,200000,203590.42506186094,3590.4250618609367,1.0179521253093047
2020-02-23,-2,-1.4348446573128641,0.0,108.09,0.0,0.00778,200000,203590.42506186094,3590.4250618609367,1.0179521253093047
2020-02-24,0,-0.9083488177465738,0.0,103.41,0.0,0.0072,200000,203590.42506186094,3590.4250618609367,1.0179521253093047
2020-02-25,0,-0.37941073778993023,0.0,95.52,0.0,0.00643,200000,203590.42506186094,3590.4250618609367,1.0179521253093047
2020-02-26,0,-0.38870260070442114,0.0,84.29,0.0,0.0057,200000,203590.42506186094,3590.4250618609367,1.0179521253093047
2020-02-27,0,-0.21215958858163633,0.0,89.88,0.0,0.006,200000,203590.42506186094,3590.4250618609367,1.0179521253093047
2020-02-28,0,-0.38735946431617546,0.0,88.09,0.0,0.00597,200000,203590.42506186094,3590.4250618609367,1.0179521253093047
2020-02-29,0,-0.6422254379464769,0.0,85.35,0.0,0.00589,200000,203590.42506186094,3590.4250618609367,1.0179521253093047
2020-03-01,0,-0.6404744636791221,0.0,84.59,0.0,0.00585,200000,203590.42506186094,3590.4250618609367,1.0179521253093047
2020-03-02,0,-0.44546834598273716,0.0,90.26,0.0,0.00621,200000,203590.42506186094,3590.4250618609367,1.0179521253093047
2020-03-03,0,-0.07537119483212841,0.0,88.56,0.0,0.00603,200000,203590.42506186094,3590.4250618609367,1.0179521253093047
2020-03-04,-1,-1.0458787439719437,1171.6760190024227,86.88,-16687739.759168928,0.0061,200000,203590.42506186094,3590.4250618609367,1.0179521253093047
2020-03-05,-1,-0.5509852686487041,1171.6760190024227,89.87,-16687739.759168928,0.00624,200000,209430.01992496185,9430.019924961845,1.0471500996248093
2020-03-06,-2,-2.524706565285723,0.0,93.94,0.0,0.00701,200000,210504.2355485476,10504.235548547585,1.052521177742738
2020-03-07,-2,-2.8110909265540474,0.0,88.12,0.0,0.00689,200000,210504.2355485476,10504.235548547585,1.052521177742738
2020-03-08,-2,-2.2398610824405925,0.0,73.7,0.0,0.00572,200000,210504.2355485476,10504.235548547585,1.052521177742738
2020-03-09,-2,-2.3110840662724668,0.0,73.65,0.0,0.00591,200000,210504.2355485476,10504.235548547585,1.052521177742738
2020-03-10,-2,-1.88780411048019,0.0,74.6,0.0,0.00594,200000,210504.2355485476,10504.235548547585,1.052521177742738
2020-03-11,-2,-1.6983253386938344,0.0,72.24,0.0,0.00578,200000,210504.2355485476,10504.235548547585,1.052521177742738
2020-03-12,0,0.2054082888125479,0.0,44.4,0.0,0.00314,200000,210504.2355485476,10504.235548547585,1.052521177742738
2020-03-13,0,0.4955460963841626,0.0,51.16,0.0,0.00355,200000,210504.2355485476,10504.235548547585,1.052521177742738
2020-03-14,0,-0.7501222435998874,0.0,45.97,0.0,0.00346,200000,210504.2355485476,10504.235548547585,1.052521177742738
