date,statusList,zscore,ONGUSDT_position,ONGUSDT_price,VETUSDT_position,VETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0956,0.0,0.005358,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.095,0.0,0.005094,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0995,0.0,0.005327,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0981,0.0,0.00562,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0998,0.0,0.005465,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1024,0.0,0.00573,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0997,0.0,0.005578,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1016,0.0,0.005492,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0991,0.0,0.005319,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0996,0.0,0.005454,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1039,0.0,0.005526,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.105,0.0,0.005523,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1027,0.0,0.005407,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1132,0.0,0.005994,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.1149,0.0,0.006003,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1116,0.0,0.005885,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1156,0.0,0.006392,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1128,0.0,0.006239,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1069,0.0,0.005862,200000,200000.0,0.0,1.0
2020-01-20,0,-0.9705527012963064,0.0,0.1043,0.0,0.005814,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.235724403642142,0.0,0.1062,0.0,0.005964,200000,200000.0,0.0,1.0
2020-01-22,0,-0.28233939409672165,0.0,0.107,0.0,0.005863,200000,200000.0,0.0,1.0
2020-01-23,2,1.8233383942116943,0.0,0.1087,0.0,0.005607,200000,200000.0,0.0,1.0
2020-01-24,0,0.32788770366821945,0.0,0.104,0.0,0.00558,200000,200000.0,0.0,1.0
2020-01-25,0,-0.10030546798317824,0.0,0.1037,0.0,0.005623,200000,200000.0,0.0,1.0
2020-01-26,0,-0.26765858037438045,0.0,0.1054,0.0,0.00573,200000,200000.0,0.0,1.0
2020-01-27,0,-0.3170862542807642,0.0,0.1058,0.0,0.005748,200000,200000.0,0.0,1.0
2020-01-28,0,0.2810600617413903,0.0,0.1083,0.0,0.0058,200000,200000.0,0.0,1.0
2020-01-29,2,2.7501054997972294,0.0,0.1157,0.0,0.005733,200000,200000.0,0.0,1.0
2020-01-30,2,3.3608211252124245,0.0,0.1244,0.0,0.005687,200000,200000.0,0.0,1.0
2020-01-31,2,3.508688752224211,0.0,0.1429,0.0,0.005766,200000,200000.0,0.0,1.0
2020-02-01,2,2.170517433791219,0.0,0.1404,0.0,0.005997,200000,200000.0,0.0,1.0
2020-02-02,2,1.6069244307353723,0.0,0.1419,0.0,0.006229,200000,200000.0,0.0,1.0
2020-02-03,2,1.4513209657563897,0.0,0.144,0.0,0.006304,200000,200000.0,0.0,1.0
2020-02-04,2,1.5119103765225783,0.0,0.1529,0.0,0.006532,200000,200000.0,0.0,1.0
2020-02-05,2,1.7076518437646486,0.0,0.1584,0.0,0.006472,200000,200000.0,0.0,1.0
2020-02-06,2,1.2405941804605287,0.0,0.1609,0.0,0.0068,200000,200000.0,0.0,1.0
2020-02-07,1,1.124199603488866,-619578.6864931847,0.1614,14669209.329617133,0.006817,200000,200000.0,0.0,1.0
2020-02-08,1,0.9441250210378752,-619578.6864931847,0.1565,14669209.329617133,0.006669,200000,194793.02145540004,-5206.978544599959,0.9739651072770003
2020-02-09,1,0.9559442029377209,-619578.6864931847,0.1621,14669209.329617133,0.006825,200000,200551.05875518217,551.0587551821664,1.0027552937759108
2020-02-10,1,0.9295922344751056,-619578.6864931847,0.1557,14669209.329617133,0.00651,200000,191964.95422279637,-8035.045777203632,0.9598247711139818
2020-02-11,0,-0.13345468594127993,0.0,0.1607,0.0,0.007485,200000,189767.26308727055,-10232.736912729451,0.9488363154363527
2020-02-12,0,0.9364866360243298,0.0,0.1808,0.0,0.00747,200000,189767.26308727055,-10232.736912729451,0.9488363154363527
2020-02-13,0,0.8388270847709428,0.0,0.1948,0.0,0.008059,200000,189767.26308727055,-10232.736912729451,0.9488363154363527
2020-02-14,2,1.3804914759352398,0.0,0.2128,0.0,0.008301,200000,189767.26308727055,-10232.736912729451,0.9488363154363527
2020-02-15,2,2.3857784998183407,0.0,0.2142,0.0,0.00747,200000,189767.26308727055,-10232.736912729451,0.9488363154363527
2020-02-16,2,1.5141227158443888,0.0,0.1902,0.0,0.007081,200000,189767.26308727055,-10232.736912729451,0.9488363154363527
2020-02-17,2,1.4843535875640999,0.0,0.1813,0.0,0.006743,200000,189767.26308727055,-10232.736912729451,0.9488363154363527
2020-02-18,0,0.8544357653266382,0.0,0.182,0.0,0.007058,200000,189767.26308727055,-10232.736912729451,0.9488363154363527
2020-02-19,0,0.7638623373043613,0.0,0.1671,0.0,0.006484,200000,189767.26308727055,-10232.736912729451,0.9488363154363527
2020-02-20,0,0.34746455366491974,0.0,0.1628,0.0,0.00649,200000,189767.26308727055,-10232.736912729451,0.9488363154363527
2020-02-21,0,0.4960865874318196,0.0,0.1687,0.0,0.006633,200000,189767.26308727055,-10232.736912729451,0.9488363154363527
2020-02-22,0,-0.24758926391226332,0.0,0.16,0.0,0.006593,200000,189767.26308727055,-10232.736912729451,0.9488363154363527
2020-02-23,0,-0.3686962523189719,0.0,0.168,0.0,0.006955,200000,189767.26308727055,-10232.736912729451,0.9488363154363527
2020-02-24,0,-0.9557748628462375,0.0,0.1558,0.0,0.006713,200000,189767.26308727055,-10232.736912729451,0.9488363154363527
2020-02-25,-1,-1.1035907922261121,669137.0348634364,0.1418,-15276707.703048667,0.006211,200000,189767.26308727055,-10232.736912729451,0.9488363154363527
2020-02-26,-2,-1.5854763041486049,0.0,0.1209,0.0,0.005554,200000,193715.4301550134,-6284.569844986603,0.968577150775067
2020-02-27,-2,-1.223465408852756,0.0,0.1292,0.0,0.005806,200000,193715.4301550134,-6284.569844986603,0.968577150775067
2020-02-28,-1,-1.0358291590259117,748514.0268740859,0.1294,-16844820.013479427,0.00575,200000,193715.4301550134,-6284.569844986603,0.968577150775067
2020-02-29,-1,-1.0593131811833363,748514.0268740859,0.1254,-16844820.013479427,0.005615,200000,188447.32334569737,-11552.676654302632,0.9422366167284868
2020-03-01,-1,-0.38605902107357093,748514.0268740859,0.1281,-16844820.013479427,0.005427,200000,187301.48505572323,-12698.514944276772,0.9365074252786161
2020-03-02,-1,-0.7134269774723057,748514.0268740859,0.135,-16844820.013479427,0.005837,200000,199372.60804668104,-627.3919533189619,0.9968630402334052
