date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,IOTAUSDT_position,IOTAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,0.1606,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,0.1584,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,0.1664,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,0.1734,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,0.1718,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,0.1826,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,0.1857,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,0.1811,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,0.177,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,0.1902,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,0.1918,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,0.1913,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,0.1884,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,0.2105,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,0.2335,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,0.2279,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,0.2383,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,0.2461,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,0.2462,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.8950945642337564,0.0,0.0006756,0.0,0.2523,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.6940272685006441,0.0,0.0006651,0.0,0.2503,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.4458887428183262,0.0,0.0006688,0.0,0.249,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.3438621051593138,0.0,0.0006333,0.0,0.2369,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.2126696616951234,0.0,0.0006346,0.0,0.237,200000,200000.0,0.0,1.0
2020-01-25,-1,-1.164671332481766,161030595.8132045,0.000621,-426621.1604095563,0.2344,200000,200000.0,0.0,1.0
2020-01-26,-2,-1.2012611420274066,0.0,0.0006347,0.0,0.2457,200000,202614.6999499871,2614.699949987087,1.0130734997499355
2020-01-27,-1,-1.0868180527781783,155355543.5899303,0.0006521,-401694.4884020363,0.2522,200000,202614.6999499871,2614.699949987087,1.0130734997499355
2020-01-28,-2,-1.6445571152115541,0.0,0.000648,0.0,0.2863,200000,216949.43973321526,16949.43973321526,1.0847471986660764
2020-01-29,-2,-1.7433720032604614,0.0,0.0006531,0.0,0.3041,200000,216949.43973321526,16949.43973321526,1.0847471986660764
2020-01-30,-2,-1.5407105136679573,0.0,0.000638,0.0,0.294,200000,216949.43973321526,16949.43973321526,1.0847471986660764
2020-01-31,-2,-1.4430727186987333,0.0,0.0006329,0.0,0.2942,200000,216949.43973321526,16949.43973321526,1.0847471986660764
2020-02-01,-2,-1.443203532809698,0.0,0.0006448,0.0,0.3059,200000,216949.43973321526,16949.43973321526,1.0847471986660764
2020-02-02,-2,-1.223965677446578,0.0,0.0006719,0.0,0.3083,200000,216949.43973321526,16949.43973321526,1.0847471986660764
2020-02-03,-2,-1.6939302280520832,0.0,0.0006619,0.0,0.3363,200000,216949.43973321526,16949.43973321526,1.0847471986660764
2020-02-04,-2,-1.2120334914717603,0.0,0.000695,0.0,0.3319,200000,216949.43973321526,16949.43973321526,1.0847471986660764
2020-02-05,-1,-1.0182584718360934,155876878.67022222,0.0006959,-332031.58820510446,0.3267,200000,216949.43973321526,16949.43973321526,1.0847471986660764
2020-02-06,-1,-0.61595856550127,155876878.67022222,0.00074,-332031.58820510446,0.3309,200000,225218.14275303352,25218.14275303352,1.1260907137651677
2020-02-07,0,0.0887783766694345,0.0,0.0007744,0.0,0.3209,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-08,0,0.9505079245377174,0.0,0.000808,0.0,0.3073,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-09,0,0.42650692273774665,0.0,0.0008003,0.0,0.3226,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-10,0,0.1205331194247571,0.0,0.0007595,0.0,0.3178,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-11,0,-0.09485301853220786,0.0,0.000771,0.0,0.3322,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-12,0,0.9851628563287611,0.0,0.0008498,0.0,0.3327,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-13,2,1.636488639287574,0.0,0.0008714,0.0,0.3224,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-14,2,1.7874946505589089,0.0,0.0008915,0.0,0.3232,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-15,2,2.2118573195076063,0.0,0.000849,0.0,0.2883,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-16,2,2.0266615258194296,0.0,0.0008258,0.0,0.2774,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-17,2,1.2495635676750187,0.0,0.0007907,0.0,0.2834,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-18,0,0.9786931266888217,0.0,0.0007956,0.0,0.2905,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-19,0,0.8481638990853083,0.0,0.0007284,0.0,0.2672,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-20,0,0.7586815438175661,0.0,0.0007235,0.0,0.2656,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-21,0,0.7137279202674753,0.0,0.0007332,0.0,0.2681,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-22,0,0.5238444539796173,0.0,0.0007301,0.0,0.2704,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-23,0,0.4524475813014664,0.0,0.0007501,0.0,0.2777,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-24,0,0.18108915231134612,0.0,0.0006961,0.0,0.2621,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-25,0,0.025933361467407406,0.0,0.0006552,0.0,0.2476,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-26,2,1.2099966693756459,0.0,0.0006203,0.0,0.2151,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-27,2,1.6301505721394898,0.0,0.000643,0.0,0.2151,200000,202787.3215460132,2787.321546013205,1.013936607730066
2020-02-28,1,1.1875323545127001,-159901688.65006563,0.0006341,469197.874932932,0.2161,200000,202787.32154601323,2787.321546013234,1.0139366077300662
2020-02-29,1,0.991676745889892,-159901688.65006563,0.0006189,469197.874932932,0.2122,200000,198526.9441662938,-1473.0558337061957,0.992634720831469
2020-03-01,1,0.8340752265224849,-159901688.65006563,0.0006107,469197.874932932,0.2106,200000,196465.03371947055,-3534.96628052945,0.9823251685973527
2020-03-02,1,0.46733203877116986,-159901688.65006563,0.0006394,469197.874932932,0.2244,200000,207529.14285780193,7529.142857801926,1.0376457142890096
2020-03-03,0,0.15548607879712353,0.0,0.000631,0.0,0.2236,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-04,0,0.5630044482259623,0.0,0.0006388,0.0,0.2222,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-05,0,0.4213022102587673,0.0,0.0006517,0.0,0.2275,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-06,0,-0.224522684134672,0.0,0.0006483,0.0,0.2326,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-07,0,0.40062372108290056,0.0,0.0006335,0.0,0.2228,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-08,0,0.12611501702003894,0.0,0.0005399,0.0,0.1916,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-09,0,-0.3190091954718127,0.0,0.0005328,0.0,0.1919,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-10,0,-0.6318379975817985,0.0,0.0005435,0.0,0.1978,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-11,-2,-1.218444820708451,0.0,0.0005245,0.0,0.1952,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-12,-2,-1.8885334681630401,0.0,0.0002819,0.0,0.1086,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-13,-2,-2.405554432385184,0.0,0.0003223,0.0,0.1299,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-14,-2,-2.078916597078778,0.0,0.0003081,0.0,0.1244,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-15,-2,-1.3835145918925418,0.0,0.0003117,0.0,0.1215,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-16,-2,-1.3140348222089206,0.0,0.0002807,0.0,0.1094,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-17,-2,-1.7342019144299439,0.0,0.0002965,0.0,0.1206,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-18,-2,-1.9476246089828586,0.0,0.0003,0.0,0.1264,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-19,-2,-2.2817145909434706,0.0,0.0003304,0.0,0.1485,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-20,-2,-1.688359032869017,0.0,0.0003259,0.0,0.1419,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-21,-2,-1.344699339805842,0.0,0.0003237,0.0,0.1385,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
2020-03-22,0,-0.8739786948754115,0.0,0.0003046,0.0,0.126,200000,198772.64224920102,-1227.357750798983,0.9938632112460051
