date,statusList,zscore,XLMUSDT_position,XLMUSDT_price,IOSTUSDT_position,IOSTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.04529,0.0,0.004817,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.04361,0.0,0.004605,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.04566,0.0,0.004819,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.04565,0.0,0.004869,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.04544,0.0,0.004916,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.05046,0.0,0.00512,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.04839,0.0,0.00496,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.04768,0.0,0.004716,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.04718,0.0,0.004766,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.04802,0.0,0.005095,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.04825,0.0,0.004983,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.04905,0.0,0.005361,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.04813,0.0,0.005108,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0528,0.0,0.005758,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0548,0.0,0.005815,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.05367,0.0,0.005884,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.06072,0.0,0.006125,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.06149,0.0,0.005849,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.06004,0.0,0.005483,200000,200000.0,0.0,1.0
2020-01-20,2,2.9805282856510855,0.0,0.06274,0.0,0.005363,200000,200000.0,0.0,1.0
2020-01-21,2,2.2757243497183937,0.0,0.06279,0.0,0.005409,200000,200000.0,0.0,1.0
2020-01-22,2,1.5661183537570065,0.0,0.06136,0.0,0.005462,200000,200000.0,0.0,1.0
2020-01-23,2,1.2502484822692301,0.0,0.05833,0.0,0.005258,200000,200000.0,0.0,1.0
2020-01-24,1,1.0271791804399442,-1750087.5043752186,0.05714,19245573.51809084,0.005196,200000,200000.0,0.0,1.0
2020-01-25,1,0.6975903046401049,-1750087.5043752186,0.05604,19245573.51809084,0.005198,200000,198113.39489222347,-1886.6051077765296,0.9905669744611173
2020-01-26,1,0.7118558374751888,-1750087.5043752186,0.05841,19245573.51809084,0.005384,200000,205840.7789519576,5840.778951957589,1.029203894759788
2020-01-27,1,0.8085849423283362,-1750087.5043752186,0.05971,19245573.51809084,0.005428,200000,208962.6979424414,8962.697942441388,1.044813489712207
2020-01-28,1,0.4122903294990646,-1750087.5043752186,0.06072,19245573.51809084,0.005681,200000,215599.41642193735,15599.416421937349,1.0779970821096867
2020-01-29,1,0.5422411142763768,-1750087.5043752186,0.06083,19245573.51809084,0.005607,200000,214367.7536070799,14367.75360707991,1.0718387680353996
2020-01-30,1,0.8737496556424919,-1750087.5043752186,0.0628,19245573.51809084,0.005599,200000,217661.46140255436,17661.461402554356,1.0883073070127718
2020-01-31,0,0.19395100492011638,0.0,0.0606,0.0,0.005674,200000,196855.91862349084,-3144.081376509159,0.9842795931174542
2020-02-01,0,-0.09838253770773286,0.0,0.06224,0.0,0.005922,200000,196855.91862349084,-3144.081376509159,0.9842795931174542
2020-02-02,0,-0.29967435209136584,0.0,0.06345,0.0,0.00609,200000,196855.91862349084,-3144.081376509159,0.9842795931174542
2020-02-03,0,-0.3273622380565266,0.0,0.0643,0.0,0.006128,200000,196855.91862349084,-3144.081376509159,0.9842795931174542
2020-02-04,-2,-1.2886634259480005,0.0,0.06634,0.0,0.006656,200000,196855.91862349084,-3144.081376509159,0.9842795931174542
2020-02-05,0,-0.9647460747201847,0.0,0.06908,0.0,0.006681,200000,196855.91862349084,-3144.081376509159,0.9842795931174542
2020-02-06,-2,-1.7325691115467234,0.0,0.07113,0.0,0.007113,200000,196855.91862349084,-3144.081376509159,0.9842795931174542
2020-02-07,-2,-1.819035730069724,0.0,0.07188,0.0,0.007299,200000,196855.91862349084,-3144.081376509159,0.9842795931174542
2020-02-08,-2,-1.3229650938452884,0.0,0.0709,0.0,0.007077,200000,196855.91862349084,-3144.081376509159,0.9842795931174542
2020-02-09,-2,-1.8460981940107812,0.0,0.07327,0.0,0.007598,200000,196855.91862349084,-3144.081376509159,0.9842795931174542
2020-02-10,-2,-2.0043547156413193,0.0,0.07051,0.0,0.007472,200000,196855.91862349084,-3144.081376509159,0.9842795931174542
2020-02-11,-2,-1.2854495924626923,0.0,0.07404,0.0,0.007594,200000,196855.91862349084,-3144.081376509159,0.9842795931174542
2020-02-12,0,-0.598212593002332,0.0,0.08004,0.0,0.007946,200000,196855.91862349084,-3144.081376509159,0.9842795931174542
2020-02-13,0,0.6870123353739878,0.0,0.08325,0.0,0.007778,200000,196855.91862349084,-3144.081376509159,0.9842795931174542
2020-02-14,0,0.10163421631905559,0.0,0.08671,0.0,0.008343,200000,196855.91862349084,-3144.081376509159,0.9842795931174542
