date,statusList,zscore,VETUSDT_position,VETUSDT_price,FETUSDT_position,FETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.005358,0.0,0.03832,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.005094,0.0,0.03642,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.005327,0.0,0.03906,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00562,0.0,0.04027,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.005465,0.0,0.03847,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00573,0.0,0.03949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.005578,0.0,0.0372,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.005492,0.0,0.03686,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.005319,0.0,0.0374,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005454,0.0,0.03619,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.005526,0.0,0.03779,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005523,0.0,0.03987,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005407,0.0,0.04063,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005994,0.0,0.03899,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.006003,0.0,0.04001,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005885,0.0,0.03962,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006392,0.0,0.0422,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.006239,0.0,0.04109,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005862,0.0,0.03771,200000,200000.0,0.0,1.0
2020-01-20,2,1.4651649720124187,0.0,0.005814,0.0,0.03734,200000,200000.0,0.0,1.0
2020-01-21,2,1.4549320853806387,0.0,0.005964,0.0,0.03802,200000,200000.0,0.0,1.0
2020-01-22,0,0.16618298185007055,0.0,0.005863,0.0,0.03952,200000,200000.0,0.0,1.0
2020-01-23,0,0.10996035537525954,0.0,0.005607,0.0,0.03775,200000,200000.0,0.0,1.0
2020-01-24,0,-0.7833054862066051,0.0,0.00558,0.0,0.03893,200000,200000.0,0.0,1.0
2020-01-25,-1,-1.157333295481178,17784101.013693757,0.005623,-2506893.95838556,0.03989,200000,200000.0,0.0,1.0
2020-01-26,0,-0.12505478375558368,0.0,0.00573,0.0,0.03889,200000,195590.2072331492,-4409.792766850791,0.9779510361657461
2020-01-27,0,-0.04856775486987888,0.0,0.005748,0.0,0.03892,200000,195590.2072331492,-4409.792766850791,0.9779510361657461
2020-01-28,0,0.9321377500844632,0.0,0.0058,0.0,0.03767,200000,195590.2072331492,-4409.792766850791,0.9779510361657461
2020-01-29,0,0.999077190375849,0.0,0.005733,0.0,0.03698,200000,195590.2072331492,-4409.792766850791,0.9779510361657461
2020-01-30,0,-0.044241250596069974,0.0,0.005687,0.0,0.0383,200000,195590.2072331492,-4409.792766850791,0.9779510361657461
2020-01-31,0,-0.10309516692044926,0.0,0.005766,0.0,0.0389,200000,195590.2072331492,-4409.792766850791,0.9779510361657461
