date,statusList,zscore,THETAUSDT_position,THETAUSDT_price,IOTAUSDT_position,IOTAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.08656,0.0,0.1606,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.08443,0.0,0.1584,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.08771,0.0,0.1664,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.09394,0.0,0.1734,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.09421,0.0,0.1718,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.09987,0.0,0.1826,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.09608,0.0,0.1857,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.09873,0.0,0.1811,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.09294,0.0,0.177,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.09509,0.0,0.1902,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.09437,0.0,0.1918,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.09589,0.0,0.1913,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.09703,0.0,0.1884,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.10598,0.0,0.2105,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.10438,0.0,0.2335,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.10368,0.0,0.2279,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.11193,0.0,0.2383,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.10876,0.0,0.2461,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1126,0.0,0.2462,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.7287819268766882,0.0,0.10998,0.0,0.2523,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.3362203237053571,0.0,0.11136,0.0,0.2503,200000,200000.0,0.0,1.0
2020-01-22,0,-0.43395078121656744,0.0,0.119,0.0,0.249,200000,200000.0,0.0,1.0
2020-01-23,0,-0.8515962459515722,0.0,0.10858,0.0,0.2369,200000,200000.0,0.0,1.0
2020-01-24,-1,-1.140308327749786,952925.481227368,0.10494,-421940.92827004223,0.237,200000,200000.0,0.0,1.0
2020-01-25,-2,-1.2458761880316638,0.0,0.10189,0.0,0.2344,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-01-26,-2,-1.6087733110777955,0.0,0.10222,0.0,0.2457,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-01-27,-2,-1.470349232546576,0.0,0.10459,0.0,0.2522,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-01-28,-2,-2.120224547365262,0.0,0.10936,0.0,0.2863,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-01-29,-2,-2.555666506117963,0.0,0.10434,0.0,0.3041,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-01-30,-2,-1.9462744219225423,0.0,0.10431,0.0,0.294,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-01-31,-2,-1.5850847968289212,0.0,0.10638,0.0,0.2942,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-02-01,-2,-1.716976027501625,0.0,0.10527,0.0,0.3059,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-02-02,-2,-1.6025807878155824,0.0,0.10545,0.0,0.3083,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-02-03,-2,-1.795552527082879,0.0,0.10829,0.0,0.3363,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-02-04,0,-0.8062031425368481,0.0,0.122,0.0,0.3319,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-02-05,0,-0.6180404103894335,0.0,0.122,0.0,0.3267,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-02-06,0,-0.5034932513469894,0.0,0.12425,0.0,0.3309,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-02-07,0,-0.18966218475314195,0.0,0.1245,0.0,0.3209,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-02-08,0,-0.31638317495126145,0.0,0.1164,0.0,0.3073,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-02-09,0,-0.21522801178378856,0.0,0.12284,0.0,0.3226,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-02-10,0,0.5393315450736764,0.0,0.13064,0.0,0.3178,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-02-11,0,0.0518184808520583,0.0,0.12814,0.0,0.3322,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-02-12,1,1.0352033716585518,-729765.5901650443,0.13827,303290.3160568701,0.3327,200000,201809.37630424136,1809.376304241363,1.0090468815212068
2020-02-13,2,3.2373869243762488,0.0,0.17192,0.0,0.3224,200000,229489.87866868085,29489.878668680845,1.1474493933434042
2020-02-14,2,2.0165759291951084,0.0,0.15827,0.0,0.3232,200000,229489.87866868085,29489.878668680845,1.1474493933434042
2020-02-15,2,2.0510296048392207,0.0,0.14694,0.0,0.2883,200000,229489.87866868085,29489.878668680845,1.1474493933434042
2020-02-16,2,1.4632697626587372,0.0,0.13454,0.0,0.2774,200000,229489.87866868085,29489.878668680845,1.1474493933434042
2020-02-17,2,1.2984191468232207,0.0,0.13716,0.0,0.2834,200000,229489.87866868085,29489.878668680845,1.1474493933434042
2020-02-18,2,1.2047320815906455,0.0,0.14134,0.0,0.2905,200000,229489.87866868085,29489.878668680845,1.1474493933434042
2020-02-19,0,0.912169433068954,0.0,0.12664,0.0,0.2672,200000,229489.87866868085,29489.878668680845,1.1474493933434042
2020-02-20,1,1.1688488873686567,-866195.6619184753,0.13247,432021.6089395347,0.2656,200000,229489.87866868085,29489.878668680845,1.1474493933434042
2020-02-21,1,0.7468900218567996,-866195.6619184753,0.12776,432021.6089395347,0.2681,200000,226490.15112339368,26490.151123393676,1.1324507556169683
2020-02-22,1,0.6465392900206764,-866195.6619184753,0.12846,432021.6089395347,0.2704,200000,228090.13778729748,28090.137787297484,1.1404506889364874
2020-02-23,1,1.1320883973499298,-866195.6619184753,0.14149,432021.6089395347,0.2777,200000,242530.42500735386,42530.42500735386,1.2126521250367692
2020-02-24,2,1.8511730885602302,0.0,0.14836,0.0,0.2621,200000,244765.80336785375,44765.80336785375,1.2238290168392687
