date,statusList,zscore,IOSTUSDT_position,IOSTUSDT_price,QTUMUSDT_position,QTUMUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.004817,0.0,1.603,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.004605,0.0,1.533,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.004819,0.0,1.629,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.004869,0.0,1.642,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.004916,0.0,1.631,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00512,0.0,1.747,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00496,0.0,1.735,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.004716,0.0,1.683,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.004766,0.0,1.634,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005095,0.0,1.734,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.004983,0.0,1.74,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005361,0.0,1.754,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005108,0.0,1.701,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005758,0.0,1.915,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.005815,0.0,1.974,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005884,0.0,1.932,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006125,0.0,2.092,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.005849,0.0,2.035,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005483,0.0,1.931,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.8888793126731347,0.0,0.005363,0.0,1.923,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.790296153222938,0.0,0.005409,0.0,1.95,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.8771223956606216,0.0,0.005462,0.0,1.994,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.2666828610476681,0.0,0.005258,0.0,1.89,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.425455957494198,0.0,0.005196,0.0,1.89,200000,200000.0,0.0,1.0
2020-01-25,0,-0.9787402593210318,0.0,0.005198,0.0,1.867,200000,200000.0,0.0,1.0
2020-01-26,0,-0.9063775538218417,0.0,0.005384,0.0,1.935,200000,200000.0,0.0,1.0
2020-01-27,-2,-1.393479177006533,0.0,0.005428,0.0,1.997,200000,200000.0,0.0,1.0
2020-01-28,0,-0.8942746745976321,0.0,0.005681,0.0,2.052,200000,200000.0,0.0,1.0
2020-01-29,-2,-1.2549543199563231,0.0,0.005607,0.0,2.066,200000,200000.0,0.0,1.0
2020-01-30,-2,-2.0774877079066547,0.0,0.005599,0.0,2.176,200000,200000.0,0.0,1.0
2020-01-31,-1,-1.1888316303103994,17624250.9693338,0.005674,-47058.82352941176,2.125,200000,200000.0,0.0,1.0
2020-02-01,-1,-0.8838091035208036,17624250.9693338,0.005922,-47058.82352941176,2.193,200000,207570.81424039477,7570.814240394771,1.037854071201974
2020-02-02,-1,-0.8676838889535001,17624250.9693338,0.00609,-47058.82352941176,2.262,200000,213778.74722677225,13778.747226772248,1.0688937361338613
2020-02-03,-1,-0.8956692964801618,17624250.9693338,0.006128,-47058.82352941176,2.286,200000,215577.88052831282,15577.880528312817,1.0778894026415642
