date,statusList,zscore,DASHUSDT_position,DASHUSDT_price,MITHUSDT_position,MITHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.84,0.0,0.00757,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,40.04,0.0,0.00699,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,43.92,0.0,0.00739,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,46.19,0.0,0.00728,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,51.17,0.0,0.00734,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,56.57,0.0,0.00741,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,54.62,0.0,0.00705,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,52.42,0.0,0.00678,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,50.54,0.0,0.00664,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,56.88,0.0,0.00655,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,63.46,0.0,0.00669,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,66.19,0.0,0.00671,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,69.43,0.0,0.00669,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,89.28,0.0,0.00679,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,133.6,0.0,0.00715,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,127.45,0.0,0.00716,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,113.04,0.0,0.00723,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,101.15,0.0,0.00732,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,104.92,0.0,0.00704,200000,200000.0,0.0,1.0
2020-01-20,2,1.2641190456624494,0.0,109.91,0.0,0.00692,200000,200000.0,0.0,1.0
2020-01-21,1,1.0011737760361266,-904.9773755656108,110.5,13755158.184319118,0.00727,200000,200000.0,0.0,1.0
2020-01-22,1,0.6532466645107677,-904.9773755656108,107.8,13755158.184319118,0.00767,200000,203058.62435970048,3058.6243597004795,1.0152931217985024
2020-01-23,1,0.5637228188572174,-904.9773755656108,102.72,13755158.184319118,0.00734,200000,193922.13709100187,-6077.862908998126,0.9696106854550094
2020-01-24,1,0.4288977126938883,-904.9773755656108,100.11,13755158.184319118,0.00728,200000,190734.83664971648,-9265.163350283518,0.9536741832485824
2020-01-25,1,0.33042735363784,-904.9773755656108,101.31,13755158.184319118,0.00742,200000,193746.53164619987,-6253.468353800126,0.9687326582309994
2020-01-26,1,0.2590106542270474,-904.9773755656108,111.01,13755158.184319118,0.00813,200000,212290.9745000529,12290.974500052893,1.0614548725002644
2020-01-27,1,0.41839978222820484,-904.9773755656108,112.78,13755158.184319118,0.00781,200000,209491.1338358219,9491.133835821907,1.0474556691791095
2020-01-28,1,0.500377743368689,-904.9773755656108,115.91,13755158.184319118,0.00776,200000,211635.9551121263,11635.955112126307,1.0581797755606315
2020-01-29,1,0.792041568217918,-904.9773755656108,121.97,13755158.184319118,0.00764,200000,215469.4990259356,15469.499025935598,1.077347495129678
2020-01-30,1,0.9090337173781239,-904.9773755656108,121.9,13755158.184319118,0.00742,200000,212380.0158090958,12380.015809095814,1.0619000790454791
2020-01-31,0,0.024811458422171393,0.0,115.85,0.0,0.00794,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-01,0,-0.02733252161820713,0.0,116.7,0.0,0.00792,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-02,0,-0.4737609598200566,0.0,114.29,0.0,0.00799,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-03,0,-0.3571176334954857,0.0,115.34,0.0,0.00792,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-04,-2,-1.3672441220446023,0.0,110.87,0.0,0.00837,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-05,0,0.042950807444799406,0.0,122.98,0.0,0.00839,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-06,-2,-2.077768523229047,0.0,120.32,0.0,0.00964,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-07,-2,-2.1590811130607324,0.0,118.68,0.0,0.00988,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-08,0,-0.5990727122060377,0.0,126.29,0.0,0.00925,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-09,0,-0.9160248702572165,0.0,128.51,0.0,0.00973,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-10,0,-0.8164194932929063,0.0,127.58,0.0,0.00965,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-11,0,-0.4818558816115686,0.0,129.2,0.0,0.00954,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-12,-2,-1.4491562009894603,0.0,133.53,0.0,0.01082,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-13,-2,-1.9735233546541575,0.0,131.18,0.0,0.01156,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-14,-2,-1.5527582177441843,0.0,133.34,0.0,0.01146,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-15,-2,-1.226719729745992,0.0,120.73,0.0,0.01013,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-16,-2,-1.2206950640856278,0.0,110.73,0.0,0.00944,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-17,0,-0.5235384609680891,0.0,114.66,0.0,0.00906,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-18,0,-0.6836259304648927,0.0,115.56,0.0,0.00938,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-19,0,-0.5953344457585243,0.0,104.87,0.0,0.00848,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-20,0,-0.14642209185252986,0.0,104.82,0.0,0.0082,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-21,0,-0.07157539354352484,0.0,107.39,0.0,0.00841,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-22,0,-0.42879749046297183,0.0,103.79,0.0,0.0084,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
2020-02-23,0,0.17759836237424784,0.0,108.09,0.0,0.00845,200000,195625.67297578222,-4374.327024217782,0.9781283648789111
