date,statusList,zscore,DASHUSDT_position,DASHUSDT_price,EOSUSDT_position,EOSUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.84,0.0,2.6039,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,40.04,0.0,2.4593,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,43.92,0.0,2.6396,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,46.19,0.0,2.6481,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,51.17,0.0,2.6865,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,56.57,0.0,2.8506,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,54.62,0.0,2.8459,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,52.42,0.0,2.7751,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,50.54,0.0,2.7432,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,56.88,0.0,2.9866,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,63.46,0.0,2.9901,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,66.19,0.0,3.2107,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,69.43,0.0,3.1049,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,89.28,0.0,3.81,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,133.6,0.0,3.7675,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,127.45,0.0,3.8376,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,113.04,0.0,3.9038,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,101.15,0.0,3.8049,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,104.92,0.0,3.6115,200000,200000.0,0.0,1.0
2020-01-20,2,1.3127203182099443,0.0,109.91,0.0,3.62,200000,200000.0,0.0,1.0
2020-01-21,1,1.1690552420072478,-904.9773755656108,110.5,27377.008788019823,3.6527,200000,200000.0,0.0,1.0
2020-01-22,1,0.9454880550348608,-904.9773755656108,107.8,27377.008788019823,3.654,200000,197592.15119739727,-2407.8488026027335,0.9879607559869863
2020-01-23,1,0.7382470731088169,-904.9773755656108,102.72,27377.008788019823,3.5706,200000,190711.6235966031,-9288.376403396891,0.9535581179830156
2020-01-24,1,0.45107679875137036,-904.9773755656108,100.11,27377.008788019823,3.6345,200000,190099.02350793133,-9900.976492068672,0.9504951175396567
2020-01-25,1,0.6355197411438084,-904.9773755656108,101.31,27377.008788019823,3.498,200000,187448.03465904537,-12551.96534095463,0.9372401732952269
2020-01-26,1,0.8229038450204132,-904.9773755656108,111.01,27377.008788019823,3.6486,200000,200349.29272550758,349.2927255075774,1.001746463627538
2020-01-27,1,0.37403388310581637,-904.9773755656108,112.78,27377.008788019823,3.9647,200000,210604.97515815176,10604.975158151763,1.0530248757907588
2020-01-28,1,0.34566537071193554,-904.9773755656108,115.91,27377.008788019823,4.0412,200000,215531.89551595564,15531.895515955635,1.077659477579778
2020-01-29,1,0.716597984072982,-904.9773755656108,121.97,27377.008788019823,3.9674,200000,218995.6351633274,18995.635163327388,1.094978175816637
2020-01-30,0,0.014682534663482554,0.0,121.9,0.0,4.3236,200000,191949.50688556547,-8050.493114434532,0.9597475344278273
2020-01-31,0,-0.15403048768289088,0.0,115.85,0.0,4.1444,200000,191949.50688556547,-8050.493114434532,0.9597475344278273
2020-02-01,0,-0.2636483000160649,0.0,116.7,0.0,4.1531,200000,191949.50688556547,-8050.493114434532,0.9597475344278273
2020-02-02,0,-0.8054075682772815,0.0,114.29,0.0,4.2145,200000,191949.50688556547,-8050.493114434532,0.9597475344278273
2020-02-03,0,-0.8794973323729596,0.0,115.34,0.0,4.2027,200000,191949.50688556547,-8050.493114434532,0.9597475344278273
2020-02-04,-2,-1.6045232560216958,0.0,110.87,0.0,4.2306,200000,191949.50688556547,-8050.493114434532,0.9597475344278273
2020-02-05,-1,-1.0466455738333544,780.4094441598857,122.98,-21193.965516028336,4.5284,200000,191949.50688556547,-8050.493114434532,0.9597475344278273
2020-02-06,-2,-1.6004919998185747,0.0,120.32,0.0,4.6038,200000,195623.42100693932,-4376.578993060684,0.9781171050346966
2020-02-07,-2,-1.7029400046957652,0.0,118.68,0.0,4.5898,200000,195623.42100693932,-4376.578993060684,0.9781171050346966
2020-02-08,-1,-1.128069966242704,774.5008354063635,126.29,-20540.048404760535,4.762,200000,195623.42100693932,-4376.578993060684,0.9781171050346966
2020-02-09,-2,-1.5365416440432704,0.0,128.51,0.0,5.0111,200000,199020.55520996306,-979.4447900369414,0.9951027760498153
2020-02-10,-1,-1.1665061107553563,779.9833642027083,127.58,-20314.02392622005,4.8986,200000,199020.55520996306,-979.4447900369414,0.9951027760498153
2020-02-11,-2,-1.8335680698765375,0.0,129.2,0.0,5.2449,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-12,-2,-1.3959040503420928,0.0,133.53,0.0,5.3307,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-13,-2,-1.5422448767231296,0.0,131.18,0.0,5.3607,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-14,-2,-1.215635109766942,0.0,133.34,0.0,5.3747,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-15,0,-0.7884564188594868,0.0,120.73,0.0,4.7429,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-16,0,-0.8129760166573876,0.0,110.73,0.0,4.3812,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-17,0,-0.07353909621058938,0.0,114.66,0.0,4.3521,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-18,0,-0.8161378530274264,0.0,115.56,0.0,4.5793,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-19,0,0.27252670293697595,0.0,104.87,0.0,3.9752,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-20,0,0.23102558576246365,0.0,104.82,0.0,3.9963,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-21,0,0.6913289960490342,0.0,107.39,0.0,4.0509,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-22,0,-0.6493014575534127,0.0,103.79,0.0,4.1004,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-23,-2,-1.3426374711314653,0.0,108.09,0.0,4.3778,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-24,0,-0.7382090778154391,0.0,103.41,0.0,4.1221,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-25,-2,-2.4864185527186997,0.0,95.52,0.0,4.0778,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-26,-2,-1.7064635085597697,0.0,84.29,0.0,3.5344,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-27,0,-0.5154945612057142,0.0,89.88,0.0,3.6183,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-28,0,-0.1779636656966629,0.0,88.09,0.0,3.5136,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-02-29,0,-0.9965930865515279,0.0,85.35,0.0,3.5105,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-03-01,-1,-1.1113201848068128,1210.496090824002,84.59,-29193.403940927255,3.5075,200000,204791.7286456047,4791.728645604686,1.0239586432280234
2020-03-02,-1,-0.8546838775935898,1210.496090824002,90.26,-29193.403940927255,3.7133,200000,217663.2440116196,17663.244011619594,1.088316220058098
2020-03-03,-1,-0.6540003037204997,1210.496090824002,88.56,-29193.403940927255,3.6233,200000,212977.99430253534,12977.994302535342,1.0648899715126767
2020-03-04,-1,-0.9112195816824934,1210.496090824002,86.88,-29193.403940927255,3.5908,200000,209995.5752418709,9995.575241870887,1.0499778762093543
2020-03-05,-1,-1.1669421293753726,1210.496090824002,89.87,-29193.403940927255,3.7626,200000,218630.38535048597,18630.385350485973,1.09315192675243
2020-03-06,-1,-0.4423738864049074,1210.496090824002,93.94,-29193.403940927255,3.8345,200000,225656.1101834923,25656.110183492303,1.1282805509174616
2020-03-07,-1,-0.7026978483890297,1210.496090824002,88.12,-29193.403940927255,3.6409,200000,212959.17993193312,12959.179931933118,1.0647958996596656
2020-03-08,-1,-0.6138912502654075,1210.496090824002,73.7,-29193.403940927255,3.0435,200000,178063.68678794106,-21936.313212058943,0.8903184339397052
2020-03-09,-1,-0.7241157477184552,1210.496090824002,73.65,-29193.403940927255,3.0612,200000,178519.8852331543,-21480.114766845712,0.8925994261657715
2020-03-10,-1,-0.3921173936677689,1210.496090824002,74.6,-29193.403940927255,3.0729,200000,180011.4193455459,-19988.580654454097,0.9000570967277295
2020-03-11,-2,-1.2794798581180884,0.0,72.24,0.0,3.0661,200000,206855.38686775585,6855.386867755849,1.0342769343387792
2020-03-12,2,1.4828691851123237,0.0,44.4,0.0,1.7656,200000,206855.38686775585,6855.386867755849,1.0342769343387792
2020-03-13,0,-0.15870917629209877,0.0,51.16,0.0,2.11,200000,206855.38686775585,6855.386867755849,1.0342769343387792
2020-03-14,-2,-1.567190093529195,0.0,45.97,0.0,1.958,200000,206855.38686775585,6855.386867755849,1.0342769343387792
2020-03-15,-2,-1.9738049099046386,0.0,47.31,0.0,2.0447,200000,206855.38686775585,6855.386867755849,1.0342769343387792
2020-03-16,-2,-2.3255420788713606,0.0,43.12,0.0,1.8937,200000,206855.38686775585,6855.386867755849,1.0342769343387792
2020-03-17,-2,-1.518496382347356,0.0,45.57,0.0,1.9684,200000,206855.38686775585,6855.386867755849,1.0342769343387792
2020-03-18,2,3.9887071690015747,0.0,62.64,0.0,1.9989,200000,206855.38686775585,6855.386867755849,1.0342769343387792
2020-03-19,2,2.0920003738037773,0.0,65.47,0.0,2.2767,200000,206855.38686775585,6855.386867755849,1.0342769343387792
2020-03-20,2,2.8384183720819562,0.0,71.78,0.0,2.2029,200000,206855.38686775585,6855.386867755849,1.0342769343387792
