date,statusList,zscore,IOTAUSDT_position,IOTAUSDT_price,HOTUSDT_position,HOTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1606,0.0,0.0006275,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1584,0.0,0.0006035,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1664,0.0,0.0006794,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1734,0.0,0.0006796,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1718,0.0,0.0006708,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1826,0.0,0.000703,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1857,0.0,0.0006815,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1811,0.0,0.0006721,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.177,0.0,0.000671,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.1902,0.0,0.0006865,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1918,0.0,0.00067,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.1913,0.0,0.0006813,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1884,0.0,0.000674,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.2105,0.0,0.0007056,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2335,0.0,0.0007118,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2279,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2383,0.0,0.0007304,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2461,0.0,0.0007145,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2462,0.0,0.0006752,200000,200000.0,0.0,1.0
2020-01-20,2,2.1124522347032655,0.0,0.2523,0.0,0.0006756,200000,200000.0,0.0,1.0
2020-01-21,2,1.8682669530701106,0.0,0.2503,0.0,0.0006651,200000,200000.0,0.0,1.0
2020-01-22,2,1.558290352382942,0.0,0.249,0.0,0.0006688,200000,200000.0,0.0,1.0
2020-01-23,2,1.4362241842946237,0.0,0.2369,0.0,0.0006333,200000,200000.0,0.0,1.0
2020-01-24,2,1.2835094097870827,0.0,0.237,0.0,0.0006346,200000,200000.0,0.0,1.0
2020-01-25,2,1.2434018043871418,0.0,0.2344,0.0,0.000621,200000,200000.0,0.0,1.0
2020-01-26,2,1.3206138647388264,0.0,0.2457,0.0,0.0006347,200000,200000.0,0.0,1.0
2020-01-27,1,1.1888161280910863,-396510.7057890563,0.2522,153350713.08081582,0.0006521,200000,200000.0,0.0,1.0
2020-01-28,2,2.0624817844970313,0.0,0.2863,0.0,0.000648,200000,214149.75299103814,14149.752991038142,1.0707487649551908
2020-01-29,2,2.177607603953606,0.0,0.3041,0.0,0.0006531,200000,214149.75299103814,14149.752991038142,1.0707487649551908
2020-01-30,2,1.8309013692150564,0.0,0.294,0.0,0.000638,200000,214149.75299103814,14149.752991038142,1.0707487649551908
2020-01-31,2,1.6887762669605455,0.0,0.2942,0.0,0.0006329,200000,214149.75299103814,14149.752991038142,1.0707487649551908
2020-02-01,2,1.6727848207728542,0.0,0.3059,0.0,0.0006448,200000,214149.75299103814,14149.752991038142,1.0707487649551908
2020-02-02,2,1.2983168737370625,0.0,0.3083,0.0,0.0006719,200000,214149.75299103814,14149.752991038142,1.0707487649551908
2020-02-03,2,1.9502417573372828,0.0,0.3363,0.0,0.0006619,200000,214149.75299103814,14149.752991038142,1.0707487649551908
2020-02-04,2,1.2696365572626074,0.0,0.3319,0.0,0.000695,200000,214149.75299103814,14149.752991038142,1.0707487649551908
2020-02-05,1,1.0268556229284203,-327746.7906198931,0.3267,153865320.44190124,0.0006959,200000,214149.75299103814,14149.752991038142,1.0707487649551908
2020-02-06,1,0.5397627713764533,-327746.7906198931,0.3309,153865320.44190124,0.00074,200000,222311.75014312955,22311.750143129553,1.1115587507156477
2020-02-07,0,-0.19135602740527724,0.0,0.3209,0.0,0.0007744,200000,200170.39395075355,170.39395075355424,1.0008519697537677
2020-02-08,0,-0.9468183927328043,0.0,0.3073,0.0,0.000808,200000,200170.39395075355,170.39395075355424,1.0008519697537677
2020-02-09,0,-0.5009954835688012,0.0,0.3226,0.0,0.0008003,200000,200170.39395075355,170.39395075355424,1.0008519697537677
2020-02-10,0,-0.21467585988561236,0.0,0.3178,0.0,0.0007595,200000,200170.39395075355,170.39395075355424,1.0008519697537677
2020-02-11,0,0.0033505309024616015,0.0,0.3322,0.0,0.000771,200000,200170.39395075355,170.39395075355424,1.0008519697537677
