date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,VETUSDT_position,VETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,0.005358,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,0.005094,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,0.005327,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,0.00562,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,0.005465,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,0.00573,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,0.005578,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,0.005492,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,0.005319,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,0.005454,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,0.005526,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,0.005523,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,0.005407,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,0.005994,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,0.006003,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,0.005885,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,0.006392,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,0.006239,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,0.005862,200000,200000.0,0.0,1.0
2020-01-20,-1,-1.0712140846635785,148016577.85671994,0.0006756,-17199862.401100792,0.005814,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.9623105383442245,0.0,0.0006651,0.0,0.005964,200000,204134.1534276607,4134.153427660698,1.0206707671383035
2020-01-22,-2,-1.2805557955322937,0.0,0.0006688,0.0,0.005863,200000,204134.1534276607,4134.153427660698,1.0206707671383035
2020-01-23,-2,-1.396216722970214,0.0,0.0006333,0.0,0.005607,200000,204134.1534276607,4134.153427660698,1.0206707671383035
2020-01-24,-1,-1.1090759239649717,160836868.44284642,0.0006346,-18291590.80893017,0.00558,200000,204134.1534276607,4134.153427660698,1.0206707671383035
2020-01-25,-2,-1.5887800322921677,0.0,0.000621,0.0,0.005623,200000,207108.0732432674,7108.073243267398,1.035540366216337
2020-01-26,-2,-1.35824506453224,0.0,0.0006347,0.0,0.00573,200000,207108.0732432674,7108.073243267398,1.035540366216337
2020-01-27,0,-0.7520508337327735,0.0,0.0006521,0.0,0.005748,200000,207108.0732432674,7108.073243267398,1.035540366216337
