date,statusList,zscore,LTCUSDT_position,LTCUSDT_price,XLMUSDT_position,XLMUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.62,0.0,0.04529,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,39.43,0.0,0.04361,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,42.23,0.0,0.04566,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,42.78,0.0,0.04565,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,43.3,0.0,0.04544,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,45.8,0.0,0.05046,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,46.3,0.0,0.04839,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,45.35,0.0,0.04768,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,44.74,0.0,0.04718,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,49.06,0.0,0.04802,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,49.3,0.0,0.04825,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,51.43,0.0,0.04905,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,49.6,0.0,0.04813,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,58.39,0.0,0.0528,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,58.16,0.0,0.0548,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,57.56,0.0,0.05367,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.02,0.0,0.06072,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,59.32,0.0,0.06149,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,57.6,0.0,0.06004,200000,200000.0,0.0,1.0
2020-01-20,-1,-1.1284246422941235,1748.5574401119077,57.19,-1593879.502709595,0.06274,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.0372790522746775,1748.5574401119077,57.57,-1593879.502709595,0.06279,200000,200744.14580237799,744.1458023779851,1.00372072901189
2020-01-22,-1,-0.5414576658323121,1748.5574401119077,58.33,-1593879.502709595,0.06136,200000,199793.8017679883,-206.19823201169493,0.9989690088399416
2020-01-23,-1,-0.8274718179409418,1748.5574401119077,54.52,-1593879.502709595,0.05833,200000,188302.3430279519,-11697.656972048106,0.9415117151397595
2020-01-24,-1,-0.5530603880517754,1748.5574401119077,54.38,-1593879.502709595,0.05714,200000,186160.82837811182,-13839.171621888177,0.9308041418905592
2020-01-25,-1,-0.575614861853552,1748.5574401119077,53.25,-1593879.502709595,0.05604,200000,182431.69101780478,-17568.308982195216,0.9121584550890239
2020-01-26,-1,-0.42367313018152614,1748.5574401119077,56.24,-1593879.502709595,0.05841,200000,191437.37218516113,-8562.627814838866,0.9571868609258056
2020-01-27,0,-0.12577880889436518,0.0,58.55,0.0,0.05971,200000,192792.50698823773,-7207.493011762272,0.9639625349411887
2020-01-28,0,0.12798966192987682,0.0,60.52,0.0,0.06072,200000,192792.50698823773,-7207.493011762272,0.9639625349411887
2020-01-29,0,-0.15780419527369136,0.0,59.8,0.0,0.06083,200000,192792.50698823773,-7207.493011762272,0.9639625349411887
2020-01-30,2,1.5467880290004015,0.0,67.98,0.0,0.0628,200000,192792.50698823773,-7207.493011762272,0.9639625349411887
2020-01-31,2,1.9320546883650054,0.0,68.0,0.0,0.0606,200000,192792.50698823773,-7207.493011762272,0.9639625349411887
2020-02-01,2,1.897690518504798,0.0,70.72,0.0,0.06224,200000,192792.50698823773,-7207.493011762272,0.9639625349411887
2020-02-02,2,1.2973863287225076,0.0,69.93,0.0,0.06345,200000,192792.50698823773,-7207.493011762272,0.9639625349411887
2020-02-03,1,1.07474167503364,-1384.0093825429842,69.65,1499164.1289909622,0.0643,200000,192792.50698823773,-7207.493011762272,0.9639625349411887
2020-02-04,1,0.3043653635111905,-1384.0093825429842,68.07,1499164.1289909622,0.06634,200000,193664.06698696135,-6335.933013038652,0.9683203349348067
2020-02-05,1,0.679732497575356,-1384.0093825429842,72.59,1499164.1289909622,0.06908,200000,204027.4991094909,4027.499109490891,1.0201374955474545
2020-02-06,1,0.4248561939013644,-1384.0093825429842,73.6,1499164.1289909622,0.07113,200000,208498.63505029076,8498.635050290759,1.0424931752514537
2020-02-07,1,0.3624269420852429,-1384.0093825429842,74.3,1499164.1289909622,0.07188,200000,210591.81471481407,10591.81471481407,1.0529590735740704
2020-02-08,1,0.9302044231058644,-1384.0093825429842,76.56,1499164.1289909622,0.0709,200000,212250.49507295009,12250.495072950085,1.0612524753647503
2020-02-09,1,0.44411548010747265,-1384.0093825429842,77.0,1499164.1289909622,0.07327,200000,216412.47818697756,16412.47818697756,1.0820623909348879
2020-02-10,1,0.3508233500600552,-1384.0093825429842,74.02,1499164.1289909622,0.07051,200000,208150.43723098445,8150.4372309844475,1.0407521861549223
2020-02-11,0,0.007843038432807054,0.0,76.46,0.0,0.07404,200000,187615.75226698344,-12384.247733016557,0.9380787613349172
2020-02-12,0,-0.40444496879379077,0.0,81.17,0.0,0.08004,200000,187615.75226698344,-12384.247733016557,0.9380787613349172
2020-02-13,-2,-1.3001620176646813,0.0,80.55,0.0,0.08325,200000,187615.75226698344,-12384.247733016557,0.9380787613349172
