date,statusList,zscore,THETAUSDT_position,THETAUSDT_price,LTCUSDT_position,LTCUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.08656,0.0,41.62,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.08443,0.0,39.43,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.08771,0.0,42.23,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.09394,0.0,42.78,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.09421,0.0,43.3,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.09987,0.0,45.8,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.09608,0.0,46.3,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.09873,0.0,45.35,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.09294,0.0,44.74,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.09509,0.0,49.06,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.09437,0.0,49.3,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.09589,0.0,51.43,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.09703,0.0,49.6,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.10598,0.0,58.39,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.10438,0.0,58.16,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.10368,0.0,57.56,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.11193,0.0,61.02,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.10876,0.0,59.32,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1126,0.0,57.6,200000,200000.0,0.0,1.0
2020-01-20,0,-0.4731480234475217,0.0,0.10998,0.0,57.19,200000,200000.0,0.0,1.0
2020-01-21,0,-0.34561155278892836,0.0,0.11136,0.0,57.57,200000,200000.0,0.0,1.0
2020-01-22,0,0.4516698416032496,0.0,0.119,0.0,58.33,200000,200000.0,0.0,1.0
2020-01-23,0,0.1307103515617233,0.0,0.10858,0.0,54.52,200000,200000.0,0.0,1.0
2020-01-24,0,-0.24661073599277786,0.0,0.10494,0.0,54.38,200000,200000.0,0.0,1.0
2020-01-25,0,-0.29711971021992595,0.0,0.10189,0.0,53.25,200000,200000.0,0.0,1.0
2020-01-26,-1,-1.075217968240781,978282.1365681862,0.10222,-1778.0938833570412,56.24,200000,200000.0,0.0,1.0
2020-01-27,-2,-1.2521345287974945,0.0,0.10459,0.0,58.55,200000,201788.86820688815,1788.8682068881462,1.0089443410344408
2020-01-28,-1,-1.0552627703816755,922589.9241353701,0.10936,-1667.1254808896904,60.52,200000,201788.86820688815,1788.8682068881462,1.0089443410344408
2020-01-29,-2,-1.691211782131648,0.0,0.10434,0.0,59.8,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-01-30,-2,-2.964109589990043,0.0,0.10431,0.0,67.98,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-01-31,-2,-2.1856744078860437,0.0,0.10638,0.0,68.0,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-01,-2,-2.2406313591598717,0.0,0.10527,0.0,70.72,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-02,-2,-1.813442933351874,0.0,0.10545,0.0,69.93,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-03,-2,-1.3665174141134813,0.0,0.10829,0.0,69.65,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-04,0,0.02674519454471679,0.0,0.122,0.0,68.07,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-05,0,-0.5867052171969575,0.0,0.122,0.0,72.59,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-06,0,-0.49849428757917325,0.0,0.12425,0.0,73.6,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-07,0,-0.5230812699312278,0.0,0.1245,0.0,74.3,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-08,-2,-1.2747012475707828,0.0,0.1164,0.0,76.56,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-09,0,-0.7655404715184372,0.0,0.12284,0.0,77.0,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-10,0,0.26923027377303593,0.0,0.13064,0.0,74.02,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-11,0,-0.1725706113698122,0.0,0.12814,0.0,76.46,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-12,0,0.12162715134460164,0.0,0.13827,0.0,81.17,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-13,2,2.762788262947251,0.0,0.17192,0.0,80.55,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-14,2,1.3126257220656876,0.0,0.15827,0.0,83.14,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-15,2,1.3133894630167864,0.0,0.14694,0.0,76.7,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-16,0,0.6068627065904866,0.0,0.13454,0.0,74.67,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-17,0,0.9803297543940523,0.0,0.13716,0.0,73.41,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-18,0,0.7119737461364143,0.0,0.14134,0.0,77.25,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-19,0,0.43090176156811716,0.0,0.12664,0.0,70.61,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-20,1,1.0264536199161192,-774590.2441300185,0.13247,1478.5298219006274,69.4,200000,205219.9392798071,5219.939279807091,1.0260996963990354
2020-02-21,0,-0.05752641004796059,0.0,0.12776,0.0,73.25,200000,195879.2794156373,-4120.720584362687,0.9793963970781866
2020-02-22,0,-0.32210879624582833,0.0,0.12846,0.0,74.79,200000,195879.2794156373,-4120.720584362687,0.9793963970781866
