date,statusList,zscore,QTUMUSDT_position,QTUMUSDT_price,XRPUSDT_position,XRPUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,1.603,0.0,0.19305,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,1.533,0.0,0.1875,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,1.629,0.0,0.19338,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,1.642,0.0,0.19305,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,1.631,0.0,0.19453,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,1.747,0.0,0.2231,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,1.735,0.0,0.21335,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,1.683,0.0,0.2075,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,1.634,0.0,0.20373,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,1.734,0.0,0.21284,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,1.74,0.0,0.21121,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,1.754,0.0,0.21539,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,1.701,0.0,0.21134,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,1.915,0.0,0.23464,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,1.974,0.0,0.23367,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,1.932,0.0,0.229,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,2.092,0.0,0.23921,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,2.035,0.0,0.24357,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,1.931,0.0,0.23558,200000,200000.0,0.0,1.0
2020-01-20,0,-0.02224103440777083,0.0,1.923,0.0,0.23314,200000,200000.0,0.0,1.0
2020-01-21,0,-0.14616907836849918,0.0,1.95,0.0,0.23726,200000,200000.0,0.0,1.0
2020-01-22,0,0.6912468046302002,0.0,1.994,0.0,0.23733,200000,200000.0,0.0,1.0
2020-01-23,0,0.5455595044908848,0.0,1.89,0.0,0.22586,200000,200000.0,0.0,1.0
2020-01-24,2,1.2197894403001484,0.0,1.89,0.0,0.22222,200000,200000.0,0.0,1.0
2020-01-25,1,1.16676910226256,-53561.86395286556,1.867,455663.9023056594,0.21946,200000,200000.0,0.0,1.0
2020-01-26,1,0.4111304910933516,-53561.86395286556,1.935,455663.9023056594,0.23131,200000,209041.82399111695,9041.823991116951,1.0452091199555849
2020-01-27,2,1.7176345887582534,0.0,1.997,0.0,0.23077,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-01-28,2,1.2259553194586932,0.0,2.052,0.0,0.23906,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-01-29,2,1.9308047294921407,0.0,2.066,0.0,0.23539,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-01-30,2,2.1903557956460378,0.0,2.176,0.0,0.24376,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-01-31,2,1.7024584532305367,0.0,2.125,0.0,0.23946,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-01,2,2.127019337100814,0.0,2.193,0.0,0.24141,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-02,2,1.6874252419662117,0.0,2.262,0.0,0.25093,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-03,2,1.4158407987689838,0.0,2.286,0.0,0.25453,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-04,0,0.12532129895214134,0.0,2.307,0.0,0.26737,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-05,0,0.6481901137594285,0.0,2.442,0.0,0.27774,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-06,2,1.2354419426826089,0.0,2.544,0.0,0.28325,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-07,2,1.7287479064652531,0.0,2.572,0.0,0.27953,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-08,2,1.9849570941707155,0.0,2.6,0.0,0.27735,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-09,2,2.125402198699347,0.0,2.697,0.0,0.28257,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-10,2,1.7829536658008618,0.0,2.597,0.0,0.27338,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-11,2,1.8774393496390926,0.0,2.709,0.0,0.281,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-12,0,0.7067076686146904,0.0,2.805,0.0,0.30427,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-13,0,-0.7183562433546998,0.0,2.849,0.0,0.32709,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-14,0,0.09220152417857355,0.0,3.032,0.0,0.33594,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-15,0,-0.8244778838596438,0.0,2.69,0.0,0.30729,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-16,-2,-1.4749596041171265,0.0,2.493,0.0,0.29224,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-17,0,-0.8909821522137003,0.0,2.51,0.0,0.28736,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-18,0,-0.5469087098035371,0.0,2.639,0.0,0.29827,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-19,0,-0.3904846887026711,0.0,2.443,0.0,0.27466,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-20,0,-0.6213752486538132,0.0,2.389,0.0,0.2709,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-21,0,-0.5952687465393012,0.0,2.416,0.0,0.27418,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-22,0,-0.8965661625328821,0.0,2.388,0.0,0.27468,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-23,0,-0.5284516350256956,0.0,2.491,0.0,0.28298,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-24,0,-0.8058483877616294,0.0,2.358,0.0,0.2704,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-25,2,1.3224841886909255,0.0,2.384,0.0,0.25209,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-26,0,0.3847337149497918,0.0,2.097,0.0,0.22915,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-27,0,-0.3136924622860202,0.0,2.123,0.0,0.2385,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-28,0,-0.6572336946929089,0.0,2.073,0.0,0.23663,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-29,0,-0.31697885437049683,0.0,2.025,0.0,0.22892,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-03-01,0,0.08425554280249725,0.0,2.028,0.0,0.22696,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-03-02,1,1.0314449020046053,-46244.15297405947,2.182,421173.4777084805,0.23958,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-03-03,2,1.298784437666428,0.0,2.145,0.0,0.23428,200000,202330.6693506103,2330.6693506102893,1.0116533467530515
2020-03-04,2,1.2504017678812187,0.0,2.152,0.0,0.23453,200000,202330.6693506103,2330.6693506102893,1.0116533467530515
2020-03-05,1,1.1804970388552987,-46109.997573065244,2.194,423126.58277345414,0.23909,200000,202330.6693506103,2330.6693506102893,1.0116533467530515
2020-03-06,2,2.0245078036480963,0.0,2.314,0.0,0.24477,200000,205460.5100692249,5460.510069224896,1.0273025503461244
2020-03-07,2,1.5221757504939368,0.0,2.212,0.0,0.23622,200000,205460.5100692249,5460.510069224896,1.0273025503461244
2020-03-08,1,1.0892171757293467,-54268.49183022316,1.893,503950.23318426515,0.20385,200000,205460.5100692249,5460.510069224896,1.0273025503461244
2020-03-09,1,0.9402696359524922,-54268.49183022316,1.943,503950.23318426515,0.20952,200000,211031.33248289084,11031.332482890837,1.0551566624144542
2020-03-10,1,0.6711171289457888,-54268.49183022316,1.954,503950.23318426515,0.21185,200000,212802.48993634264,12802.489936342638,1.0640124496817132
2020-03-11,1,1.012194955850707,-54268.49183022316,1.943,503950.23318426515,0.20813,200000,210330.8416587647,10330.841658764693,1.0516542082938234
2020-03-12,0,-3.3820995219011074,0.0,1.039,0.0,0.13549,200000,193565.25598669067,-6434.744013309333,0.9678262799334534
2020-03-13,-2,-2.276067156682163,0.0,1.258,0.0,0.15872,200000,193565.25598669067,-6434.744013309333,0.9678262799334534
2020-03-14,-2,-1.7766737245534667,0.0,1.173,0.0,0.14588,200000,193565.25598669067,-6434.744013309333,0.9678262799334534
2020-03-15,-2,-1.8000344138950024,0.0,1.209,0.0,0.15308,200000,193565.25598669067,-6434.744013309333,0.9678262799334534
2020-03-16,-2,-2.174803313453855,0.0,1.047,0.0,0.14102,200000,193565.25598669067,-6434.744013309333,0.9678262799334534
2020-03-17,-2,-1.80485763250836,0.0,1.097,0.0,0.14694,200000,193565.25598669067,-6434.744013309333,0.9678262799334534
2020-03-18,-2,-1.5142665572035638,0.0,1.111,0.0,0.1476,200000,193565.25598669067,-6434.744013309333,0.9678262799334534
