date,statusList,zscore,ONGUSDT_position,ONGUSDT_price,MITHUSDT_position,MITHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0956,0.0,0.00757,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.095,0.0,0.00699,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0995,0.0,0.00739,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0981,0.0,0.00728,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0998,0.0,0.00734,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1024,0.0,0.00741,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0997,0.0,0.00705,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1016,0.0,0.00678,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0991,0.0,0.00664,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0996,0.0,0.00655,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1039,0.0,0.00669,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.105,0.0,0.00671,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1027,0.0,0.00669,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1132,0.0,0.00679,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.1149,0.0,0.00715,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1116,0.0,0.00716,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1156,0.0,0.00723,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1128,0.0,0.00732,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1069,0.0,0.00704,200000,200000.0,0.0,1.0
2020-01-20,0,0.23653797743756666,0.0,0.1043,0.0,0.00692,200000,200000.0,0.0,1.0
2020-01-21,0,-0.32476509324815833,0.0,0.1062,0.0,0.00727,200000,200000.0,0.0,1.0
2020-01-22,-1,-1.062370197685116,934579.4392523365,0.107,-13037809.64797914,0.00767,200000,200000.0,0.0,1.0
2020-01-23,-1,-0.22352718854799689,934579.4392523365,0.1087,-13037809.64797914,0.00734,200000,197286.3078628959,-2713.69213710411,0.9864315393144795
2020-01-24,-1,-0.9435593641235719,934579.4392523365,0.104,-13037809.64797914,0.00728,200000,192111.51591953114,-7888.484080468857,0.9605575795976558
2020-01-25,-2,-1.4104371756369758,0.0,0.1037,0.0,0.00742,200000,199824.65973753794,-175.34026246206486,0.9991232986876897
2020-01-26,-2,-2.3871014377049846,0.0,0.1054,0.0,0.00813,200000,199824.65973753794,-175.34026246206486,0.9991232986876897
2020-01-27,-2,-1.599063257781109,0.0,0.1058,0.0,0.00781,200000,199824.65973753794,-175.34026246206486,0.9991232986876897
2020-01-28,-1,-1.0538779769533415,922551.5223339702,0.1083,-12875300.240820743,0.00776,200000,199824.65973753794,-175.34026246206486,0.9991232986876897
2020-01-29,0,0.21028288559168787,0.0,0.1157,0.0,0.00764,200000,191452.74244336807,-8547.257556631928,0.9572637122168404
2020-01-30,2,1.7120564317209643,0.0,0.1244,0.0,0.00742,200000,191452.74244336807,-8547.257556631928,0.9572637122168404
2020-01-31,2,2.3510086962662924,0.0,0.1429,0.0,0.00794,200000,191452.74244336807,-8547.257556631928,0.9572637122168404
2020-02-01,2,1.847635054971902,0.0,0.1404,0.0,0.00792,200000,191452.74244336807,-8547.257556631928,0.9572637122168404
2020-02-02,2,1.643444367155195,0.0,0.1419,0.0,0.00799,200000,191452.74244336807,-8547.257556631928,0.9572637122168404
2020-02-03,2,1.7536265258346269,0.0,0.144,0.0,0.00792,200000,191452.74244336807,-8547.257556631928,0.9572637122168404
2020-02-04,2,1.614834062665938,0.0,0.1529,0.0,0.00837,200000,191452.74244336807,-8547.257556631928,0.9572637122168404
2020-02-05,2,1.7203910096987967,0.0,0.1584,0.0,0.00839,200000,191452.74244336807,-8547.257556631928,0.9572637122168404
2020-02-06,0,0.5047760104364981,0.0,0.1609,0.0,0.00964,200000,191452.74244336807,-8547.257556631928,0.9572637122168404
2020-02-07,0,0.28714346200475865,0.0,0.1614,0.0,0.00988,200000,191452.74244336807,-8547.257556631928,0.9572637122168404
2020-02-08,0,0.5525278310044756,0.0,0.1565,0.0,0.00925,200000,191452.74244336807,-8547.257556631928,0.9572637122168404
2020-02-09,0,0.3710203803052592,0.0,0.1621,0.0,0.00973,200000,191452.74244336807,-8547.257556631928,0.9572637122168404
2020-02-10,0,0.04766149348697048,0.0,0.1557,0.0,0.00965,200000,191452.74244336807,-8547.257556631928,0.9572637122168404
