date,statusList,zscore,ADAUSDT_position,ADAUSDT_price,TRXUSDT_position,TRXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.03348,0.0,0.01322,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.03269,0.0,0.01284,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.03417,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.03434,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0346,0.0,0.01353,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.03732,0.0,0.01472,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.037,0.0,0.01434,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.03631,0.0,0.01402,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.03616,0.0,0.01398,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.03693,0.0,0.01469,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.03678,0.0,0.0146,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.03792,0.0,0.01503,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.03682,0.0,0.01464,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.04161,0.0,0.01677,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.04275,0.0,0.01729,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.04168,0.0,0.01734,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0449,0.0,0.01758,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.04489,0.0,0.01766,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.042,0.0,0.01665,200000,200000.0,0.0,1.0
2020-01-20,2,2.0673183407568243,0.0,0.04378,0.0,0.01661,200000,200000.0,0.0,1.0
2020-01-21,2,2.0748536651721263,0.0,0.04602,0.0,0.01732,200000,200000.0,0.0,1.0
2020-01-22,2,1.3504596150350776,0.0,0.04575,0.0,0.01743,200000,200000.0,0.0,1.0
2020-01-23,2,1.5995037026987189,0.0,0.04318,0.0,0.01628,200000,200000.0,0.0,1.0
2020-01-24,2,2.3817751128600744,0.0,0.04495,0.0,0.01639,200000,200000.0,0.0,1.0
2020-01-25,2,1.3430415240109717,0.0,0.04314,0.0,0.01613,200000,200000.0,0.0,1.0
2020-01-26,1,1.0401625390252278,-2233638.597274961,0.04477,5938242.280285035,0.01684,200000,200000.0,0.0,1.0
2020-01-27,2,2.2265261781980814,0.0,0.04796,0.0,0.01713,200000,205403.2168640245,5403.216864024493,1.0270160843201224
2020-01-28,2,2.187769063211755,0.0,0.0529,0.0,0.0186,200000,205403.2168640245,5403.216864024493,1.0270160843201224
