date,statusList,zscore,XLMUSDT_position,XLMUSDT_price,ZILUSDT_position,ZILUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.04529,0.0,0.00454,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.04361,0.0,0.00438,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.04566,0.0,0.00454,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.04565,0.0,0.00461,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.04544,0.0,0.00463,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.05046,0.0,0.00489,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.04839,0.0,0.00481,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.04768,0.0,0.00469,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.04718,0.0,0.00459,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.04802,0.0,0.00469,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.04825,0.0,0.00465,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.04905,0.0,0.00478,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.04813,0.0,0.00467,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0528,0.0,0.00507,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0548,0.0,0.00523,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.05367,0.0,0.00514,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.06072,0.0,0.00544,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.06149,0.0,0.00528,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.06004,0.0,0.00511,200000,200000.0,0.0,1.0
2020-01-20,2,2.6655962417533297,0.0,0.06274,0.0,0.0051,200000,200000.0,0.0,1.0
2020-01-21,2,2.142470265539955,0.0,0.06279,0.0,0.00512,200000,200000.0,0.0,1.0
2020-01-22,2,1.3976863193708844,0.0,0.06136,0.0,0.00519,200000,200000.0,0.0,1.0
2020-01-23,1,1.1864800108148883,-1714383.6790673754,0.05833,20161290.322580647,0.00496,200000,200000.0,0.0,1.0
2020-01-24,1,0.8596873543798181,-1714383.6790673754,0.05714,20161290.322580647,0.00494,200000,197556.65761545824,-2443.3423845417565,0.9877832880772912
2020-01-25,1,0.5110721833183768,-1714383.6790673754,0.05604,20161290.322580647,0.00494,200000,195670.8355684841,-4329.1644315159065,0.9783541778424205
2020-01-26,1,0.5291293261621216,-1714383.6790673754,0.05841,20161290.322580647,0.00512,200000,203362.9571459383,3362.9571459383005,1.0168147857296914
