date,statusList,zscore,TFUELUSDT_position,TFUELUSDT_price,ADAUSDT_position,ADAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.002383,0.0,0.03348,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.002297,0.0,0.03269,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.002403,0.0,0.03417,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.002429,0.0,0.03434,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.002412,0.0,0.0346,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.002461,0.0,0.03732,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.002382,0.0,0.037,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.002511,0.0,0.03631,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.002395,0.0,0.03616,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.002402,0.0,0.03693,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.002403,0.0,0.03678,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.002452,0.0,0.03792,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.002456,0.0,0.03682,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.002572,0.0,0.04161,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.002567,0.0,0.04275,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.002584,0.0,0.04168,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.002598,0.0,0.0449,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.002591,0.0,0.04489,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00246,0.0,0.042,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.2935889449244264,0.0,0.002579,0.0,0.04378,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.930079247497158,0.0,0.002514,0.0,0.04602,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.6464772715945597,0.0,0.002515,0.0,0.04575,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.0045613547884613,40128410.91492777,0.002492,-2315886.9847151455,0.04318,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.5231471172960893,0.0,0.002449,0.0,0.04495,200000,205824.6416322877,5824.641632287705,1.0291232081614385
2020-01-25,0,-0.7772445592924102,0.0,0.002489,0.0,0.04314,200000,205824.6416322877,5824.641632287705,1.0291232081614385
2020-01-26,-1,-1.075884477599112,41164928.32645754,0.0025,-2298689.3191008233,0.04477,200000,205824.6416322877,5824.641632287705,1.0291232081614385
2020-01-27,-2,-1.3862543503833171,0.0,0.002574,0.0,0.04796,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-01-28,-2,-2.0892657830614354,0.0,0.0026,0.0,0.0529,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-01-29,-2,-2.2096944803978564,0.0,0.002481,0.0,0.05329,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-01-30,-2,-2.173255551461348,0.0,0.002498,0.0,0.05614,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-01-31,-2,-1.6923314733887214,0.0,0.002482,0.0,0.0539,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-02-01,-2,-1.7286239168481399,0.0,0.002496,0.0,0.0561,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-02-02,-2,-1.4736998095129088,0.0,0.002528,0.0,0.0557,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-02-03,-2,-1.41262306873173,0.0,0.002553,0.0,0.05696,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-02-04,0,-0.6090631023637383,0.0,0.002754,0.0,0.05601,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-02-05,0,-0.6358114148529455,0.0,0.002882,0.0,0.05933,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-02-06,0,-0.25165883312181186,0.0,0.003024,0.0,0.06008,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-02-07,0,0.39203791862726173,0.0,0.0032,0.0,0.05987,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-02-08,0,-0.11289574520782525,0.0,0.003031,0.0,0.06002,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-02-09,0,0.6804557982432162,0.0,0.003333,0.0,0.06188,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-02-10,2,1.3967125845014303,0.0,0.003465,0.0,0.06029,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-02-11,1,1.1050208258040557,-29485160.800457686,0.003563,1658336.6682246367,0.06335,200000,210111.25586406147,10111.255864061473,1.0505562793203074
2020-02-12,1,0.8174975910025063,-29485160.800457686,0.00372,1658336.6682246367,0.06817,200000,222733.60885057607,22733.60885057607,1.1136680442528804
2020-02-13,2,1.2939897781295826,0.0,0.003918,0.0,0.06867,200000,211756.13687326887,11756.136873268872,1.0587806843663443
2020-02-14,0,0.762094104351458,0.0,0.003836,0.0,0.07074,200000,211756.13687326887,11756.136873268872,1.0587806843663443
2020-02-15,0,0.7080262985257838,0.0,0.003458,0.0,0.06426,200000,211756.13687326887,11756.136873268872,1.0587806843663443
2020-02-16,0,0.5912311345715516,0.0,0.003274,0.0,0.06146,200000,211756.13687326887,11756.136873268872,1.0587806843663443
2020-02-17,1,1.0945368496570627,-31427150.02571518,0.003369,1759064.1042803528,0.06019,200000,211756.13687326887,11756.136873268872,1.0587806843663443
2020-02-18,1,0.607373774990716,-31427150.02571518,0.003394,1759064.1042803528,0.06274,200000,217027.42908982665,17027.429089826648,1.0851371454491332
2020-02-19,1,0.47161458774001347,-31427150.02571518,0.003088,1759064.1042803528,0.05737,200000,197964.5469419723,-2035.4530580276914,0.9898227347098616
2020-02-20,1,0.3947237417693361,-31427150.02571518,0.003129,1759064.1042803528,0.05815,200000,200625.1300943653,625.1300943653041,1.0031256504718264
2020-02-21,1,0.24039928175289924,-31427150.02571518,0.003134,1759064.1042803528,0.05853,200000,201450.71020412043,1450.7102041204344,1.0072535510206022
2020-02-22,1,0.32778271708674706,-31427150.02571518,0.003154,1759064.1042803528,0.05825,200000,201586.71525543625,1586.7152554362547,1.0079335762771813
2020-02-23,0,-0.30044728945449684,0.0,0.003246,0.0,0.06145,200000,205674.1766487127,5674.176648712688,1.0283708832435634
2020-02-24,0,-0.18381792607034536,0.0,0.003151,0.0,0.05906,200000,205674.1766487127,5674.176648712688,1.0283708832435634
2020-02-25,0,-0.5767553236026846,0.0,0.002966,0.0,0.05603,200000,205674.1766487127,5674.176648712688,1.0283708832435634
2020-02-26,-1,-1.1497694696388827,40092432.095265634,0.002565,-2092311.054412133,0.04915,200000,205674.17664871272,5674.176648712717,1.0283708832435636
2020-02-27,0,-0.010797145190949207,0.0,0.002696,0.0,0.04986,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-02-28,2,1.5515692964414194,0.0,0.00277,0.0,0.04885,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-02-29,2,1.7962844363967143,0.0,0.002709,0.0,0.0471,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-01,2,2.572516362152344,0.0,0.002713,0.0,0.04561,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-02,0,0.46171864218434144,0.0,0.002732,0.0,0.04923,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-03,2,1.608281753537132,0.0,0.002823,0.0,0.04866,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-04,2,2.0190672922661057,0.0,0.002906,0.0,0.04898,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-05,2,1.6510305720862903,0.0,0.00301,0.0,0.05096,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-06,0,0.9836778032212342,0.0,0.002987,0.0,0.05174,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-07,2,1.4704795894696243,0.0,0.002896,0.0,0.04879,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-08,0,0.99496441037615,0.0,0.002504,0.0,0.04291,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-09,2,1.7418243524236028,0.0,0.002535,0.0,0.04156,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-10,2,1.2378413400490829,0.0,0.002487,0.0,0.04146,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-11,2,1.247181430045664,0.0,0.002398,0.0,0.03969,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-12,-2,-2.4730209403587287,0.0,0.001116,0.0,0.02329,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-13,-2,-1.9620126120995616,0.0,0.001383,0.0,0.02843,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-14,0,0.231590756103078,0.0,0.00148,0.0,0.02582,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-15,0,0.9415269885071378,0.0,0.001626,0.0,0.02693,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-16,2,1.2187443867913708,0.0,0.001501,0.0,0.02423,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-17,0,0.5978008623361722,0.0,0.001541,0.0,0.02575,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-18,0,-0.3146541187819284,0.0,0.001476,0.0,0.02607,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-19,0,-0.29169893192511753,0.0,0.001718,0.0,0.0303,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-20,0,0.856203334634269,0.0,0.0018,0.0,0.02946,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-21,0,0.35337783919337834,0.0,0.001746,0.0,0.02948,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-22,0,0.17245502977230232,0.0,0.001587,0.0,0.02703,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-23,0,-0.08041521391562893,0.0,0.00169,0.0,0.02925,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-24,0,-0.8179010621678371,0.0,0.001657,0.0,0.03023,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-25,0,-0.4397091995005913,0.0,0.001651,0.0,0.02945,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-26,0,-0.4563880485641617,0.0,0.001725,0.0,0.03086,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
2020-03-27,0,0.34072520891699976,0.0,0.001696,0.0,0.02882,200000,201907.60889286554,1907.6088928655372,1.0095380444643276
