date,statusList,zscore,OMGUSDT_position,OMGUSDT_price,WAVESUSDT_position,WAVESUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.6214,0.0,1.0446,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.595,0.0,0.9459,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.6248,0.0,0.9526,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.6246,0.0,0.9458,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.6367,0.0,0.8872,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.6864,0.0,0.8949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.6706,0.0,0.8853,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.6603,0.0,0.851,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.6373,0.0,0.8231,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.6559,0.0,0.8244,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.6701,0.0,0.8561,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.6943,0.0,0.8447,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.6669,0.0,0.86,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.735,0.0,0.8637,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.7959,0.0,0.896,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.7749,0.0,0.8809,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.885,0.0,0.9,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.8392,0.0,0.8783,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.7998,0.0,0.8889,200000,200000.0,0.0,1.0
2020-01-20,1,1.0199403631774027,-127730.23374632775,0.7829,115300.35743110804,0.8673,200000,200000.0,0.0,1.0
2020-01-21,2,1.4522679441605595,0.0,0.838,0.0,0.8723,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-01-22,0,0.9921232272772421,0.0,0.8165,0.0,0.8862,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-01-23,0,0.43481201716220247,0.0,0.7638,0.0,0.8726,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-01-24,0,0.7313450695585554,0.0,0.7754,0.0,0.8552,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-01-25,0,0.48928090117280193,0.0,0.7607,0.0,0.8512,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-01-26,0,0.595105054028275,0.0,0.7905,0.0,0.8718,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-01-27,0,0.8507682459478563,0.0,0.8074,0.0,0.868,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-01-28,0,0.7162665905857984,0.0,0.8205,0.0,0.8856,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-01-29,2,1.2443373413546666,0.0,0.8402,0.0,0.8699,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-01-30,2,1.9061100129138357,0.0,0.888,0.0,0.8696,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-01-31,2,1.7505525947831233,0.0,0.901,0.0,0.8824,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-02-01,2,1.3737995309288151,0.0,0.9168,0.0,0.9111,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-02-02,2,1.416388483738291,0.0,0.968,0.0,0.9594,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-02-03,0,0.9860833830248722,0.0,0.9721,0.0,0.9809,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-02-04,2,1.2995836007237467,0.0,0.9776,0.0,0.9643,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-02-05,2,1.721336082392918,0.0,1.0358,0.0,0.9899,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-02-06,2,2.0046210340856665,0.0,1.1183,0.0,1.0364,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-02-07,1,1.1679615839913713,-91177.10390932127,1.1322,94533.62366862046,1.092,200000,206461.43409226713,6461.434092267125,1.0323071704613356
2020-02-08,2,1.8574004444553163,0.0,1.1608,0.0,1.058,200000,212283.2424688068,12283.242468806799,1.061416212344034
2020-02-09,0,0.6055607814602981,0.0,1.1323,0.0,1.11,200000,212283.2424688068,12283.242468806799,1.061416212344034
2020-02-10,-2,-2.450356988845412,0.0,1.1236,0.0,1.4376,200000,212283.2424688068,12283.242468806799,1.061416212344034
2020-02-11,-2,-1.4666947278538347,0.0,1.1979,0.0,1.4117,200000,212283.2424688068,12283.242468806799,1.061416212344034
2020-02-12,-1,-1.1725359408794134,84947.27589788187,1.2495,-74100.54540240394,1.4324,200000,212283.2424688068,12283.242468806799,1.061416212344034
2020-02-13,-1,-0.6597544228599312,84947.27589788187,1.2846,-74100.54540240394,1.4038,200000,213145.61625431367,13145.616254313674,1.0657280812715684
2020-02-14,-1,-1.039584751053273,84947.27589788187,1.371,-74100.54540240394,1.5529,200000,231533.4522113891,31533.452211389114,1.1576672610569456
2020-02-15,-1,-1.0824325746212053,84947.27589788187,1.2868,-74100.54540240394,1.4686,200000,218134.2156033648,18134.215603364806,1.090671078016824
2020-02-16,-2,-1.2311582296011845,0.0,1.182,0.0,1.3809,200000,214201.00550369004,14201.005503690045,1.0710050275184502
2020-02-17,0,-0.9392365599746213,0.0,1.1726,0.0,1.3366,200000,214201.00550369004,14201.005503690045,1.0710050275184502
2020-02-18,-2,-1.4605504367227624,0.0,1.1974,0.0,1.4693,200000,214201.00550369004,14201.005503690045,1.0710050275184502
2020-02-19,-2,-1.4262972831902407,0.0,1.0986,0.0,1.3717,200000,214201.00550369004,14201.005503690045,1.0710050275184502
2020-02-20,-2,-1.848065713517403,0.0,1.081,0.0,1.4854,200000,214201.00550369004,14201.005503690045,1.0710050275184502
2020-02-21,-2,-1.4097806319329655,0.0,1.0929,0.0,1.4459,200000,214201.00550369004,14201.005503690045,1.0710050275184502
2020-02-22,-1,-1.095187236919596,96958.63004874617,1.1046,-75433.51370041205,1.4198,200000,214201.00550369004,14201.005503690045,1.0710050275184502
2020-02-23,-1,-0.9067625149130808,96958.63004874617,1.1389,-75433.51370041205,1.4439,200000,219344.63419454196,19344.634194541955,1.0967231709727097
2020-02-24,-1,-0.9134818915448993,96958.63004874617,1.0671,-75433.51370041205,1.3735,200000,207072.485192533,7072.485192533,1.035362425962665
2020-02-25,-1,-1.0604216066033232,96958.63004874617,0.9893,-75433.51370041205,1.3215,200000,195606.5610623191,-4393.438937680912,0.9780328053115954
2020-02-26,-1,-1.0643458530492684,96958.63004874617,0.856,-75433.51370041205,1.1562,200000,170212.81586214312,-29787.18413785688,0.8510640793107156
2020-02-27,-1,-1.023223917059797,96958.63004874617,0.8951,-75433.51370041205,1.2148,200000,178424.30219989325,-21575.697800106747,0.8921215109994662
2020-02-28,-1,-1.0015833102268608,96958.63004874617,0.855,-75433.51370041205,1.1529,200000,169866.92663688303,-30133.07336311697,0.8493346331844152
2020-02-29,-2,-1.242184445235855,0.0,0.8225,0.0,1.1317,200000,219820.63974335263,19820.63974335263,1.0991031987167632
2020-03-01,0,-0.7843801913990839,0.0,0.841,0.0,1.1176,200000,219820.63974335263,19820.63974335263,1.0991031987167632
2020-03-02,0,-0.6709571821423607,0.0,0.8949,0.0,1.1853,200000,219820.63974335263,19820.63974335263,1.0991031987167632
2020-03-03,0,-0.4919648660643709,0.0,0.8864,0.0,1.1639,200000,219820.63974335263,19820.63974335263,1.0991031987167632
2020-03-04,0,-0.6677311240961538,0.0,0.8969,0.0,1.1998,200000,219820.63974335263,19820.63974335263,1.0991031987167632
2020-03-05,-2,-1.6300255921856943,0.0,0.9253,0.0,1.3394,200000,219820.63974335263,19820.63974335263,1.0991031987167632
2020-03-06,-2,-1.6737703026225061,0.0,0.9392,0.0,1.375,200000,219820.63974335263,19820.63974335263,1.0991031987167632
2020-03-07,-1,-1.155142722746554,121340.60484839513,0.9058,-85480.10567092574,1.2858,200000,219820.63974335263,19820.63974335263,1.0991031987167632
2020-03-08,-2,-1.3195963062888314,0.0,0.7655,0.0,1.0936,200000,220415.45029363054,20415.450293630536,1.1020772514681527
2020-03-09,0,-0.6405529384039684,0.0,0.7883,0.0,1.0925,200000,220415.45029363054,20415.450293630536,1.1020772514681527
2020-03-10,-2,-2.9662906826243134,0.0,0.7904,0.0,1.2875,200000,220415.45029363054,20415.450293630536,1.1020772514681527
2020-03-11,-2,-2.9290376895915395,0.0,0.7522,0.0,1.337,200000,220415.45029363054,20415.450293630536,1.1020772514681527
2020-03-12,-2,-2.773315509543548,0.0,0.4069,0.0,0.795,200000,220415.45029363054,20415.450293630536,1.1020772514681527
2020-03-13,-2,-1.6240870960639986,0.0,0.5034,0.0,0.8707,200000,220415.45029363054,20415.450293630536,1.1020772514681527
2020-03-14,-2,-1.4096379545272169,0.0,0.4684,0.0,0.805,200000,220415.45029363054,20415.450293630536,1.1020772514681527
2020-03-15,-2,-1.37128116444591,0.0,0.4939,0.0,0.8629,200000,220415.45029363054,20415.450293630536,1.1020772514681527
2020-03-16,-1,-1.0521511956995857,253409.34731390036,0.4349,-149211.65061848803,0.7386,200000,220415.45029363054,20415.450293630536,1.1020772514681527
2020-03-17,-2,-1.413467017394434,0.0,0.4697,0.0,0.8612,200000,229890.15337293342,29890.15337293342,1.1494507668646672
2020-03-18,-2,-1.3624125459693555,0.0,0.4644,0.0,0.8667,200000,229890.15337293342,29890.15337293342,1.1494507668646672
2020-03-19,0,-0.8698431602869235,0.0,0.5429,0.0,0.9516,200000,229890.15337293342,29890.15337293342,1.1494507668646672
2020-03-20,0,-0.9316574303077403,0.0,0.53,0.0,0.9519,200000,229890.15337293342,29890.15337293342,1.1494507668646672
2020-03-21,0,-0.8181021706003683,0.0,0.5231,0.0,0.9354,200000,229890.15337293342,29890.15337293342,1.1494507668646672
2020-03-22,0,-0.6793235448587943,0.0,0.477,0.0,0.8452,200000,229890.15337293342,29890.15337293342,1.1494507668646672
