date,statusList,zscore,ETCUSDT_position,ETCUSDT_price,VETUSDT_position,VETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,4.5035,0.0,0.005358,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,4.2283,0.0,0.005094,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,4.5768,0.0,0.005327,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,4.7598,0.0,0.00562,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,4.8784,0.0,0.005465,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,5.0333,0.0,0.00573,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,4.8344,0.0,0.005578,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,4.9521,0.0,0.005492,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,5.1848,0.0,0.005319,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,5.36,0.0,0.005454,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,5.5704,0.0,0.005526,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,5.5765,0.0,0.005523,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,5.4677,0.0,0.005407,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,6.7895,0.0,0.005994,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,7.9911,0.0,0.006003,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,8.414,0.0,0.005885,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,9.4792,0.0,0.006392,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,8.2944,0.0,0.006239,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,8.5268,0.0,0.005862,200000,200000.0,0.0,1.0
2020-01-20,2,1.6730662552945739,0.0,8.6347,0.0,0.005814,200000,200000.0,0.0,1.0
2020-01-21,2,1.5301474713041814,0.0,8.943,0.0,0.005964,200000,200000.0,0.0,1.0
2020-01-22,2,1.6680709116421855,0.0,9.3457,0.0,0.005863,200000,200000.0,0.0,1.0
2020-01-23,2,1.2059528046742316,0.0,8.4421,0.0,0.005607,200000,200000.0,0.0,1.0
2020-01-24,2,1.218590753540091,0.0,8.6118,0.0,0.00558,200000,200000.0,0.0,1.0
2020-01-25,0,0.9362383408921802,0.0,8.3966,0.0,0.005623,200000,200000.0,0.0,1.0
2020-01-26,2,1.2327255967198123,0.0,9.19,0.0,0.00573,200000,200000.0,0.0,1.0
2020-01-27,2,1.80551086915234,0.0,10.4161,0.0,0.005748,200000,200000.0,0.0,1.0
2020-01-28,2,2.045076044649941,0.0,11.3697,0.0,0.0058,200000,200000.0,0.0,1.0
2020-01-29,2,2.219157713249267,0.0,12.2231,0.0,0.005733,200000,200000.0,0.0,1.0
2020-01-30,2,1.9945787324925408,0.0,12.2842,0.0,0.005687,200000,200000.0,0.0,1.0
2020-01-31,2,1.2869036281032058,0.0,11.338,0.0,0.005766,200000,200000.0,0.0,1.0
