date,statusList,zscore,QTUMUSDT_position,QTUMUSDT_price,MITHUSDT_position,MITHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,1.603,0.0,0.00757,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,1.533,0.0,0.00699,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,1.629,0.0,0.00739,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,1.642,0.0,0.00728,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,1.631,0.0,0.00734,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,1.747,0.0,0.00741,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,1.735,0.0,0.00705,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,1.683,0.0,0.00678,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,1.634,0.0,0.00664,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,1.734,0.0,0.00655,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,1.74,0.0,0.00669,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,1.754,0.0,0.00671,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,1.701,0.0,0.00669,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,1.915,0.0,0.00679,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,1.974,0.0,0.00715,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,1.932,0.0,0.00716,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,2.092,0.0,0.00723,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,2.035,0.0,0.00732,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,1.931,0.0,0.00704,200000,200000.0,0.0,1.0
2020-01-20,1,1.029651395731529,-52002.08008320333,1.923,14450867.052023122,0.00692,200000,200000.0,0.0,1.0
2020-01-21,1,0.5527748728349363,-52002.08008320333,1.95,14450867.052023122,0.00727,200000,206461.8596304546,6461.859630454594,1.032309298152273
2020-01-22,0,0.09555013430306288,0.0,1.994,0.0,0.00767,200000,192853.9973968901,-7146.002603109897,0.9642699869844505
2020-01-23,0,-0.1299314116074332,0.0,1.89,0.0,0.00734,200000,192853.9973968901,-7146.002603109897,0.9642699869844505
2020-01-24,0,-0.11924177235298034,0.0,1.89,0.0,0.00728,200000,192853.9973968901,-7146.002603109897,0.9642699869844505
2020-01-25,0,-0.8218815660269817,0.0,1.867,0.0,0.00742,200000,192853.9973968901,-7146.002603109897,0.9642699869844505
