date,statusList,zscore,ATOMUSDT_position,ATOMUSDT_price,ONEUSDT_position,ONEUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,4.38,0.0,0.00466,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,4.096,0.0,0.0047,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,4.237,0.0,0.00478,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,4.25,0.0,0.00475,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,4.2,0.0,0.00466,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,4.111,0.0,0.00476,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,4.075,0.0,0.00455,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,3.995,0.0,0.0046,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,4.245,0.0,0.00458,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,4.27,0.0,0.00463,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,4.264,0.0,0.00462,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,4.253,0.0,0.00464,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,4.245,0.0,0.00477,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,4.53,0.0,0.0049,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,4.573,0.0,0.00504,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,5.097,0.0,0.00493,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,5.015,0.0,0.00518,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,4.625,0.0,0.00506,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,4.516,0.0,0.0048,200000,200000.0,0.0,1.0
2020-01-20,0,-0.2625410918384174,0.0,4.505,0.0,0.00498,200000,200000.0,0.0,1.0
2020-01-21,0,0.689497848480733,0.0,4.64,0.0,0.00493,200000,200000.0,0.0,1.0
2020-01-22,0,0.8880174409857083,0.0,4.657,0.0,0.00489,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.5627243769067478,0.0,4.463,0.0,0.00522,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.2705241944455328,0.0,4.488,0.0,0.0052,200000,200000.0,0.0,1.0
2020-01-25,-2,-1.2266935051787904,0.0,4.39,0.0,0.0051,200000,200000.0,0.0,1.0
2020-01-26,0,-0.7829951396267675,0.0,4.478,0.0,0.00508,200000,200000.0,0.0,1.0
2020-01-27,0,-0.5993896019403627,0.0,4.515,0.0,0.00508,200000,200000.0,0.0,1.0
2020-01-28,0,-0.40058989820265,0.0,4.577,0.0,0.00509,200000,200000.0,0.0,1.0
2020-01-29,0,-0.8320944500834173,0.0,4.401,0.0,0.00501,200000,200000.0,0.0,1.0
2020-01-30,-2,-1.2618674530380545,0.0,4.41,0.0,0.00516,200000,200000.0,0.0,1.0
2020-01-31,-2,-1.2855367293332574,0.0,4.397,0.0,0.00519,200000,200000.0,0.0,1.0
2020-02-01,-2,-1.2267650670840353,0.0,4.388,0.0,0.0052,200000,200000.0,0.0,1.0
2020-02-02,-2,-1.2568302013334438,0.0,4.403,0.0,0.00526,200000,200000.0,0.0,1.0
2020-02-03,-2,-2.4695908448838613,0.0,4.263,0.0,0.00576,200000,200000.0,0.0,1.0
2020-02-04,-2,-1.9018742828138568,0.0,4.22,0.0,0.0056,200000,200000.0,0.0,1.0
2020-02-05,-2,-1.9154209208003736,0.0,4.33,0.0,0.00582,200000,200000.0,0.0,1.0
2020-02-06,-2,-1.9307956217424271,0.0,4.589,0.0,0.00633,200000,200000.0,0.0,1.0
2020-02-07,-2,-1.8120996992858318,0.0,4.825,0.0,0.00677,200000,200000.0,0.0,1.0
2020-02-08,-2,-1.3096500741760642,0.0,4.629,0.0,0.00626,200000,200000.0,0.0,1.0
2020-02-09,-1,-1.0505232637535076,21021.652301870927,4.757,-15772870.662460567,0.00634,200000,200000.0,0.0,1.0
2020-02-10,-1,-0.91447552776995,21021.652301870927,4.773,-15772870.662460567,0.00633,200000,200178.61773020533,178.61773020532564,1.0008930886510266
2020-02-11,-1,-0.636089145705509,21021.652301870927,5.105,-15772870.662460567,0.00664,200000,212047.39619978925,12047.396199789247,1.0602369809989463
