date,statusList,zscore,FETUSDT_position,FETUSDT_price,ATOMUSDT_position,ATOMUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.03832,0.0,4.38,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.03642,0.0,4.096,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.03906,0.0,4.237,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.04027,0.0,4.25,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.03847,0.0,4.2,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.03949,0.0,4.111,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0372,0.0,4.075,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.03686,0.0,3.995,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0374,0.0,4.245,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.03619,0.0,4.27,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.03779,0.0,4.264,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.03987,0.0,4.253,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.04063,0.0,4.245,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.03899,0.0,4.53,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.04001,0.0,4.573,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.03962,0.0,5.097,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0422,0.0,5.015,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.04109,0.0,4.625,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.03771,0.0,4.516,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.2409189294799792,0.0,0.03734,0.0,4.505,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.315878643281934,0.0,0.03802,0.0,4.64,200000,200000.0,0.0,1.0
2020-01-22,0,-0.6832042679596685,0.0,0.03952,0.0,4.657,200000,200000.0,0.0,1.0
2020-01-23,0,-0.6654676814029505,0.0,0.03775,0.0,4.463,200000,200000.0,0.0,1.0
2020-01-24,0,-0.16781357262726324,0.0,0.03893,0.0,4.488,200000,200000.0,0.0,1.0
2020-01-25,0,0.7035005728673824,0.0,0.03989,0.0,4.39,200000,200000.0,0.0,1.0
2020-01-26,0,-0.04711223609814623,0.0,0.03889,0.0,4.478,200000,200000.0,0.0,1.0
2020-01-27,0,-0.14126969481091398,0.0,0.03892,0.0,4.515,200000,200000.0,0.0,1.0
2020-01-28,0,-0.970628839218412,0.0,0.03767,0.0,4.577,200000,200000.0,0.0,1.0
2020-01-29,0,-0.5015365644971376,0.0,0.03698,0.0,4.401,200000,200000.0,0.0,1.0
2020-01-30,0,0.1578195521370761,0.0,0.0383,0.0,4.41,200000,200000.0,0.0,1.0
2020-01-31,0,0.5544870127485657,0.0,0.0389,0.0,4.397,200000,200000.0,0.0,1.0
2020-02-01,0,0.564127494581138,0.0,0.03862,0.0,4.388,200000,200000.0,0.0,1.0
2020-02-02,2,1.2640606923095308,0.0,0.0394,0.0,4.403,200000,200000.0,0.0,1.0
2020-02-03,2,2.633272839615101,0.0,0.04111,0.0,4.263,200000,200000.0,0.0,1.0
2020-02-04,2,2.338757594782758,0.0,0.04117,0.0,4.22,200000,200000.0,0.0,1.0
2020-02-05,2,1.5781003621318839,0.0,0.04095,0.0,4.33,200000,200000.0,0.0,1.0
2020-02-06,2,2.498124015891406,0.0,0.04684,0.0,4.589,200000,200000.0,0.0,1.0
2020-02-07,2,1.3811626082650568,0.0,0.04669,0.0,4.825,200000,200000.0,0.0,1.0
2020-02-08,2,1.2517046024230316,0.0,0.04483,0.0,4.629,200000,200000.0,0.0,1.0
2020-02-09,2,2.059795217006908,0.0,0.04946,0.0,4.757,200000,200000.0,0.0,1.0
2020-02-10,2,1.5279940938970116,0.0,0.04853,0.0,4.773,200000,200000.0,0.0,1.0
2020-02-11,2,1.200269535482669,0.0,0.05124,0.0,5.105,200000,200000.0,0.0,1.0
2020-02-12,2,1.5105774566569952,0.0,0.05301,0.0,5.109,200000,200000.0,0.0,1.0
2020-02-13,2,2.0822385360297004,0.0,0.05431,0.0,4.906,200000,200000.0,0.0,1.0
2020-02-14,2,1.3389699305252132,0.0,0.05425,0.0,5.111,200000,200000.0,0.0,1.0
