date,statusList,zscore,OMGUSDT_position,OMGUSDT_price,ADAUSDT_position,ADAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.6214,0.0,0.03348,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.595,0.0,0.03269,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.6248,0.0,0.03417,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.6246,0.0,0.03434,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.6367,0.0,0.0346,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.6864,0.0,0.03732,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.6706,0.0,0.037,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.6603,0.0,0.03631,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.6373,0.0,0.03616,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.6559,0.0,0.03693,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.6701,0.0,0.03678,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.6943,0.0,0.03792,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.6669,0.0,0.03682,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.735,0.0,0.04161,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.7959,0.0,0.04275,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.7749,0.0,0.04168,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.885,0.0,0.0449,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.8392,0.0,0.04489,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.7998,0.0,0.042,200000,200000.0,0.0,1.0
2020-01-20,0,-0.9277873433158299,0.0,0.7829,0.0,0.04378,200000,200000.0,0.0,1.0
2020-01-21,0,-0.21216355560707126,0.0,0.838,0.0,0.04602,200000,200000.0,0.0,1.0
2020-01-22,0,-0.9129104835619607,0.0,0.8165,0.0,0.04575,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.1331142568585306,130924.32573972244,0.7638,-2315886.9847151455,0.04318,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.7392901528649918,0.0,0.7754,0.0,0.04495,200000,202580.397784365,2580.397784364992,1.012901988921825
