date,statusList,zscore,ADAUSDT_position,ADAUSDT_price,ETCUSDT_position,ETCUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.03348,0.0,4.5035,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.03269,0.0,4.2283,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.03417,0.0,4.5768,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.03434,0.0,4.7598,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0346,0.0,4.8784,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.03732,0.0,5.0333,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.037,0.0,4.8344,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.03631,0.0,4.9521,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.03616,0.0,5.1848,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.03693,0.0,5.36,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.03678,0.0,5.5704,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.03792,0.0,5.5765,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.03682,0.0,5.4677,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.04161,0.0,6.7895,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.04275,0.0,7.9911,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.04168,0.0,8.414,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0449,0.0,9.4792,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.04489,0.0,8.2944,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.042,0.0,8.5268,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.3811176676127346,0.0,0.04378,0.0,8.6347,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.1773417364974006,2172968.27466319,0.04602,-11181.930001118193,8.943,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.2815287778680406,0.0,0.04575,0.0,9.3457,200000,205089.66464560936,5089.664645609359,1.0254483232280467
2020-01-23,0,-0.9722271759929159,0.0,0.04318,0.0,8.4421,200000,205089.66464560936,5089.664645609359,1.0254483232280467
2020-01-24,0,-0.7860622533641702,0.0,0.04495,0.0,8.6118,200000,205089.66464560936,5089.664645609359,1.0254483232280467
2020-01-25,0,-0.7814489326751463,0.0,0.04314,0.0,8.3966,200000,205089.66464560936,5089.664645609359,1.0254483232280467
2020-01-26,0,-0.9558457043355189,0.0,0.04477,0.0,9.19,200000,205089.66464560936,5089.664645609359,1.0254483232280467
2020-01-27,-1,-1.1581130574809544,2138132.450433792,0.04796,-9844.839462255995,10.4161,200000,205089.66464560936,5089.664645609359,1.0254483232280467
2020-01-28,-1,-1.0329579833338456,2138132.450433792,0.0529,-9844.839462255995,11.3697,200000,225040.0778619596,25040.07786195961,1.1252003893097982
2020-01-29,-2,-1.2862585027992377,0.0,0.05329,0.0,12.2231,200000,211483.04359309384,11483.04359309384,1.0574152179654692
2020-01-30,0,-0.953632498167856,0.0,0.05614,0.0,12.2842,200000,211483.04359309384,11483.04359309384,1.0574152179654692
2020-01-31,0,-0.629803633688765,0.0,0.0539,0.0,11.338,200000,211483.04359309384,11483.04359309384,1.0574152179654692
2020-02-01,0,-0.3839155473978176,0.0,0.0561,0.0,11.5282,200000,211483.04359309384,11483.04359309384,1.0574152179654692
2020-02-02,0,-0.21840495290888703,0.0,0.0557,0.0,11.3658,200000,211483.04359309384,11483.04359309384,1.0574152179654692
2020-02-03,0,-0.30965393877905895,0.0,0.05696,0.0,11.7782,200000,211483.04359309384,11483.04359309384,1.0574152179654692
