date,statusList,zscore,QTUMUSDT_position,QTUMUSDT_price,TFUELUSDT_position,TFUELUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,1.603,0.0,0.002383,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,1.533,0.0,0.002297,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,1.629,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,1.642,0.0,0.002429,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,1.631,0.0,0.002412,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,1.747,0.0,0.002461,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,1.735,0.0,0.002382,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,1.683,0.0,0.002511,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,1.634,0.0,0.002395,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,1.734,0.0,0.002402,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,1.74,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,1.754,0.0,0.002452,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,1.701,0.0,0.002456,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,1.915,0.0,0.002572,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,1.974,0.0,0.002567,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,1.932,0.0,0.002584,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,2.092,0.0,0.002598,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,2.035,0.0,0.002591,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,1.931,0.0,0.00246,200000,200000.0,0.0,1.0
2020-01-20,0,0.594642392739222,0.0,1.923,0.0,0.002579,200000,200000.0,0.0,1.0
2020-01-21,1,1.162688696486098,-51282.05128205128,1.95,39777247.41447891,0.002514,200000,200000.0,0.0,1.0
2020-01-22,2,1.4036930864380592,0.0,1.994,0.0,0.002515,200000,202216.6330089958,2216.633008995792,1.011083165044979
2020-01-23,0,0.5455826610650094,0.0,1.89,0.0,0.002492,200000,202216.6330089958,2216.633008995792,1.011083165044979
2020-01-24,0,0.7777399257657863,0.0,1.89,0.0,0.002449,200000,202216.6330089958,2216.633008995792,1.011083165044979
2020-01-25,0,0.16664660063399575,0.0,1.867,0.0,0.002489,200000,202216.6330089958,2216.633008995792,1.011083165044979
2020-01-26,0,0.719514154147189,0.0,1.935,0.0,0.0025,200000,202216.6330089958,2216.633008995792,1.011083165044979
2020-01-27,0,0.7003370112311321,0.0,1.997,0.0,0.002574,200000,202216.6330089958,2216.633008995792,1.011083165044979
2020-01-28,1,1.0023229135103302,-49273.05872538884,2.052,38887814.0401915,0.0026,200000,202216.6330089958,2216.633008995792,1.011083165044979
2020-01-29,2,2.08893139493957,0.0,2.066,0.0,0.002481,200000,207534.105701934,7534.105701933993,1.03767052850967
2020-01-30,2,2.528435925063648,0.0,2.176,0.0,0.002498,200000,207534.105701934,7534.105701933993,1.03767052850967
2020-01-31,2,1.8584058138704898,0.0,2.125,0.0,0.002482,200000,207534.105701934,7534.105701933993,1.03767052850967
2020-02-01,2,2.044298117379232,0.0,2.193,0.0,0.002496,200000,207534.105701934,7534.105701933993,1.03767052850967
2020-02-02,2,2.1385190060615837,0.0,2.262,0.0,0.002528,200000,207534.105701934,7534.105701933993,1.03767052850967
2020-02-03,2,1.8527268406693014,0.0,2.286,0.0,0.002553,200000,207534.105701934,7534.105701933993,1.03767052850967
2020-02-04,0,0.6312142711424943,0.0,2.307,0.0,0.002754,200000,207534.105701934,7534.105701933993,1.03767052850967
2020-02-05,0,0.7420119747803454,0.0,2.442,0.0,0.002882,200000,207534.105701934,7534.105701933993,1.03767052850967
2020-02-06,0,0.5757026182711704,0.0,2.544,0.0,0.003024,200000,207534.105701934,7534.105701933993,1.03767052850967
