date,statusList,zscore,ONGUSDT_position,ONGUSDT_price,BNBUSDT_position,BNBUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0956,0.0,13.7184,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.095,0.0,13.0105,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0995,0.0,13.6474,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0981,0.0,13.8092,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0998,0.0,14.0532,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1024,0.0,14.9471,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0997,0.0,15.0226,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1016,0.0,14.5334,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0991,0.0,14.3978,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0996,0.0,15.07,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1039,0.0,14.9177,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.105,0.0,15.3366,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1027,0.0,15.1736,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1132,0.0,16.6371,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.1149,0.0,17.6655,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1116,0.0,17.0333,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1156,0.0,18.0724,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1128,0.0,17.8088,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1069,0.0,17.388,200000,200000.0,0.0,1.0
2020-01-20,-2,-2.078865116303759,0.0,0.1043,0.0,17.3235,200000,200000.0,0.0,1.0
2020-01-21,-2,-2.08749882969331,0.0,0.1062,0.0,18.1166,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.571407330413803,0.0,0.107,0.0,17.8344,200000,200000.0,0.0,1.0
2020-01-23,0,-0.5670318500463707,0.0,0.1087,0.0,17.0524,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.236510839304605,0.0,0.104,0.0,17.1148,200000,200000.0,0.0,1.0
2020-01-25,-1,-1.0364912957145849,964320.1542912247,0.1037,-5897.791277166701,16.9555,200000,200000.0,0.0,1.0
2020-01-26,-1,-1.1686588396841644,964320.1542912247,0.1054,-5897.791277166701,17.499,200000,204844.79382143516,4844.79382143516,1.0242239691071757
2020-01-27,-1,-1.1429834684526343,964320.1542912247,0.1058,-5897.791277166701,17.67,200000,206239.0441915472,6239.044191547204,1.031195220957736
2020-01-28,-1,-1.0318499107880885,964320.1542912247,0.1083,-5897.791277166701,18.0662,200000,210986.54948128865,10986.549481288646,1.0549327474064432
