date,statusList,zscore,BNBUSDT_position,BNBUSDT_price,MATICUSDT_position,MATICUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,13.7184,0.0,0.01496,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,13.0105,0.0,0.01467,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,13.6474,0.0,0.01512,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,13.8092,0.0,0.01484,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,14.0532,0.0,0.01483,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,14.9471,0.0,0.01554,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,15.0226,0.0,0.01509,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,14.5334,0.0,0.01499,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,14.3978,0.0,0.01459,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,15.07,0.0,0.01486,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,14.9177,0.0,0.01479,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,15.3366,0.0,0.01496,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,15.1736,0.0,0.01548,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,16.6371,0.0,0.01564,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,17.6655,0.0,0.01639,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,17.0333,0.0,0.01614,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,18.0724,0.0,0.0187,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,17.8088,0.0,0.01748,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,17.388,0.0,0.01643,200000,200000.0,0.0,1.0
2020-01-20,0,0.6978141300602525,0.0,17.3235,0.0,0.01685,200000,200000.0,0.0,1.0
2020-01-21,1,1.1231873140767759,-5519.799520881402,18.1166,5837711.617046118,0.01713,200000,200000.0,0.0,1.0
2020-01-22,1,0.8154789531399724,-5519.799520881402,17.8344,5837711.617046118,0.01708,200000,198150.426994355,-1849.573005645012,0.990752134971775
2020-01-23,1,1.1400778888124194,-5519.799520881402,17.0524,5837711.617046118,0.01605,200000,187821.1008034682,-12178.899196531798,0.939105504017341
2020-01-24,1,0.9049126818208139,-5519.799520881402,17.1148,5837711.617046118,0.01622,200000,189157.94726846903,-10842.052731530974,0.9457897363423451
2020-01-25,1,0.9111028917622543,-5519.799520881402,16.9555,5837711.617046118,0.01602,200000,187111.1008813834,-12888.899118616595,0.935555504406917
2020-01-26,1,0.9731746105239557,-5519.799520881402,17.499,5837711.617046118,0.01645,200000,192621.32791631226,-7378.672083687736,0.9631066395815613
2020-01-27,1,0.3935811403883407,-5519.799520881402,17.67,5837711.617046118,0.0169,200000,196192.18386205376,-3807.81613794624,0.9809609193102689
2020-01-28,1,0.5666701081624463,-5519.799520881402,18.0662,5837711.617046118,0.01714,200000,199780.17922031804,-219.82077968196245,0.9989008961015902
2020-01-29,1,0.40249304573855543,-5519.799520881402,17.9134,5837711.617046118,0.01704,200000,198352.98269182275,-1647.0173081772518,0.9917649134591138
2020-01-30,0,-1.3394620127049677,0.0,18.5555,0.0,0.01859,200000,193899.5810488275,-6100.418951172498,0.9694979052441375
