date,statusList,zscore,BNBUSDT_position,BNBUSDT_price,FETUSDT_position,FETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,13.7184,0.0,0.03832,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,13.0105,0.0,0.03642,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,13.6474,0.0,0.03906,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,13.8092,0.0,0.04027,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,14.0532,0.0,0.03847,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,14.9471,0.0,0.03949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,15.0226,0.0,0.0372,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,14.5334,0.0,0.03686,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,14.3978,0.0,0.0374,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,15.07,0.0,0.03619,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,14.9177,0.0,0.03779,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,15.3366,0.0,0.03987,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,15.1736,0.0,0.04063,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,16.6371,0.0,0.03899,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,17.6655,0.0,0.04001,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,17.0333,0.0,0.03962,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,18.0724,0.0,0.0422,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,17.8088,0.0,0.04109,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,17.388,0.0,0.03771,200000,200000.0,0.0,1.0
2020-01-20,2,1.7557523106323403,0.0,17.3235,0.0,0.03734,200000,200000.0,0.0,1.0
2020-01-21,2,1.8157579780867295,0.0,18.1166,0.0,0.03802,200000,200000.0,0.0,1.0
2020-01-22,1,1.0638519831502586,-5607.141255102499,17.8344,2530364.3724696357,0.03952,200000,200000.0,0.0,1.0
2020-01-23,1,0.9869141861435399,-5607.141255102499,17.0524,2530364.3724696357,0.03775,200000,191136.4705992386,-8863.529400761414,0.955682352996193
2020-01-24,1,0.5907146213791965,-5607.141255102499,17.1148,2530364.3724696357,0.03893,200000,194472.18617307115,-5527.8138269288465,0.9723609308653558
2020-01-25,0,0.067293558115303,0.0,16.9555,0.0,0.03989,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-01-26,0,0.798388095951052,0.0,17.499,0.0,0.03889,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-01-27,0,0.8480216242598693,0.0,17.67,0.0,0.03892,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-01-28,2,1.5283135911981203,0.0,18.0662,0.0,0.03767,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-01-29,2,1.5332060064378459,0.0,17.9134,0.0,0.03698,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-01-30,2,1.3669477507214223,0.0,18.5555,0.0,0.0383,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-01-31,0,0.8074033500271512,0.0,18.2644,0.0,0.0389,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-01,0,0.8729352059118864,0.0,18.2752,0.0,0.03862,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-02,0,0.6624200864698903,0.0,18.4333,0.0,0.0394,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-03,0,-0.3524404527547776,0.0,18.46,0.0,0.04111,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-04,0,-0.7486000800162314,0.0,18.1778,0.0,0.04117,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-05,0,0.6942618472445244,0.0,19.262,0.0,0.04095,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
2020-02-06,0,-0.991517208690993,0.0,20.6675,0.0,0.04684,200000,194135.64873307664,-5864.3512669233605,0.9706782436653832
