date,statusList,zscore,ZECUSDT_position,ZECUSDT_price,ICXUSDT_position,ICXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,28.07,0.0,0.1146,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,27.02,0.0,0.1096,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,28.41,0.0,0.1142,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,29.91,0.0,0.1139,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,30.81,0.0,0.1135,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,32.86,0.0,0.1248,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,32.24,0.0,0.1201,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,30.88,0.0,0.1171,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,30.83,0.0,0.1167,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,33.69,0.0,0.1188,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,34.88,0.0,0.1202,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,35.52,0.0,0.1215,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,38.32,0.0,0.1229,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,43.83,0.0,0.1394,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,54.97,0.0,0.143,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,50.8,0.0,0.1455,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.54,0.0,0.1527,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,51.16,0.0,0.1532,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,51.56,0.0,0.1462,200000,200000.0,0.0,1.0
2020-01-20,1,1.1490717056779463,-1862.8912071535021,53.68,661813.3686300463,0.1511,200000,200000.0,0.0,1.0
2020-01-21,1,0.7328195861036254,-1862.8912071535021,53.26,661813.3686300463,0.157,200000,203122.28456791278,3122.2845679127786,1.0156114228395638
2020-01-22,1,0.5435545077434498,-1862.8912071535021,52.21,661813.3686300463,0.1564,200000,200769.1607792236,769.1607792236027,1.003845803896118
2020-01-23,1,0.4258128994910823,-1862.8912071535021,49.6,661813.3686300463,0.1495,200000,191340.50248500562,-8659.497514994378,0.9567025124250281
2020-01-24,0,0.17959185253830307,0.0,48.82,0.0,0.1507,200000,191211.074080686,-8788.925919314002,0.95605537040343
2020-01-25,0,-0.10891979093703738,0.0,48.72,0.0,0.155,200000,191211.074080686,-8788.925919314002,0.95605537040343
2020-01-26,0,-0.3235046310956425,0.0,53.65,0.0,0.1738,200000,191211.074080686,-8788.925919314002,0.95605537040343
