date,statusList,zscore,CELRUSDT_position,CELRUSDT_price,ETHUSDT_position,ETHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00362,0.0,130.77,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0034,0.0,127.19,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00355,0.0,134.35,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00355,0.0,134.2,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00349,0.0,135.37,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00356,0.0,144.15,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00347,0.0,142.8,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.00339,0.0,140.72,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00332,0.0,137.74,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00327,0.0,144.84,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00333,0.0,142.38,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00346,0.0,146.54,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00352,0.0,143.58,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.00344,0.0,165.64,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00359,0.0,166.4,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00351,0.0,164.21,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00366,0.0,169.85,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00367,0.0,174.14,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00337,0.0,166.79,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.6384841201207636,0.0,0.00328,0.0,166.87,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.5954104612383493,0.0,0.00329,0.0,169.49,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.3698379796629874,0.0,0.0033,0.0,168.07,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.1542414320487004,30864197.530864198,0.00324,-614.2128861863522,162.81,200000,200000.0,0.0,1.0
2020-01-24,-1,-1.0897368185921967,30864197.530864198,0.00323,-614.2128861863522,162.54,200000,199525.52054542102,-474.4794545789773,0.9976276027271052
2020-01-25,-1,-0.42350346558865054,30864197.530864198,0.00338,-614.2128861863522,160.35,200000,202810.02395430257,2810.0239543025673,1.0140501197715128
2020-01-26,-1,-0.9070611501964834,30864197.530864198,0.00336,-614.2128861863522,167.86,200000,206805.47877894482,6805.478778944816,1.034027393894724
2020-01-27,-1,-1.1158813859624284,30864197.530864198,0.00331,-614.2128861863522,170.08,200000,206625.82150973528,6625.82150973528,1.0331291075486764
2020-01-28,-2,-1.259156767374596,0.0,0.00334,0.0,175.64,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-01-29,-2,-1.4564570739096507,0.0,0.00321,0.0,173.72,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-01-30,-2,-1.7114486515698188,0.0,0.00326,0.0,184.69,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-01-31,-2,-1.2978362075194867,0.0,0.00327,0.0,179.99,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-02-01,-2,-1.299624069758985,0.0,0.00331,0.0,183.6,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-02-02,-2,-1.3745322639318827,0.0,0.0034,0.0,188.44,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-02-03,0,-0.5941655600374508,0.0,0.00359,0.0,189.69,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-02-04,0,0.1576600072754333,0.0,0.00373,0.0,188.91,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-02-05,-2,-1.3618748977640456,0.0,0.00364,0.0,203.78,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-02-06,0,0.003223799506492992,0.0,0.00411,0.0,213.19,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-02-07,0,-0.4378106530122921,0.0,0.00419,0.0,223.33,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-02-08,0,-0.48942720836552417,0.0,0.00416,0.0,223.05,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-02-09,0,-0.5821768093727431,0.0,0.00423,0.0,228.49,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-02-10,2,1.43998468938459,0.0,0.00455,0.0,222.89,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-02-11,0,0.31371951099796547,0.0,0.00458,0.0,236.69,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-02-12,-1,-1.1930785113062077,21602735.398384437,0.00474,-385.32763523873797,265.74,200000,204793.93157668447,4793.931576684467,1.0239696578834223
2020-02-13,-1,-0.4382522883706256,21602735.398384437,0.00496,-385.32763523873797,268.32,200000,210540.67866324497,10540.678663244966,1.0527033933162249
2020-02-14,0,0.845016625809424,0.0,0.00555,0.0,285.15,200000,194774.92530397695,-5225.074696023046,0.9738746265198848
2020-02-15,0,-0.8506437021827217,0.0,0.00479,0.0,264.88,200000,194774.92530397695,-5225.074696023046,0.9738746265198848
2020-02-16,-2,-2.328973893240812,0.0,0.00429,0.0,258.85,200000,194774.92530397695,-5225.074696023046,0.9738746265198848
2020-02-17,-2,-2.5990561703535002,0.0,0.00418,0.0,267.85,200000,194774.92530397695,-5225.074696023046,0.9738746265198848
2020-02-18,-2,-1.9429982622976891,0.0,0.0045,0.0,282.61,200000,194774.92530397695,-5225.074696023046,0.9738746265198848
2020-02-19,-2,-1.8497679381337206,0.0,0.00406,0.0,258.45,200000,194774.92530397695,-5225.074696023046,0.9738746265198848
2020-02-20,-2,-1.9869506491251236,0.0,0.00386,0.0,256.96,200000,194774.92530397695,-5225.074696023046,0.9738746265198848
2020-02-21,-2,-1.839950053597274,0.0,0.00392,0.0,265.27,200000,194774.92530397695,-5225.074696023046,0.9738746265198848
2020-02-22,-2,-1.516900185016121,0.0,0.00392,0.0,261.57,200000,194774.92530397695,-5225.074696023046,0.9738746265198848
2020-02-23,-2,-1.2214918392783187,0.0,0.00419,0.0,274.48,200000,194774.92530397695,-5225.074696023046,0.9738746265198848
2020-02-24,-2,-1.3618051035446568,0.0,0.00391,0.0,265.52,200000,194774.92530397695,-5225.074696023046,0.9738746265198848
2020-02-25,-2,-1.3564632246209742,0.0,0.00356,0.0,246.67,200000,194774.92530397695,-5225.074696023046,0.9738746265198848
2020-02-26,-2,-1.2270891870156098,0.0,0.00323,0.0,223.93,200000,194774.92530397695,-5225.074696023046,0.9738746265198848
2020-02-27,-1,-1.0404666978993207,29333573.087948337,0.00332,-427.5317733525988,227.79,200000,194774.92530397695,-5225.074696023046,0.9738746265198848
2020-02-28,-1,-0.6431087828079186,29333573.087948337,0.00345,-427.5317733525988,226.76,200000,198147.93207885706,-1852.0679211429378,0.9907396603942853
2020-02-29,-1,-0.6041785245706867,29333573.087948337,0.00329,-427.5317733525988,217.21,200000,189371.631949268,-10628.36805073201,0.9468581597463399
2020-03-01,-1,-0.6371801813970861,29333573.087948337,0.00326,-427.5317733525988,217.81,200000,188748.14382064113,-11251.856179358874,0.9437407191032057
2020-03-02,-1,-0.5456041460171625,29333573.087948337,0.00348,-427.5317733525988,231.97,200000,201255.37981066256,1255.3798106625618,1.0062768990533129
2020-03-03,0,0.011036743072814747,0.0,0.00352,0.0,223.91,200000,187249.3874057792,-12750.612594220787,0.936246937028896
2020-03-04,0,0.30881131849105287,0.0,0.00358,0.0,224.26,200000,187249.3874057792,-12750.612594220787,0.936246937028896
2020-03-05,0,0.626430889413546,0.0,0.00364,0.0,228.38,200000,187249.3874057792,-12750.612594220787,0.936246937028896
2020-03-06,0,-0.9020968090637328,0.0,0.0036,0.0,244.88,200000,187249.3874057792,-12750.612594220787,0.936246937028896
2020-03-07,-1,-1.06529002160507,27059160.02973688,0.00346,-394.65790036205203,237.23,200000,187249.3874057792,-12750.612594220787,0.936246937028896
2020-03-08,-1,-1.03913707321414,27059160.02973688,0.0029,-394.65790036205203,199.43,200000,157178.18915544098,-42821.81084455902,0.785890945777205
2020-03-09,-1,-1.1255212254192124,27059160.02973688,0.00293,-394.65790036205203,202.81,200000,159323.90765955683,-40676.09234044317,0.7966195382977842
2020-03-10,-1,-1.1142827736326246,27059160.02973688,0.00289,-394.65790036205203,200.7,200000,157408.81308860343,-42591.186911396566,0.7870440654430172
2020-03-11,-1,-0.6643747306934225,27059160.02973688,0.00284,-394.65790036205203,194.61,200000,153652.38847391168,-46347.61152608832,0.7682619423695584
2020-03-12,-2,-3.5173617973505653,0.0,0.00126,0.0,107.82,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-13,-2,-3.240364605910841,0.0,0.00136,0.0,134.06,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-14,-2,-2.3072148689673933,0.0,0.0013,0.0,122.54,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-15,-2,-1.7043183761003973,0.0,0.00138,0.0,123.78,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-16,-2,-1.981947932937501,0.0,0.00111,0.0,111.02,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-17,-2,-1.327437872213231,0.0,0.00127,0.0,115.67,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-18,-2,-1.3549245359661621,0.0,0.00125,0.0,118.11,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-19,0,-0.7426216786984735,0.0,0.0016,0.0,136.3,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-20,0,-0.9132159148502488,0.0,0.00149,0.0,133.48,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-21,0,-0.7650355258769738,0.0,0.0015,0.0,132.66,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-22,0,-0.7339855351287989,0.0,0.00137,0.0,122.32,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-23,0,-0.6640379636512233,0.0,0.00152,0.0,135.92,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-24,0,-0.7918245168341775,0.0,0.00149,0.0,138.42,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-25,0,-0.6657035267935866,0.0,0.00148,0.0,136.1,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-26,0,0.4383944069788063,0.0,0.00175,0.0,138.4,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-27,0,0.10392451542191823,0.0,0.00157,0.0,131.33,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-28,0,-0.08731630748779338,0.0,0.00151,0.0,130.98,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-29,0,0.1167957503401336,0.0,0.00145,0.0,124.5,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-30,0,0.2965619679571765,0.0,0.00154,0.0,132.06,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-03-31,0,0.9364559615632903,0.0,0.00157,0.0,132.72,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-04-01,0,0.6508149753017093,0.0,0.00158,0.0,135.69,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-04-02,0,-0.16914076829836552,0.0,0.00158,0.0,141.28,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-04-03,0,0.24781919987839432,0.0,0.00162,0.0,141.31,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-04-04,0,-0.15569221329641314,0.0,0.00162,0.0,144.1,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-04-05,0,-0.23568999147573186,0.0,0.00161,0.0,142.68,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-04-06,-2,-2.2333187742849705,0.0,0.00174,0.0,171.32,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
2020-04-07,-2,-1.5521072725214267,0.0,0.00173,0.0,164.63,200000,195706.8605853472,-4293.139414652804,0.9785343029267359
