date,statusList,zscore,IOSTUSDT_position,IOSTUSDT_price,TFUELUSDT_position,TFUELUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.004817,0.0,0.002383,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.004605,0.0,0.002297,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.004819,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.004869,0.0,0.002429,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.004916,0.0,0.002412,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00512,0.0,0.002461,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00496,0.0,0.002382,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.004716,0.0,0.002511,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.004766,0.0,0.002395,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005095,0.0,0.002402,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.004983,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005361,0.0,0.002452,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005108,0.0,0.002456,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005758,0.0,0.002572,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.005815,0.0,0.002567,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005884,0.0,0.002584,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006125,0.0,0.002598,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.005849,0.0,0.002591,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005483,0.0,0.00246,200000,200000.0,0.0,1.0
2020-01-20,0,-0.27525696679162,0.0,0.005363,0.0,0.002579,200000,200000.0,0.0,1.0
2020-01-21,0,0.25836035709993604,0.0,0.005409,0.0,0.002514,200000,200000.0,0.0,1.0
2020-01-22,0,0.36346151726253567,0.0,0.005462,0.0,0.002515,200000,200000.0,0.0,1.0
2020-01-23,0,-0.20409000314333237,0.0,0.005258,0.0,0.002492,200000,200000.0,0.0,1.0
2020-01-24,0,-0.15887943985716904,0.0,0.005196,0.0,0.002449,200000,200000.0,0.0,1.0
2020-01-25,0,-0.48670798146419314,0.0,0.005198,0.0,0.002489,200000,200000.0,0.0,1.0
2020-01-26,0,0.07291079377551446,0.0,0.005384,0.0,0.0025,200000,200000.0,0.0,1.0
2020-01-27,0,-0.3518545240776262,0.0,0.005428,0.0,0.002574,200000,200000.0,0.0,1.0
2020-01-28,0,0.2569000797817151,0.0,0.005681,0.0,0.0026,200000,200000.0,0.0,1.0
2020-01-29,1,1.0400305290787628,-17834849.295523454,0.005607,40306328.09351068,0.002481,200000,200000.0,0.0,1.0
2020-01-30,1,0.7343794042677616,-17834849.295523454,0.005599,40306328.09351068,0.002498,200000,200542.52878322548,542.5287832254835,1.0027126439161274
2020-01-31,1,1.1686079719947908,-17834849.295523454,0.005674,40306328.09351068,0.002482,200000,201235.2412308936,1235.241230893589,1.006176206154468
2020-02-01,2,1.9061838723003468,0.0,0.005922,0.0,0.002496,200000,205013.38260668726,5013.382606687257,1.0250669130334362
2020-02-02,2,1.986485416631316,0.0,0.00609,0.0,0.002528,200000,205013.38260668726,5013.382606687257,1.0250669130334362
2020-02-03,2,1.6683175689548753,0.0,0.006128,0.0,0.002553,200000,205013.38260668726,5013.382606687257,1.0250669130334362
2020-02-04,2,1.6268036504985273,0.0,0.006656,0.0,0.002754,200000,205013.38260668726,5013.382606687257,1.0250669130334362
2020-02-05,0,0.7236086796006266,0.0,0.006681,0.0,0.002882,200000,205013.38260668726,5013.382606687257,1.0250669130334362
2020-02-06,1,1.027777180914779,-14411175.49604156,0.007113,33897715.37808982,0.003024,200000,205013.38260668726,5013.382606687257,1.0250669130334362
2020-02-07,1,0.38780601653292657,-14411175.49604156,0.007299,33897715.37808982,0.0032,200000,213659.85915549478,13659.859155494778,1.068299295777474
2020-02-08,1,0.800898521416368,-14411175.49604156,0.007077,33897715.37808982,0.003031,200000,204731.86429647636,4731.864296476357,1.0236593214823817
2020-02-09,1,0.25110911347176545,-14411175.49604156,0.007598,33897715.37808982,0.003333,200000,222477.19677409716,22477.19677409716,1.1123859838704857
2020-02-10,0,-0.8783454316687003,0.0,0.007472,0.0,0.003465,200000,195238.10212802855,-4761.8978719714505,0.9761905106401427
2020-02-11,-1,-1.0704573626417009,12854760.477220736,0.007594,-27397993.562732045,0.003563,200000,195238.10212802855,-4761.8978719714505,0.9761905106401427
2020-02-12,-1,-1.0552681907594073,12854760.477220736,0.007946,-27397993.562732045,0.00372,200000,204064.46280535916,4064.4628053591587,1.0203223140267959
2020-02-13,-2,-2.133693694563719,0.0,0.007778,0.0,0.003918,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-14,0,-0.6329878390332694,0.0,0.008343,0.0,0.003836,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-15,0,-0.9601649061906021,0.0,0.007382,0.0,0.003458,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-16,-2,-1.6543874942986727,0.0,0.006682,0.0,0.003274,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-17,-2,-2.0885990685955322,0.0,0.006532,0.0,0.003369,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-18,-2,-1.4717608511079066,0.0,0.006785,0.0,0.003394,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-19,-2,-1.2661718618700188,0.0,0.006205,0.0,0.003088,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-20,-2,-1.3107779542098779,0.0,0.006189,0.0,0.003129,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-21,0,-0.9254867234917931,0.0,0.006347,0.0,0.003134,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-22,-1,-1.1417672111210013,16280867.399147365,0.006222,-32117804.996035162,0.003154,200000,202599.1139149898,2599.113914989808,1.012995569574949
2020-02-23,-1,-0.9970140850962315,16280867.399147365,0.006432,-32117804.996035162,0.003246,200000,208972.93412844598,8972.93412844598,1.04486467064223
2020-02-24,-1,-1.0888206771070605,16280867.399147365,0.006165,-32117804.996035162,0.003151,200000,201574.75105825032,1574.7510582503164,1.0078737552912516
2020-02-25,-2,-1.441000857715921,0.0,0.005595,0.0,0.002966,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-02-26,0,-0.7837163231002507,0.0,0.00505,0.0,0.002565,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-02-27,0,-0.9302330585727623,0.0,0.00523,0.0,0.002696,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-02-28,-2,-1.2800588042235168,0.0,0.005251,0.0,0.00277,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-02-29,-2,-1.3373986289848068,0.0,0.005115,0.0,0.002709,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-01,-2,-1.4900677169759424,0.0,0.005049,0.0,0.002713,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-02,0,-0.6067676479844489,0.0,0.005283,0.0,0.002732,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-03,-2,-1.598621733436428,0.0,0.005186,0.0,0.002823,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-04,0,-0.9653442088205618,0.0,0.005471,0.0,0.002906,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-05,-2,-1.6942028985235384,0.0,0.005473,0.0,0.00301,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-06,0,-0.3947784276372495,0.0,0.00571,0.0,0.002987,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-07,-1,-1.1319750717217054,19195049.242016394,0.005386,-35699079.84029706,0.002896,200000,206769.07043500058,6769.0704350005835,1.0338453521750028
2020-03-08,-2,-1.272998239849145,0.0,0.004615,0.0,0.002504,200000,207574.4141031988,7574.4141031987965,1.037872070515994
2020-03-09,-2,-2.0175515644811868,0.0,0.004498,0.0,0.002535,200000,207574.4141031988,7574.4141031987965,1.037872070515994
2020-03-10,-1,-1.035829793524371,22750374.189302806,0.004562,-41731888.641575955,0.002487,200000,207574.4141031988,7574.4141031987965,1.037872070515994
2020-03-11,-1,-0.670682941219045,22750374.189302806,0.004444,-41731888.641575955,0.002398,200000,201175.73185976082,1175.7318597608246,1.005878659298804
2020-03-12,0,2.326713604992797,0.0,0.002293,0.0,0.001116,200000,201980.59381112622,1980.5938111262221,1.0099029690556312
2020-03-13,0,-0.5955770182552859,0.0,0.002562,0.0,0.001383,200000,201980.59381112622,1980.5938111262221,1.0099029690556312
2020-03-14,-2,-1.806733214531813,0.0,0.002599,0.0,0.00148,200000,201980.59381112622,1980.5938111262221,1.0099029690556312
2020-03-15,-2,-2.186782714182882,0.0,0.002761,0.0,0.001626,200000,201980.59381112622,1980.5938111262221,1.0099029690556312
2020-03-16,-2,-2.5286096790051835,0.0,0.002417,0.0,0.001501,200000,201980.59381112622,1980.5938111262221,1.0099029690556312
2020-03-17,-2,-1.9654450095195244,0.0,0.002515,0.0,0.001541,200000,201980.59381112622,1980.5938111262221,1.0099029690556312
2020-03-18,-1,-1.1787829539111774,40235178.05002514,0.00251,-68421610.36962269,0.001476,200000,201980.5938111262,1980.593811126193,1.009902969055631
2020-03-19,-2,-1.4109691632211137,0.0,0.002847,0.0,0.001718,200000,204979.36851771644,4979.368517716444,1.0248968425885823
2020-03-20,0,-0.529319342411463,0.0,0.003146,0.0,0.0018,200000,204979.36851771644,4979.368517716444,1.0248968425885823
2020-03-21,2,1.3481634382034013,0.0,0.003433,0.0,0.001746,200000,204979.36851771644,4979.368517716444,1.0248968425885823
2020-03-22,0,0.506732948318792,0.0,0.002959,0.0,0.001587,200000,204979.36851771644,4979.368517716444,1.0248968425885823
2020-03-23,1,1.0034446701991677,-31457852.749803014,0.003258,60644783.5851232,0.00169,200000,204979.36851771644,4979.368517716444,1.0248968425885823
2020-03-24,2,1.6235595468230781,0.0,0.003346,0.0,0.001657,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-03-25,0,0.6168639141277175,0.0,0.003137,0.0,0.001651,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-03-26,0,0.1078035835365547,0.0,0.003161,0.0,0.001725,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-03-27,0,-0.5070871160784486,0.0,0.00297,0.0,0.001696,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-03-28,0,-0.5289185397387326,0.0,0.002958,0.0,0.001697,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-03-29,0,-0.5495568124622641,0.0,0.002743,0.0,0.001578,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-03-30,0,-0.6166659160129042,0.0,0.002925,0.0,0.001697,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-03-31,0,-0.36928035335839504,0.0,0.003034,0.0,0.001734,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-04-01,0,-0.324575063989759,0.0,0.003036,0.0,0.00174,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-04-02,0,0.13180497413410977,0.0,0.003122,0.0,0.001742,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-04-03,0,0.4838093338679449,0.0,0.003169,0.0,0.001727,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-04-04,0,0.6901063186522121,0.0,0.003241,0.0,0.001737,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-04-05,0,0.38530860222275715,0.0,0.003157,0.0,0.001715,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-04-06,0,0.7586669173179583,0.0,0.00349,0.0,0.00185,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-04-07,0,0.7496013080198366,0.0,0.003395,0.0,0.001793,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-04-08,1,1.142384828355828,-29368375.443574373,0.003571,56904215.251765646,0.001843,200000,209748.93741800816,9748.937418008165,1.0487446870900408
2020-04-09,1,0.7410012822747203,-29368375.443574373,0.003491,56904215.251765646,0.001828,200000,206545.90415374574,6545.904153745738,1.0327295207687286
2020-04-10,1,0.668962978749877,-29368375.443574373,0.003169,56904215.251765646,0.00167,200000,188098.42125113582,-11901.57874886418,0.9404921062556791
2020-04-11,1,0.565614240429126,-29368375.443574373,0.00315,56904215.251765646,0.001666,200000,187312.80525670084,-12687.194743299158,0.9365640262835042
2020-04-12,0,0.18683009163756872,0.0,0.003169,0.0,0.001708,200000,205624.9195486796,5624.919548679609,1.0281245977433981
2020-04-13,0,0.9564297740035297,0.0,0.003172,0.0,0.001668,200000,205624.9195486796,5624.919548679609,1.0281245977433981
2020-04-14,0,0.0063908521687708626,0.0,0.003163,0.0,0.001727,200000,205624.9195486796,5624.919548679609,1.0281245977433981
2020-04-15,0,0.638305607356497,0.0,0.003021,0.0,0.001609,200000,205624.9195486796,5624.919548679609,1.0281245977433981
2020-04-16,2,1.6671644760318296,0.0,0.003279,0.0,0.001669,200000,205624.9195486796,5624.919548679609,1.0281245977433981
2020-04-17,2,1.7403866998564506,0.0,0.00326,0.0,0.001641,200000,205624.9195486796,5624.919548679609,1.0281245977433981
