date,statusList,zscore,IOSTUSDT_position,IOSTUSDT_price,VETUSDT_position,VETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.004817,0.0,0.005358,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.004605,0.0,0.005094,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.004819,0.0,0.005327,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.004869,0.0,0.00562,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.004916,0.0,0.005465,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00512,0.0,0.00573,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00496,0.0,0.005578,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.004716,0.0,0.005492,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.004766,0.0,0.005319,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005095,0.0,0.005454,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.004983,0.0,0.005526,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005361,0.0,0.005523,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005108,0.0,0.005407,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005758,0.0,0.005994,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.005815,0.0,0.006003,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005884,0.0,0.005885,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006125,0.0,0.006392,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.005849,0.0,0.006239,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005483,0.0,0.005862,200000,200000.0,0.0,1.0
2020-01-20,0,0.004824980014099654,0.0,0.005363,0.0,0.005814,200000,200000.0,0.0,1.0
2020-01-21,0,-0.42523244281282363,0.0,0.005409,0.0,0.005964,200000,200000.0,0.0,1.0
2020-01-22,0,0.20647884062301455,0.0,0.005462,0.0,0.005863,200000,200000.0,0.0,1.0
2020-01-23,0,0.33050090405837185,0.0,0.005258,0.0,0.005607,200000,200000.0,0.0,1.0
2020-01-24,0,0.06696088745166288,0.0,0.005196,0.0,0.00558,200000,200000.0,0.0,1.0
2020-01-25,0,-0.17375117760746972,0.0,0.005198,0.0,0.005623,200000,200000.0,0.0,1.0
2020-01-26,0,0.22346946373800602,0.0,0.005384,0.0,0.00573,200000,200000.0,0.0,1.0
2020-01-27,0,0.29951854971024083,0.0,0.005428,0.0,0.005748,200000,200000.0,0.0,1.0
2020-01-28,2,1.4653251916481411,0.0,0.005681,0.0,0.0058,200000,200000.0,0.0,1.0
2020-01-29,2,1.305273189012708,0.0,0.005607,0.0,0.005733,200000,200000.0,0.0,1.0
2020-01-30,2,1.3915468659946697,0.0,0.005599,0.0,0.005687,200000,200000.0,0.0,1.0
2020-01-31,2,1.2743769031390875,0.0,0.005674,0.0,0.005766,200000,200000.0,0.0,1.0
2020-02-01,2,1.3293457544122222,0.0,0.005922,0.0,0.005997,200000,200000.0,0.0,1.0
2020-02-02,0,0.8732032414865322,0.0,0.00609,0.0,0.006229,200000,200000.0,0.0,1.0
2020-02-03,0,0.634468866207707,0.0,0.006128,0.0,0.006304,200000,200000.0,0.0,1.0
2020-02-04,2,2.026354368594542,0.0,0.006656,0.0,0.006532,200000,200000.0,0.0,1.0
