date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,ADAUSDT_position,ADAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,0.03348,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,0.03269,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,0.03417,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,0.03434,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,0.0346,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,0.03732,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,0.037,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,0.03631,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,0.03616,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,0.03693,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,0.03678,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,0.03792,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,0.03682,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,0.04161,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,0.04275,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,0.04168,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,0.0449,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,0.04489,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,0.042,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.8502916651380756,0.0,0.0006756,0.0,0.04378,200000,200000.0,0.0,1.0
2020-01-21,-2,-2.1265260323979907,0.0,0.0006651,0.0,0.04602,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.737618547977473,0.0,0.0006688,0.0,0.04575,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.5388004163943767,0.0,0.0006333,0.0,0.04318,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.6770771131748263,0.0,0.0006346,0.0,0.04495,200000,200000.0,0.0,1.0
2020-01-25,-2,-1.3739950911219505,0.0,0.000621,0.0,0.04314,200000,200000.0,0.0,1.0
2020-01-26,-2,-1.3579812765105357,0.0,0.0006347,0.0,0.04477,200000,200000.0,0.0,1.0
2020-01-27,-2,-1.5170904943584378,0.0,0.0006521,0.0,0.04796,200000,200000.0,0.0,1.0
2020-01-28,-2,-1.9754301864236796,0.0,0.000648,0.0,0.0529,200000,200000.0,0.0,1.0
2020-01-29,-2,-1.7459413590194857,0.0,0.0006531,0.0,0.05329,200000,200000.0,0.0,1.0
2020-01-30,-2,-1.9400531263718048,0.0,0.000638,0.0,0.05614,200000,200000.0,0.0,1.0
2020-01-31,-2,-1.5764781354839905,0.0,0.0006329,0.0,0.0539,200000,200000.0,0.0,1.0
2020-02-01,-2,-1.5384264284764737,0.0,0.0006448,0.0,0.0561,200000,200000.0,0.0,1.0
2020-02-02,-1,-1.174562198961402,148831671.37966958,0.0006719,-1795332.1364452424,0.0557,200000,200000.0,0.0,1.0
2020-02-03,-2,-1.2853687362394983,0.0,0.0006619,0.0,0.05696,200000,203750.4352057177,3750.4352057176875,1.0187521760285885
2020-02-04,0,-0.7768808542771749,0.0,0.000695,0.0,0.05601,200000,203750.4352057177,3750.4352057176875,1.0187521760285885
2020-02-05,-1,-1.0720773999927864,146393472.62948534,0.0006959,-1717094.5154704002,0.05933,200000,203750.4352057177,3750.4352057176875,1.0187521760285885
2020-02-06,-1,-0.6474486563684624,146393472.62948534,0.00074,-1717094.5154704002,0.06008,200000,211494.2082352808,11494.208235280792,1.057471041176404
2020-02-07,0,-0.17287783545933813,0.0,0.0007744,0.0,0.05987,200000,193185.7786426571,-6814.2213573429035,0.9659288932132855
2020-02-08,0,0.3170383384073723,0.0,0.000808,0.0,0.06002,200000,193185.7786426571,-6814.2213573429035,0.9659288932132855
2020-02-09,0,0.002787017408928224,0.0,0.0008003,0.0,0.06188,200000,193185.7786426571,-6814.2213573429035,0.9659288932132855
2020-02-10,0,-0.21763464071757868,0.0,0.0007595,0.0,0.06029,200000,193185.7786426571,-6814.2213573429035,0.9659288932132855
2020-02-11,0,-0.5302579859643274,0.0,0.000771,0.0,0.06335,200000,193185.7786426571,-6814.2213573429035,0.9659288932132855
2020-02-12,0,-0.15112794092220852,0.0,0.0008498,0.0,0.06817,200000,193185.7786426571,-6814.2213573429035,0.9659288932132855
2020-02-13,0,0.18458275523201836,0.0,0.0008714,0.0,0.06867,200000,193185.7786426571,-6814.2213573429035,0.9659288932132855
2020-02-14,0,0.2187349124476477,0.0,0.0008915,0.0,0.07074,200000,193185.7786426571,-6814.2213573429035,0.9659288932132855
2020-02-15,2,1.294620794144565,0.0,0.000849,0.0,0.06426,200000,193185.7786426571,-6814.2213573429035,0.9659288932132855
2020-02-16,2,1.704347731848937,0.0,0.0008258,0.0,0.06146,200000,193185.7786426571,-6814.2213573429035,0.9659288932132855
2020-02-17,1,1.1073706396128764,-122161236.02039781,0.0007907,1604799.623215294,0.06019,200000,193185.7786426571,-6814.2213573429035,0.9659288932132855
2020-02-18,1,0.35745683148194696,-122161236.02039781,0.0007956,1604799.623215294,0.06274,200000,197876.60773835605,-2123.392261643952,0.9893830386917802
2020-02-19,1,0.3022785856280201,-122161236.02039781,0.0007284,1604799.623215294,0.05737,200000,181049.5987011192,-18950.40129888081,0.9052479935055959
2020-02-20,0,-0.2024016216293041,0.0,0.0007235,0.0,0.05815,200000,188250.33481344557,-11749.665186554426,0.9412516740672279
