date,statusList,zscore,TRXUSDT_position,TRXUSDT_price,WAVESUSDT_position,WAVESUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.01322,0.0,1.0446,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.01284,0.0,0.9459,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.01344,0.0,0.9526,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.01344,0.0,0.9458,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.01353,0.0,0.8872,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.01472,0.0,0.8949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.01434,0.0,0.8853,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.01402,0.0,0.851,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.01398,0.0,0.8231,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.01469,0.0,0.8244,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.0146,0.0,0.8561,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.01503,0.0,0.8447,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.01464,0.0,0.86,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.01677,0.0,0.8637,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.01729,0.0,0.896,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.01734,0.0,0.8809,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.01758,0.0,0.9,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.01766,0.0,0.8783,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.01665,0.0,0.8889,200000,200000.0,0.0,1.0
2020-01-20,0,0.9319714223545775,0.0,0.01661,0.0,0.8673,200000,200000.0,0.0,1.0
2020-01-21,1,1.1804447534734182,-5773672.055427252,0.01732,114639.45890175398,0.8723,200000,200000.0,0.0,1.0
2020-01-22,1,1.0185957161463721,-5773672.055427252,0.01743,114639.45890175398,0.8862,200000,202228.59240483138,2228.5924048313755,1.0111429620241568
2020-01-23,1,0.4061869947763437,-5773672.055427252,0.01628,114639.45890175398,0.8726,200000,194029.77290002618,-5970.227099973825,0.9701488645001308
2020-01-24,1,0.6482790323927634,-5773672.055427252,0.01639,114639.45890175398,0.8552,200000,192670.15024123265,-7329.849758767348,0.9633507512061632
2020-01-25,1,0.42433429106292747,-5773672.055427252,0.01613,114639.45890175398,0.8512,200000,190710.43767121457,-9289.562328785425,0.9535521883560729
2020-01-26,1,0.6313492446605748,-5773672.055427252,0.01684,114639.45890175398,0.8718,200000,197171.31768394407,-2828.682316055929,0.9858565884197203
2020-01-27,1,0.9075786645755612,-5773672.055427252,0.01713,114639.45890175398,0.868,200000,198410.05263619128,-1589.947363808722,0.9920502631809563
2020-01-28,2,1.8737863039101446,0.0,0.0186,0.0,0.8856,200000,205865.59542755355,5865.595427553548,1.0293279771377677
