date,statusList,zscore,ONTUSDT_position,ONTUSDT_price,NEOUSDT_position,NEOUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.5275,0.0,8.85,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.5037,0.0,8.462,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.5278,0.0,8.888,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.5316,0.0,9.077,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.5483,0.0,9.02,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.5831,0.0,9.757,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.5636,0.0,9.801,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.5538,0.0,9.448,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.5387,0.0,9.387,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.5665,0.0,9.862,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.583,0.0,9.696,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.6165,0.0,10.271,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.6061,0.0,10.0,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.6759,0.0,11.204,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.6991,0.0,11.412,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.7127,0.0,11.271,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.7136,0.0,11.848,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.6881,0.0,11.876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.6542,0.0,11.245,200000,200000.0,0.0,1.0
2020-01-20,0,-0.45375834523155983,0.0,0.6535,0.0,11.114,200000,200000.0,0.0,1.0
2020-01-21,0,-0.2692491007568824,0.0,0.6628,0.0,11.226,200000,200000.0,0.0,1.0
2020-01-22,0,0.020827684908913385,0.0,0.6688,0.0,11.247,200000,200000.0,0.0,1.0
2020-01-23,0,0.44329322268402477,0.0,0.6386,0.0,10.621,200000,200000.0,0.0,1.0
2020-01-24,0,-0.006408713529929868,0.0,0.6255,0.0,10.511,200000,200000.0,0.0,1.0
2020-01-25,0,0.996093074177273,0.0,0.6313,0.0,10.35,200000,200000.0,0.0,1.0
2020-01-26,0,0.2626477524159761,0.0,0.647,0.0,10.797,200000,200000.0,0.0,1.0
2020-01-27,2,1.405817338324212,0.0,0.6852,0.0,11.082,200000,200000.0,0.0,1.0
2020-01-28,0,0.9227903920963348,0.0,0.6959,0.0,11.36,200000,200000.0,0.0,1.0
2020-01-29,2,2.7303413614706864,0.0,0.7297,0.0,11.201,200000,200000.0,0.0,1.0
2020-01-30,1,1.1896958197414502,-136165.5773420479,0.7344,8521.51682999574,11.735,200000,200000.0,0.0,1.0
2020-01-31,2,2.794167549801724,0.0,0.7705,0.0,11.453,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-01,2,2.0997684586656207,0.0,0.7621,0.0,11.422,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-02,2,1.402906319325505,0.0,0.7852,0.0,12.016,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-03,2,1.3735083131331873,0.0,0.7809,0.0,11.88,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-04,2,1.687114418764365,0.0,0.8206,0.0,12.177,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-05,2,1.2719516259983168,0.0,0.8475,0.0,12.762,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-06,2,1.233628132371298,0.0,0.862,0.0,12.914,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-07,2,1.4322344313939146,0.0,0.8695,0.0,12.792,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-08,0,0.9578094679974015,0.0,0.8457,0.0,12.688,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-09,0,0.30205808839822756,0.0,0.9188,0.0,14.201,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-10,2,1.91479382408024,0.0,0.9581,0.0,13.551,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-11,2,1.7306882863438129,0.0,0.9767,0.0,13.791,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-12,2,1.3082581603865744,0.0,1.035,0.0,14.822,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-13,0,0.6099658910953037,0.0,1.0251,0.0,15.141,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-14,0,-0.5503169202039678,0.0,1.0727,0.0,16.676,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-15,0,-0.9792576802337448,0.0,0.9609,0.0,15.127,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-16,-2,-1.6750151254412973,0.0,0.9013,0.0,14.625,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-17,-2,-2.4588360141593775,0.0,0.8817,0.0,15.027,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-18,-2,-1.890475888798773,0.0,0.9213,0.0,15.5,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-19,-2,-1.4727588865013508,0.0,0.85,0.0,14.043,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-20,-2,-1.6320609668775163,0.0,0.8298,0.0,14.03,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-21,-1,-1.0706660922364506,121594.51324815642,0.8525,-7395.257369198356,14.017,200000,207318.6450881067,7318.645088106714,1.0365932254405337
2020-02-22,-1,-0.7810095569821563,121594.51324815642,0.8464,-7395.257369198356,13.72,200000,204380.52711864107,4380.527118641068,1.0219026355932053
2020-02-23,-1,-0.5424113188584906,121594.51324815642,0.8925,-7395.257369198356,14.294,200000,214230.9119093009,14230.911909300892,1.0711545595465044
2020-02-24,0,-0.030563126626168828,0.0,0.8589,0.0,13.361,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-02-25,0,-0.3981349860291275,0.0,0.7769,0.0,12.393,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-02-26,0,-0.4564400896315835,0.0,0.6852,0.0,11.007,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-02-27,0,-0.6797946392925027,0.0,0.7033,0.0,11.51,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-02-28,0,-0.6023990361911907,0.0,0.6915,0.0,11.311,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-02-29,0,-0.833245516135991,0.0,0.6661,0.0,11.103,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-03-01,0,-0.679809217455673,0.0,0.6823,0.0,11.31,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-03-02,0,-0.7753340368565887,0.0,0.724,0.0,12.088,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-03-03,0,-0.35620390674624597,0.0,0.7033,0.0,11.556,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-03-04,0,-0.20345999979516935,0.0,0.7166,0.0,11.755,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-03-05,0,-0.3835962822429147,0.0,0.731,0.0,12.073,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-03-06,0,-0.7279425436492922,0.0,0.742,0.0,12.377,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-03-07,0,0.7967762021855453,0.0,0.7186,0.0,11.589,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-03-08,0,-0.6079610235964479,0.0,0.6056,0.0,10.05,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-03-09,-2,-1.2984491920769305,0.0,0.5881,0.0,9.902,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-03-10,0,-0.9114388055973898,0.0,0.5904,0.0,9.87,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-03-11,0,0.13992975620156176,0.0,0.5776,0.0,9.43,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-03-12,-2,-3.4477206859232576,0.0,0.3062,0.0,5.706,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-03-13,-2,-2.1329902890263375,0.0,0.3443,0.0,6.216,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-03-14,-1,-1.175157241221502,305774.9414328751,0.3298,-17532.088957677715,5.752,200000,201689.15136912442,1689.1513691244181,1.008445756845622
2020-03-15,-1,-0.8018747290137944,305774.9414328751,0.3471,-17532.088957677715,5.979,200000,210958.84204930603,10958.842049306026,1.0547942102465302
2020-03-16,-1,-1.078672834136014,305774.9414328751,0.3085,-17532.088957677715,5.394,200000,188899.65726975555,-11100.342730244447,0.9444982863487777
2020-03-17,-1,-0.6052652717170325,305774.9414328751,0.3267,-17532.088957677715,5.626,200000,198532.20584201513,-1467.7941579848703,0.9926610292100756
2020-03-18,-1,-0.5326824472861751,305774.9414328751,0.3326,-17532.088957677715,5.726,200000,202089.48689223686,2089.4868922368623,1.0104474344611842
2020-03-19,-1,-0.32309436198570923,305774.9414328751,0.378,-17532.088957677715,6.472,200000,229050.60759571698,29050.60759571698,1.145253037978585
2020-03-20,0,0.6227730548250846,0.0,0.3788,0.0,6.273,200000,195840.3975858636,-4159.602414136403,0.979201987929318
2020-03-21,0,0.39863887078351534,0.0,0.3735,0.0,6.236,200000,195840.3975858636,-4159.602414136403,0.979201987929318
2020-03-22,0,-0.4355814898366619,0.0,0.3454,0.0,5.947,200000,195840.3975858636,-4159.602414136403,0.979201987929318
