date,statusList,zscore,ENJUSDT_position,ENJUSDT_price,TRXUSDT_position,TRXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.07963,0.0,0.01322,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.07371,0.0,0.01284,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.078,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0772,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.07637,0.0,0.01353,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.07578,0.0,0.01472,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.073,0.0,0.01434,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0754,0.0,0.01402,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.07193,0.0,0.01398,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.073,0.0,0.01469,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.0721,0.0,0.0146,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.07214,0.0,0.01503,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.07174,0.0,0.01464,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.07253,0.0,0.01677,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.076,0.0,0.01729,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.08131,0.0,0.01734,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.08039,0.0,0.01758,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.07721,0.0,0.01766,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.07361,0.0,0.01665,200000,200000.0,0.0,1.0
2020-01-20,0,-0.8764508520420584,0.0,0.0758,0.0,0.01661,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.0632782133181957,1305312.6223730585,0.07661,-5773672.055427252,0.01732,200000,200000.0,0.0,1.0
2020-01-22,-1,-0.8607349475498461,1305312.6223730585,0.07815,-5773672.055427252,0.01743,200000,202645.28536455153,2645.285364551528,1.0132264268227575
2020-01-23,0,1.0388882403460604,0.0,0.08656,0.0,0.01628,200000,181007.52046974376,-18992.47953025624,0.9050376023487188
2020-01-24,0,0.912591283976956,0.0,0.08515,0.0,0.01639,200000,181007.52046974376,-18992.47953025624,0.9050376023487188
2020-01-25,2,1.7101459576066722,0.0,0.0882,0.0,0.01613,200000,181007.52046974376,-18992.47953025624,0.9050376023487188
2020-01-26,0,0.9558736362824797,0.0,0.08741,0.0,0.01684,200000,181007.52046974376,-18992.47953025624,0.9050376023487188
2020-01-27,1,1.1160056221613537,-1002700.645190249,0.09026,5283348.5250946805,0.01713,200000,181007.52046974376,-18992.47953025624,0.9050376023487188
2020-01-28,0,-0.1976854606566878,0.0,0.08811,0.0,0.0186,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-01-29,0,0.05438616917527739,0.0,0.08978,0.0,0.01866,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-01-30,0,0.9887378652628239,0.0,0.1006,0.0,0.0195,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-01-31,0,0.8047324744017241,0.0,0.09531,0.0,0.01867,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-01,2,1.633596999929425,0.0,0.10476,0.0,0.01907,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-02,2,2.149016043759385,0.0,0.1123,0.0,0.01909,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-03,2,2.1117651930405597,0.0,0.11619,0.0,0.0192,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-04,2,3.263478607705589,0.0,0.1469,0.0,0.01925,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-05,2,1.5251429531011607,0.0,0.13421,0.0,0.02076,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-06,0,0.9098477541945509,0.0,0.13726,0.0,0.02271,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-07,0,0.7096306371250656,0.0,0.13106,0.0,0.02204,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-08,0,0.5622328865377388,0.0,0.1283,0.0,0.02179,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-09,0,0.7025525034998175,0.0,0.13362,0.0,0.02206,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-10,0,0.9888559628490392,0.0,0.14051,0.0,0.02216,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-11,0,0.5752365785547018,0.0,0.13851,0.0,0.02272,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-12,0,0.24842722166838174,0.0,0.14127,0.0,0.02393,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-13,0,-0.11982010613072955,0.0,0.13586,0.0,0.02391,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-14,0,-0.46095049140868793,0.0,0.144,0.0,0.02639,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-15,0,-0.2515619465952972,0.0,0.13284,0.0,0.02364,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-16,0,-0.3274958646331547,0.0,0.12425,0.0,0.02223,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-17,0,0.6887232022746981,0.0,0.13694,0.0,0.02179,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-18,0,0.44597988126743004,0.0,0.13992,0.0,0.02262,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-02-19,2,1.291149255222152,0.0,0.13558,0.0,0.0202,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
