date,statusList,zscore,ETHUSDT_position,ETHUSDT_price,BNBUSDT_position,BNBUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,130.77,0.0,13.7184,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,127.19,0.0,13.0105,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,134.35,0.0,13.6474,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,134.2,0.0,13.8092,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,135.37,0.0,14.0532,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,144.15,0.0,14.9471,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,142.8,0.0,15.0226,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,140.72,0.0,14.5334,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,137.74,0.0,14.3978,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,144.84,0.0,15.07,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,142.38,0.0,14.9177,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,146.54,0.0,15.3366,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,143.58,0.0,15.1736,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,165.64,0.0,16.6371,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,166.4,0.0,17.6655,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,164.21,0.0,17.0333,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,169.85,0.0,18.0724,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,174.14,0.0,17.8088,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,166.79,0.0,17.388,200000,200000.0,0.0,1.0
2020-01-20,0,0.05639438578201614,0.0,166.87,0.0,17.3235,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.71437986856919,0.0,169.49,0.0,18.1166,200000,200000.0,0.0,1.0
2020-01-22,-1,-1.1413926879476637,594.9901826619861,168.07,-5607.141255102499,17.8344,200000,200000.0,0.0,1.0
2020-01-23,-1,-0.25251228345508886,594.9901826619861,162.81,-5607.141255102499,17.0524,200000,192485.5671777078,-7514.432822292205,0.962427835888539
2020-01-24,-1,-0.5412829736153241,594.9901826619861,162.54,-5607.141255102499,17.1148,200000,192674.80544270744,-7325.1945572925615,0.9633740272135372
2020-01-25,-1,-0.7570627149790872,594.9901826619861,160.35,-5607.141255102499,16.9555,200000,190478.55934073988,-9521.440659260115,0.9523927967036995
2020-01-26,0,0.22647290756269914,0.0,167.86,0.0,17.499,200000,198244.31276139762,-1755.6872386023751,0.9912215638069881
2020-01-27,0,0.418546698850474,0.0,170.08,0.0,17.67,200000,198244.31276139762,-1755.6872386023751,0.9912215638069881
2020-01-28,1,1.0816638980458007,-564.3484193845298,175.64,5486.6079408342,18.0662,200000,198244.31276139762,-1755.6872386023751,0.9912215638069881
2020-01-29,1,0.846701302275671,-564.3484193845298,173.72,5486.6079408342,17.9134,200000,196322.41010281988,-3677.5898971801216,0.9816120505140994
2020-01-30,2,2.156002116468438,0.0,184.69,0.0,18.5555,200000,200667.06869137744,667.0686913774407,1.0033353434568872
2020-01-31,2,1.3950457541558248,0.0,179.99,0.0,18.2644,200000,200667.06869137744,667.0686913774407,1.0033353434568872
2020-02-01,2,2.054017952872875,0.0,183.6,0.0,18.2752,200000,200667.06869137744,667.0686913774407,1.0033353434568872
2020-02-02,2,2.336127469711283,0.0,188.44,0.0,18.4333,200000,200667.06869137744,667.0686913774407,1.0033353434568872
2020-02-03,2,2.2174641282290017,0.0,189.69,0.0,18.46,200000,200667.06869137744,667.0686913774407,1.0033353434568872
2020-02-04,2,2.1836956524436566,0.0,188.91,0.0,18.1778,200000,200667.06869137744,667.0686913774407,1.0033353434568872
2020-02-05,2,2.2524932871618897,0.0,203.78,0.0,19.262,200000,200667.06869137744,667.0686913774407,1.0033353434568872
