date,statusList,zscore,CELRUSDT_position,CELRUSDT_price,ONGUSDT_position,ONGUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00362,0.0,0.0956,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0034,0.0,0.095,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00355,0.0,0.0995,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00355,0.0,0.0981,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00349,0.0,0.0998,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00356,0.0,0.1024,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00347,0.0,0.0997,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.00339,0.0,0.1016,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00332,0.0,0.0991,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00327,0.0,0.0996,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00333,0.0,0.1039,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00346,0.0,0.105,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00352,0.0,0.1027,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.00344,0.0,0.1132,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00359,0.0,0.1149,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00351,0.0,0.1116,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00366,0.0,0.1156,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00367,0.0,0.1128,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00337,0.0,0.1069,200000,200000.0,0.0,1.0
2020-01-20,-1,-1.0046603265040863,30487804.87804878,0.00328,-958772.7708533077,0.1043,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.194859897273887,30487804.87804878,0.00329,-958772.7708533077,0.1062,200000,202126.54631340178,2126.5463134017773,1.010632731567009
2020-01-22,-1,-1.1643957681047843,30487804.87804878,0.0033,-958772.7708533077,0.107,200000,203198.4425788649,3198.442578864895,1.0159922128943244
2020-01-23,-2,-1.5916062024895508,0.0,0.00324,0.0,0.1087,200000,205438.11238687648,5438.112386876484,1.0271905619343824
2020-01-24,0,-0.8163179984319653,0.0,0.00323,0.0,0.104,200000,205438.11238687648,5438.112386876484,1.0271905619343824
2020-01-25,0,0.2743453501822719,0.0,0.00338,0.0,0.1037,200000,205438.11238687648,5438.112386876484,1.0271905619343824
2020-01-26,0,-0.14050320118712106,0.0,0.00336,0.0,0.1054,200000,205438.11238687648,5438.112386876484,1.0271905619343824
2020-01-27,0,-0.5324012900890231,0.0,0.00331,0.0,0.1058,200000,205438.11238687648,5438.112386876484,1.0271905619343824
2020-01-28,0,-0.8416635372062301,0.0,0.00334,0.0,0.1083,200000,205438.11238687648,5438.112386876484,1.0271905619343824
2020-01-29,-2,-2.7863239524419816,0.0,0.00321,0.0,0.1157,200000,205438.11238687648,5438.112386876484,1.0271905619343824
2020-01-30,-2,-2.8323521807671,0.0,0.00326,0.0,0.1244,200000,205438.11238687648,5438.112386876484,1.0271905619343824
2020-01-31,-2,-3.092962551411197,0.0,0.00327,0.0,0.1429,200000,205438.11238687648,5438.112386876484,1.0271905619343824
2020-02-01,-2,-2.2749422936421486,0.0,0.00331,0.0,0.1404,200000,205438.11238687648,5438.112386876484,1.0271905619343824
2020-02-02,-2,-1.8690038457388598,0.0,0.0034,0.0,0.1419,200000,205438.11238687648,5438.112386876484,1.0271905619343824
2020-02-03,-2,-1.3858172233751416,0.0,0.00359,0.0,0.144,200000,205438.11238687648,5438.112386876484,1.0271905619343824
2020-02-04,-2,-1.3792217669753501,0.0,0.00373,0.0,0.1529,200000,205438.11238687648,5438.112386876484,1.0271905619343824
2020-02-05,-2,-1.573685615225242,0.0,0.00364,0.0,0.1584,200000,205438.11238687648,5438.112386876484,1.0271905619343824
2020-02-06,0,-0.7799928128617503,0.0,0.00411,0.0,0.1609,200000,205438.11238687648,5438.112386876484,1.0271905619343824
2020-02-07,0,-0.5898557899684433,0.0,0.00419,0.0,0.1614,200000,205438.11238687648,5438.112386876484,1.0271905619343824
