date,statusList,zscore,NEOUSDT_position,NEOUSDT_price,HOTUSDT_position,HOTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,8.85,0.0,0.0006275,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,8.462,0.0,0.0006035,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,8.888,0.0,0.0006794,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,9.077,0.0,0.0006796,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,9.02,0.0,0.0006708,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,9.757,0.0,0.000703,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,9.801,0.0,0.0006815,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,9.448,0.0,0.0006721,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,9.387,0.0,0.000671,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,9.862,0.0,0.0006865,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,9.696,0.0,0.00067,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,10.271,0.0,0.0006813,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,10.0,0.0,0.000674,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,11.204,0.0,0.0007056,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,11.412,0.0,0.0007118,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,11.271,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,11.848,0.0,0.0007304,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,11.876,0.0,0.0007145,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,11.245,0.0,0.0006752,200000,200000.0,0.0,1.0
2020-01-20,2,1.3467105993342703,0.0,11.114,0.0,0.0006756,200000,200000.0,0.0,1.0
2020-01-21,2,1.5048824569767756,0.0,11.226,0.0,0.0006651,200000,200000.0,0.0,1.0
2020-01-22,2,1.3011340714615058,0.0,11.247,0.0,0.0006688,200000,200000.0,0.0,1.0
2020-01-23,1,1.164395429153464,-9415.309292910271,10.621,157903047.5288173,0.0006333,200000,200000.0,0.0,1.0
2020-01-24,1,0.9139177117331014,-9415.309292910271,10.511,157903047.5288173,0.0006346,200000,199169.58993956732,-830.4100604326813,0.9958479496978366
2020-01-25,1,0.9232139638023847,-9415.309292910271,10.35,157903047.5288173,0.000621,200000,195506.24369701685,-4493.756302983151,0.9775312184850843
2020-01-26,1,1.1344542145182754,-9415.309292910271,10.797,157903047.5288173,0.0006347,200000,201878.15870209254,1878.1587020925363,1.0093907935104627
2020-01-27,1,1.0181858559518706,-9415.309292910271,11.082,157903047.5288173,0.0006521,200000,207309.03487757337,7309.034877573373,1.0365451743878669
