date,statusList,zscore,VETUSDT_position,VETUSDT_price,ICXUSDT_position,ICXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.005358,0.0,0.1146,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.005094,0.0,0.1096,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.005327,0.0,0.1142,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00562,0.0,0.1139,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.005465,0.0,0.1135,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00573,0.0,0.1248,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.005578,0.0,0.1201,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.005492,0.0,0.1171,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.005319,0.0,0.1167,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005454,0.0,0.1188,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.005526,0.0,0.1202,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005523,0.0,0.1215,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005407,0.0,0.1229,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005994,0.0,0.1394,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.006003,0.0,0.143,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005885,0.0,0.1455,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006392,0.0,0.1527,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.006239,0.0,0.1532,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005862,0.0,0.1462,200000,200000.0,0.0,1.0
2020-01-20,-2,-2.0134662249064386,0.0,0.005814,0.0,0.1511,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.8560635163181853,0.0,0.005964,0.0,0.157,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.7345986217978027,0.0,0.005863,0.0,0.1564,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.5249370492876853,0.0,0.005607,0.0,0.1495,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.511514900267746,0.0,0.00558,0.0,0.1507,200000,200000.0,0.0,1.0
2020-01-25,-2,-1.551741420122231,0.0,0.005623,0.0,0.155,200000,200000.0,0.0,1.0
2020-01-26,-2,-2.061349134732687,0.0,0.00573,0.0,0.1738,200000,200000.0,0.0,1.0
2020-01-27,-2,-1.9040379250576176,0.0,0.005748,0.0,0.1775,200000,200000.0,0.0,1.0
2020-01-28,-2,-1.9038214484922311,0.0,0.0058,0.0,0.186,200000,200000.0,0.0,1.0
2020-01-29,-2,-2.287983366044003,0.0,0.005733,0.0,0.2112,200000,200000.0,0.0,1.0
2020-01-30,-2,-2.371546668325237,0.0,0.005687,0.0,0.238,200000,200000.0,0.0,1.0
2020-01-31,-2,-2.2115773660920848,0.0,0.005766,0.0,0.2589,200000,200000.0,0.0,1.0
2020-02-01,-2,-1.9672692687393776,0.0,0.005997,0.0,0.2751,200000,200000.0,0.0,1.0
2020-02-02,-2,-1.9553049432304093,0.0,0.006229,0.0,0.3176,200000,200000.0,0.0,1.0
2020-02-03,-2,-1.9649368187094571,0.0,0.006304,0.0,0.3705,200000,200000.0,0.0,1.0
2020-02-04,-2,-2.08089442151759,0.0,0.006532,0.0,0.5091,200000,200000.0,0.0,1.0
