date,statusList,zscore,TRXUSDT_position,TRXUSDT_price,ETCUSDT_position,ETCUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.01322,0.0,4.5035,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.01284,0.0,4.2283,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.01344,0.0,4.5768,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.01344,0.0,4.7598,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.01353,0.0,4.8784,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.01472,0.0,5.0333,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.01434,0.0,4.8344,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.01402,0.0,4.9521,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.01398,0.0,5.1848,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.01469,0.0,5.36,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.0146,0.0,5.5704,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.01503,0.0,5.5765,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.01464,0.0,5.4677,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.01677,0.0,6.7895,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.01729,0.0,7.9911,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.01734,0.0,8.414,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.01758,0.0,9.4792,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.01766,0.0,8.2944,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.01665,0.0,8.5268,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.6153026832396709,0.0,0.01661,0.0,8.6347,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.40886413713191,0.0,0.01732,0.0,8.943,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.4249250299314606,0.0,0.01743,0.0,9.3457,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.1507113131659594,6142506.142506143,0.01628,-11845.393918574762,8.4421,200000,200000.0,0.0,1.0
2020-01-24,-1,-1.095368618527025,6142506.142506143,0.01639,-11845.393918574762,8.6118,200000,202685.83902365784,2685.8390236578416,1.0134291951182892
2020-01-25,-1,-0.9522941644952756,6142506.142506143,0.01613,-11845.393918574762,8.3966,200000,198539.6586553289,-1460.341344671091,0.9926982932766445
2020-01-26,-1,-1.0689874108959245,6142506.142506143,0.01684,-11845.393918574762,9.19,200000,212298.9735515055,12298.973551505507,1.0614948677575275
2020-01-27,-2,-1.4253502011861132,0.0,0.01713,0.0,10.4161,200000,218161.67737413637,18161.677374136372,1.090808386870682
2020-01-28,-2,-1.33329875546936,0.0,0.0186,0.0,11.3697,200000,218161.67737413637,18161.677374136372,1.090808386870682
2020-01-29,-2,-1.4750268274622742,0.0,0.01866,0.0,12.2231,200000,218161.67737413637,18161.677374136372,1.090808386870682
2020-01-30,-2,-1.221576603305107,0.0,0.0195,0.0,12.2842,200000,218161.67737413637,18161.677374136372,1.090808386870682
2020-01-31,0,-0.9732642114789808,0.0,0.01867,0.0,11.338,200000,218161.67737413637,18161.677374136372,1.090808386870682
2020-02-01,0,-0.9060183281510528,0.0,0.01907,0.0,11.5282,200000,218161.67737413637,18161.677374136372,1.090808386870682
2020-02-02,0,-0.808280558407867,0.0,0.01909,0.0,11.3658,200000,218161.67737413637,18161.677374136372,1.090808386870682
