date,statusList,zscore,IOSTUSDT_position,IOSTUSDT_price,THETAUSDT_position,THETAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.004817,0.0,0.08656,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.004605,0.0,0.08443,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.004819,0.0,0.08771,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.004869,0.0,0.09394,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.004916,0.0,0.09421,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00512,0.0,0.09987,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00496,0.0,0.09608,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.004716,0.0,0.09873,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.004766,0.0,0.09294,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005095,0.0,0.09509,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.004983,0.0,0.09437,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005361,0.0,0.09589,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005108,0.0,0.09703,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005758,0.0,0.10598,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.005815,0.0,0.10438,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005884,0.0,0.10368,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006125,0.0,0.11193,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.005849,0.0,0.10876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005483,0.0,0.1126,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.6437254557796763,0.0,0.005363,0.0,0.10998,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.5234868782440805,0.0,0.005409,0.0,0.11136,200000,200000.0,0.0,1.0
2020-01-22,-2,-2.0972291852858227,0.0,0.005462,0.0,0.119,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.127560599505904,19018638.26550019,0.005258,-920979.9226376865,0.10858,200000,200000.0,0.0,1.0
2020-01-24,-1,-0.7177359332694623,19018638.26550019,0.005196,-920979.9226376865,0.10494,200000,195468.47750913783,-4531.522490862175,0.9773423875456891
2020-01-25,-1,-0.20790666247521256,19018638.26550019,0.005198,-920979.9226376865,0.10189,200000,192697.52602162387,-7302.473978376132,0.9634876301081193
2020-01-26,0,0.3088944274000332,0.0,0.005384,0.0,0.10222,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-01-27,0,0.052616406684113236,0.0,0.005428,0.0,0.10459,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-01-28,0,0.0007690924950433623,0.0,0.005681,0.0,0.10936,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-01-29,0,0.5667472635993601,0.0,0.005607,0.0,0.10434,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-01-30,0,0.5438413290520192,0.0,0.005599,0.0,0.10431,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-01-31,0,0.41832052133171443,0.0,0.005674,0.0,0.10638,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-02-01,2,1.3876201741749823,0.0,0.005922,0.0,0.10527,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-02-02,2,1.6617135221019632,0.0,0.00609,0.0,0.10545,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-02-03,2,1.225978456668011,0.0,0.006128,0.0,0.10829,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-02-04,0,0.6456756698668172,0.0,0.006656,0.0,0.122,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-02-05,0,0.7632048335877059,0.0,0.006681,0.0,0.122,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-02-06,2,1.4369324107399377,0.0,0.007113,0.0,0.12425,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-02-07,2,1.6460656564358227,0.0,0.007299,0.0,0.1245,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-02-08,2,1.9227491658580518,0.0,0.007077,0.0,0.1164,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-02-09,2,1.8867378112596267,0.0,0.007598,0.0,0.12284,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-02-10,0,0.6944077253349913,0.0,0.007472,0.0,0.13064,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-02-11,1,1.1521863694927024,-12624849.833458737,0.007594,748190.3358458376,0.12814,200000,191746.21927057128,-8253.78072942872,0.9587310963528564
2020-02-12,1,0.5877404699381222,-12624849.833458737,0.007946,748190.3358458376,0.13827,200000,203769.3345140671,3769.334514067101,1.0188466725703356
2020-02-13,0,-2.620377485518713,0.0,0.007778,0.0,0.17192,200000,161313.41873659694,-38686.58126340306,0.8065670936829847
2020-02-14,0,-0.7100231328932531,0.0,0.008343,0.0,0.15827,200000,161313.41873659694,-38686.58126340306,0.8065670936829847
2020-02-15,-2,-1.2923735915622507,0.0,0.007382,0.0,0.14694,200000,161313.41873659694,-38686.58126340306,0.8065670936829847
2020-02-16,-2,-1.3648689082594438,0.0,0.006682,0.0,0.13454,200000,161313.41873659694,-38686.58126340306,0.8065670936829847
